subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
01YA,practice,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,blue,70,30,B,1522,4285,344,win,70
01YA,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,70,90,40,blue,yellow,blue,30,70,A,1472,2113,90,no_win,0
01YA,practice,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,40,40,blue,yellow,yellow,40,40,B,892,1144,304,win,40
01YA,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,50,50,blue,yellow,blue,20,60,A,854,1324,141,no_win,0
01YA,practice,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,50,70,30,blue,yellow,yellow,70,30,B,748,835,285,win,70
01YA,practice,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,70,30,blue,yellow,blue,30,80,A,766,602,310,win,30
01YA,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,50,30,blue,yellow,blue,40,90,A,1639,1330,159,win,40
01YA,exp,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,40,blue,yellow,yellow,60,40,B,1155,7089,236,win,60
01YA,exp,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,70,50,blue,yellow,blue,60,70,A,753,11843,246,win,60
01YA,exp,1,4,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,70,40,yellow,blue,yellow,40,90,A,1357,4163,314,win,40
01YA,exp,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,70,100,30,blue,yellow,blue,50,70,A,515,2941,325,win,50
01YA,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,100,30,blue,yellow,blue,40,80,A,808,2523,154,win,40
01YA,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,761,2971,287,win,80
01YA,exp,1,8,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,737,2923,36,no_win,0
01YA,exp,1,9,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,10,blue,yellow,blue,30,60,A,805,2678,31,no_win,0
01YA,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,100,20,yellow,blue,yellow,30,90,A,674,3503,289,win,30
01YA,exp,1,11,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,50,50,blue,yellow,yellow,50,50,B,564,573,183,win,50
01YA,exp,1,12,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,50,40,20,yellow,blue,yellow,10,50,A,665,3490,73,no_win,0
01YA,exp,1,13,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,70,50,40,yellow,blue,yellow,40,70,A,576,3729,270,win,40
01YA,exp,1,14,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,60,80,50,blue,yellow,yellow,80,50,B,618,2375,202,win,80
01YA,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,70,10,yellow,blue,yellow,10,60,A,627,3257,204,win,10
01YA,exp,1,16,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,50,70,20,yellow,blue,yellow,60,50,A,678,18837,252,win,60
01YA,exp,1,17,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,70,30,40,yellow,blue,yellow,80,70,A,521,4721,171,win,80
01YA,exp,1,18,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,1023,3557,192,no_win,0
01YA,exp,1,19,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,60,10,yellow,blue,yellow,10,70,A,575,2963,203,win,10
01YA,exp,1,20,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,80,40,blue,yellow,blue,60,80,A,1196,3257,350,win,60
01YA,exp,1,21,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,50,20,yellow,blue,yellow,10,90,A,464,3837,93,win,10
01YA,exp,1,22,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,70,90,20,blue,yellow,blue,10,70,A,529,2986,27,no_win,0
01YA,exp,1,23,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,50,40,yellow,blue,yellow,20,60,A,426,3923,103,no_win,0
01YA,exp,1,24,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,20,50,yellow,blue,yellow,60,70,A,646,4144,264,win,60
01YA,exp,1,25,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,40,blue,yellow,blue,10,60,A,543,3040,89,no_win,0
01YA,exp,1,26,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,90,50,blue,yellow,blue,20,90,A,558,3028,100,win,20
01YA,exp,1,27,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,80,20,blue,yellow,blue,40,80,A,1260,5440,276,win,40
01YA,exp,1,28,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,40,30,blue,yellow,yellow,40,30,B,430,489,11,no_win,0
01YA,exp,1,29,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,70,80,20,yellow,blue,yellow,40,70,A,1013,2320,195,win,40
