subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
01YA,practice,1,1,906,766,424,none,none
01YA,practice,1,1,938,765,424,none,none
01YA,practice,1,1,945,764,425,none,none
01YA,practice,1,1,954,763,425,none,none
01YA,practice,1,1,961,762,425,none,none
01YA,practice,1,1,967,760,425,none,none
01YA,practice,1,1,975,759,426,none,none
01YA,practice,1,1,990,757,426,none,none
01YA,practice,1,1,997,755,426,none,none
01YA,practice,1,1,1004,753,426,choice-button-left,B_choice_button
01YA,practice,1,1,1011,750,426,choice-button-left,B_choice_button
01YA,practice,1,1,1018,748,426,choice-button-left,B_choice_button
01YA,practice,1,1,1025,744,427,choice-button-left,B_choice_button
01YA,practice,1,1,1032,743,427,choice-button-left,B_choice_button
01YA,practice,1,1,1039,740,427,choice-button-left,B_choice_button
01YA,practice,1,1,1046,739,427,choice-button-left,B_choice_button
01YA,practice,1,1,1053,738,427,choice-button-left,B_choice_button
01YA,practice,1,1,1060,737,427,choice-button-left,B_choice_button
01YA,practice,1,1,1067,736,427,choice-button-left,B_choice_button
01YA,practice,1,1,1105,735,427,choice-button-left,B_choice_button
01YA,practice,1,1,1112,734,427,choice-button-left,B_choice_button
01YA,practice,1,1,1157,733,427,choice-button-left,B_choice_button
01YA,practice,1,1,1181,732,427,choice-button-left,B_choice_button
01YA,practice,1,1,2481,733,427,choice-button-left,B_choice_button
01YA,practice,1,1,2505,734,427,choice-button-left,B_choice_button
01YA,practice,1,1,2513,735,427,choice-button-left,B_choice_button
01YA,practice,1,1,2519,736,427,choice-button-left,B_choice_button
01YA,practice,1,1,2535,737,427,choice-button-left,B_choice_button
01YA,practice,1,1,2543,738,427,choice-button-left,B_choice_button
01YA,practice,1,1,2551,739,427,choice-button-left,B_choice_button
01YA,practice,1,1,2559,740,426,choice-button-left,B_choice_button
01YA,practice,1,1,2576,742,426,choice-button-left,B_choice_button
01YA,practice,1,1,2583,743,426,choice-button-left,B_choice_button
01YA,practice,1,1,2590,744,426,choice-button-left,B_choice_button
01YA,practice,1,1,2611,745,426,choice-button-left,B_choice_button
01YA,practice,1,1,2621,746,426,choice-button-left,B_choice_button
01YA,practice,1,1,2638,747,426,choice-button-left,B_choice_button
01YA,practice,1,1,2645,748,426,choice-button-left,B_choice_button
01YA,practice,1,1,2675,749,425,choice-button-left,B_choice_button
01YA,practice,1,1,2697,750,425,choice-button-left,B_choice_button
01YA,practice,1,1,2705,751,425,choice-button-left,B_choice_button
01YA,practice,1,1,2722,752,425,choice-button-left,B_choice_button
01YA,practice,1,1,2743,753,425,choice-button-left,B_choice_button
01YA,practice,1,1,2753,754,425,choice-button-left,B_choice_button
01YA,practice,1,1,2759,756,425,none,none
01YA,practice,1,1,2778,757,425,none,none
01YA,practice,1,1,2784,758,425,none,none
01YA,practice,1,1,2805,760,425,none,none
01YA,practice,1,1,2813,761,425,none,none
01YA,practice,1,1,2821,762,425,none,none
01YA,practice,1,1,2840,763,424,none,none
01YA,practice,1,1,2847,764,424,none,none
01YA,practice,1,1,2869,765,424,none,none
01YA,practice,1,1,2875,766,424,none,none
01YA,practice,1,1,2883,767,424,none,none
01YA,practice,1,1,2891,768,424,none,none
01YA,practice,1,1,2910,769,424,none,none
01YA,practice,1,1,2916,771,424,none,none
01YA,practice,1,1,2923,772,424,none,none
01YA,practice,1,1,2931,774,424,none,none
01YA,practice,1,1,2937,776,424,none,none
01YA,practice,1,1,2945,777,424,none,none
01YA,practice,1,1,2953,779,424,none,none
01YA,practice,1,1,2961,780,424,choice-button-right,A_choice_button
01YA,practice,1,1,2969,782,424,choice-button-right,A_choice_button
01YA,practice,1,1,2977,783,424,choice-button-right,A_choice_button
01YA,practice,1,1,2985,784,424,choice-button-right,A_choice_button
01YA,practice,1,1,3000,788,424,choice-button-right,A_choice_button
01YA,practice,1,1,3020,790,424,choice-button-right,A_choice_button
01YA,practice,1,1,3027,791,424,choice-button-right,A_choice_button
01YA,practice,1,1,3034,793,424,choice-button-right,A_choice_button
01YA,practice,1,1,3041,795,424,choice-button-right,A_choice_button
01YA,practice,1,1,3054,796,424,choice-button-right,A_choice_button
01YA,practice,1,1,3061,797,424,choice-button-right,A_choice_button
01YA,practice,1,1,3077,798,424,choice-button-right,A_choice_button
01YA,practice,1,1,3085,799,424,choice-button-right,A_choice_button
01YA,practice,1,1,3104,800,424,choice-button-right,A_choice_button
01YA,practice,1,1,3125,801,424,choice-button-right,A_choice_button
01YA,practice,1,1,3131,802,424,choice-button-right,A_choice_button
01YA,practice,1,1,3139,804,423,choice-button-right,A_choice_button
01YA,practice,1,1,3159,805,423,choice-button-right,A_choice_button
01YA,practice,1,1,3166,806,423,choice-button-right,A_choice_button
01YA,practice,1,1,3187,807,423,choice-button-right,A_choice_button
01YA,practice,1,1,3511,806,423,choice-button-right,A_choice_button
01YA,practice,1,1,3519,805,423,choice-button-right,A_choice_button
01YA,practice,1,1,3527,803,423,choice-button-right,A_choice_button
01YA,practice,1,1,3533,800,423,choice-button-right,A_choice_button
01YA,practice,1,1,3541,796,424,choice-button-right,A_choice_button
01YA,practice,1,1,3549,793,424,choice-button-right,A_choice_button
01YA,practice,1,1,3557,789,424,choice-button-right,A_choice_button
01YA,practice,1,1,3571,785,425,choice-button-right,A_choice_button
01YA,practice,1,1,3578,780,425,choice-button-right,A_choice_button
01YA,practice,1,1,3585,777,425,none,none
01YA,practice,1,1,3592,773,425,none,none
01YA,practice,1,1,3599,768,425,none,none
01YA,practice,1,1,3606,767,425,none,none
01YA,practice,1,1,3613,766,425,none,none
01YA,practice,1,1,3620,764,425,none,none
01YA,practice,1,1,3643,763,425,none,none
01YA,practice,1,1,3662,762,425,none,none
01YA,practice,1,1,3705,761,425,none,none
01YA,practice,1,1,3724,760,425,none,none
01YA,practice,1,1,3797,759,425,none,none
01YA,practice,1,1,3805,758,425,none,none
01YA,practice,1,1,3813,756,425,none,none
01YA,practice,1,1,3821,755,425,none,none
01YA,practice,1,1,3827,754,425,choice-button-left,B_choice_button
01YA,practice,1,1,3835,752,425,choice-button-left,B_choice_button
01YA,practice,1,1,3856,750,425,choice-button-left,B_choice_button
01YA,practice,1,1,3863,748,425,choice-button-left,B_choice_button
01YA,practice,1,1,3875,746,425,choice-button-left,B_choice_button
