subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
05NA,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,80,20,blue,yellow,yellow,80,20,B,2067,5633,221,no_win,0
05NA,practice,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,30,yellow,blue,yellow,60,70,A,1278,6618,260,win,60
05NA,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,80,20,blue,yellow,blue,50,70,A,1295,5551,37,no_win,0
05NA,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,50,70,30,blue,yellow,yellow,70,30,B,1462,4701,110,no_win,0
05NA,practice,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,yellow,40,90,A,1113,3851,327,win,40
05NA,practice,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,90,100,20,yellow,blue,yellow,50,90,A,1028,4585,152,win,50
05NA,exp,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,yellow,40,90,A,1750,4885,6,no_win,0
05NA,exp,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,40,yellow,blue,blue,40,40,B,530,3601,132,no_win,0
05NA,exp,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,50,90,20,blue,yellow,yellow,90,20,B,712,5668,228,no_win,0
05NA,exp,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,90,50,yellow,blue,blue,90,50,B,780,3350,198,win,90
05NA,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,70,10,blue,yellow,yellow,70,10,B,779,5585,208,no_win,0
05NA,exp,1,6,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,60,40,20,blue,yellow,blue,90,60,A,945,4968,271,win,90
05NA,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,70,80,20,blue,yellow,blue,50,70,A,630,4168,25,no_win,0
05NA,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,70,30,yellow,blue,yellow,30,60,A,862,3834,276,win,30
05NA,exp,1,9,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,80,20,blue,yellow,blue,40,80,A,929,3668,43,no_win,0
05NA,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,70,30,yellow,blue,blue,70,30,B,613,6118,319,win,70
05NA,exp,1,11,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,60,50,blue,yellow,blue,50,90,A,646,2984,52,win,50
05NA,exp,1,12,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,10,yellow,blue,yellow,30,80,A,777,4401,91,win,30
05NA,exp,1,13,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,678,8819,10,no_win,0
05NA,exp,1,14,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,80,70,40,blue,yellow,blue,60,80,A,928,3818,185,win,60
05NA,exp,1,15,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,50,60,yellow,blue,yellow,80,90,A,877,3251,155,win,80
05NA,exp,1,16,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,50,70,20,yellow,blue,yellow,60,50,A,812,3134,51,no_win,0
05NA,exp,1,17,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,661,3368,203,no_win,0
05NA,exp,1,18,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,70,40,blue,yellow,yellow,70,40,B,660,3234,308,win,70
05NA,exp,1,19,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,80,90,20,yellow,blue,blue,90,20,B,694,6269,79,no_win,0
