subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
05NA,practice,1,1,568,1276,721,none,none
05NA,practice,1,1,657,1277,721,none,none
05NA,practice,1,1,668,1277,721,none,none
05NA,practice,1,1,685,1277,721,none,none
05NA,practice,1,1,702,1277,721,none,none
05NA,practice,1,1,815,1277,721,none,none
05NA,practice,1,1,826,1276,718,none,none
05NA,practice,1,1,837,1273,713,none,none
05NA,practice,1,1,851,1269,704,none,none
05NA,practice,1,1,868,1263,687,none,none
05NA,practice,1,1,885,1239,641,none,none
05NA,practice,1,1,901,1227,620,none,none
05NA,practice,1,1,918,1189,560,none,none
05NA,practice,1,1,935,1178,547,left-top,A_prob
05NA,practice,1,1,952,1160,528,left-top,A_prob
05NA,practice,1,1,968,1154,524,left-top,A_prob
05NA,practice,1,1,985,1150,521,left-top,A_prob
05NA,practice,1,1,1002,1149,520,left-top,A_prob
05NA,practice,1,1,1018,1149,520,left-top,A_prob
05NA,practice,1,1,1118,1147,521,left-top,A_prob
05NA,practice,1,1,1135,1142,525,left-top,A_prob
05NA,practice,1,1,1152,1128,531,left-top,A_prob
05NA,practice,1,1,1168,1120,535,left-top,A_prob
05NA,practice,1,1,1186,1105,539,left-top,A_prob
05NA,practice,1,1,1202,1098,541,left-top,A_prob
05NA,practice,1,1,1218,1090,543,left-top,A_prob
05NA,practice,1,1,1235,1080,545,left-top,A_prob
05NA,practice,1,1,1252,1078,546,left-top,A_prob
05NA,practice,1,1,1268,1078,546,left-top,A_prob
05NA,practice,1,1,1659,1078,546,left-top,A_prob
05NA,practice,1,1,1669,1078,547,left-top,A_prob
05NA,practice,1,1,1685,1077,550,left-top,A_prob
05NA,practice,1,1,1702,1077,555,left-top,A_prob
05NA,practice,1,1,1718,1072,594,left-top,A_prob
05NA,practice,1,1,1735,1072,617,left-top,A_prob
05NA,practice,1,1,1752,1073,670,none,none
05NA,practice,1,1,1768,1074,695,none,none
05NA,practice,1,1,1786,1075,728,none,none
05NA,practice,1,1,1801,1075,740,none,none
05NA,practice,1,1,1818,1075,750,none,none
05NA,practice,1,1,1835,1075,752,none,none
05NA,practice,1,1,1852,1075,757,none,none
05NA,practice,1,1,1868,1075,758,none,none
05NA,practice,1,1,1885,1075,762,none,none
