subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
07NN,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,80,50,blue,yellow,yellow,80,50,B,2111,19575,76,no_win,0
07NN,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,80,100,10,blue,yellow,blue,30,80,A,1377,9442,9,no_win,0
07NN,practice,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,80,60,30,blue,yellow,blue,50,80,A,1427,4684,25,no_win,0
07NN,practice,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,80,20,yellow,blue,yellow,10,90,A,1325,9030,48,win,10
07NN,practice,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,50,20,yellow,blue,yellow,10,90,A,1216,8522,302,win,10
07NN,practice,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,70,40,yellow,blue,yellow,20,60,A,1840,7391,325,win,20
07NN,exp,1,1,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,70,30,40,yellow,blue,yellow,80,70,A,3812,6650,249,win,80
07NN,exp,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,70,90,20,blue,yellow,blue,10,70,A,968,5156,198,win,10
07NN,exp,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,1088,9176,282,win,80
07NN,exp,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,80,90,50,blue,yellow,yellow,90,50,B,913,9715,248,win,90
07NN,exp,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,70,10,yellow,blue,yellow,10,60,A,626,6687,148,win,10
07NN,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,40,blue,yellow,blue,50,90,A,1955,4891,176,win,50
07NN,exp,1,7,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,100,20,yellow,blue,yellow,40,90,A,878,4722,65,win,40
07NN,exp,1,8,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,80,20,yellow,blue,yellow,50,70,A,818,4602,1,no_win,0
07NN,exp,1,9,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,70,40,yellow,blue,yellow,60,80,A,944,5505,75,win,60
07NN,exp,1,10,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,50,50,blue,yellow,yellow,50,50,B,618,4652,236,win,50
07NN,exp,1,11,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,30,yellow,blue,yellow,30,60,A,915,4240,320,win,30
07NN,exp,1,12,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,80,60,30,blue,yellow,blue,50,80,A,1066,4230,254,win,50
