subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
10ES,practice,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,90,50,yellow,blue,yellow,20,90,A,5023,9677,32,no_win,0
10ES,practice,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,70,40,yellow,blue,yellow,60,80,A,4862,9480,158,win,60
10ES,practice,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,blue,30,90,A,1086,5894,355,win,30
10ES,practice,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,70,40,yellow,blue,yellow,40,90,A,1781,6559,75,win,40
10ES,practice,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,60,20,blue,yellow,blue,30,90,A,1296,4453,159,win,30
10ES,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,90,20,blue,yellow,blue,20,80,A,1046,3391,234,win,20
10ES,exp,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,100,20,yellow,blue,yellow,10,90,A,5556,5288,260,win,10
10ES,exp,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,40,30,yellow,blue,yellow,30,80,A,848,6648,121,win,30
10ES,exp,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,70,30,yellow,blue,yellow,30,60,A,2918,3519,233,win,30
10ES,exp,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,blue,30,90,A,917,5950,271,win,30
10ES,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,100,30,yellow,blue,yellow,50,70,A,4363,7158,119,win,50
10ES,exp,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,70,30,blue,yellow,blue,10,90,A,898,2975,163,win,10
10ES,exp,1,7,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,70,90,40,blue,yellow,blue,30,70,A,3352,3613,355,win,30
10ES,exp,1,8,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,80,60,30,blue,yellow,blue,50,80,A,1716,4486,165,win,50
10ES,exp,1,9,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,70,80,20,yellow,blue,blue,80,20,B,3659,4910,214,no_win,0
10ES,exp,1,10,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,90,10,blue,yellow,blue,30,60,A,1620,3239,238,win,30
10ES,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,50,40,yellow,blue,yellow,20,80,A,948,3168,193,win,20
10ES,exp,1,12,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,60,50,40,yellow,blue,yellow,40,60,A,3288,3390,298,win,40
10ES,exp,1,13,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,80,20,blue,yellow,blue,40,80,A,1609,3080,66,no_win,0
10ES,exp,1,14,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,70,40,yellow,blue,yellow,60,80,A,23062,4398,13,no_win,0
10ES,exp,1,15,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,50,70,30,yellow,blue,blue,70,30,B,2474,4791,286,win,70
10ES,exp,1,16,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,20,blue,yellow,blue,30,90,A,746,2838,199,win,30
10ES,exp,1,17,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,90,50,blue,yellow,yellow,90,50,B,1045,5126,257,win,90
10ES,exp,1,18,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,10,blue,yellow,blue,30,60,A,964,6031,39,no_win,0
10ES,exp,1,19,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,100,40,blue,yellow,blue,30,80,A,3485,12831,34,no_win,0
10ES,exp,1,20,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,50,90,20,blue,yellow,yellow,90,20,B,2700,4591,318,win,90
10ES,exp,1,21,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,80,40,yellow,blue,blue,80,40,B,3306,4133,344,win,80
10ES,exp,1,22,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,90,50,yellow,blue,blue,90,50,B,932,3334,284,win,90
10ES,exp,1,23,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,80,40,yellow,blue,yellow,60,80,A,820,4398,158,win,60
10ES,exp,1,24,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,100,10,yellow,blue,yellow,30,80,A,1378,8646,260,win,30
10ES,exp,1,25,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,60,80,50,yellow,blue,blue,80,50,B,712,5044,275,win,80
10ES,exp,1,26,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,70,40,yellow,blue,yellow,40,90,A,884,6493,212,win,40
10ES,exp,1,27,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,90,80,30,yellow,blue,yellow,20,90,A,922,4472,59,win,20
10ES,exp,1,28,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,70,50,blue,yellow,yellow,70,50,B,947,7287,323,win,70
10ES,exp,1,29,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,100,20,blue,yellow,blue,50,90,A,4305,5999,320,win,50
10ES,exp,1,30,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,70,60,10,yellow,blue,yellow,10,70,A,1175,6677,171,win,10
10ES,exp,1,31,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,100,20,yellow,blue,yellow,60,70,A,877,3390,143,win,60
10ES,exp,1,32,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,80,30,blue,yellow,blue,40,90,A,990,3526,234,win,40
10ES,exp,1,33,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,100,20,blue,yellow,blue,30,60,A,995,5167,207,win,30
10ES,exp,1,34,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,50,40,blue,yellow,blue,20,60,A,780,6703,11,no_win,0
10ES,exp,1,35,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,90,30,yellow,blue,yellow,20,60,A,664,5182,150,win,20
10ES,exp,1,36,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,100,30,yellow,blue,yellow,40,80,A,724,4494,251,win,40
10ES,exp,1,37,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,50,50,yellow,blue,blue,50,50,B,730,6831,133,no_win,0
10ES,exp,1,38,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,50,70,40,blue,yellow,yellow,70,40,B,939,6585,315,win,70
