subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
10ES,practice,1,1,9,770,432,none,none
10ES,practice,1,1,543,772,432,none,none
10ES,practice,1,1,549,776,432,none,none
10ES,practice,1,1,566,790,432,choice-button-right,A_choice_button
10ES,practice,1,1,583,809,432,choice-button-right,A_choice_button
10ES,practice,1,1,599,836,439,none,none
10ES,practice,1,1,615,876,445,none,none
10ES,practice,1,1,632,920,452,none,none
10ES,practice,1,1,649,961,458,none,none
10ES,practice,1,1,665,999,462,none,none
10ES,practice,1,1,682,1036,466,none,none
10ES,practice,1,1,699,1078,472,none,none
10ES,practice,1,1,716,1105,474,none,none
10ES,practice,1,1,733,1127,474,none,none
10ES,practice,1,1,751,1146,477,none,none
10ES,practice,1,1,766,1150,477,none,none
10ES,practice,1,1,782,1153,477,none,none
10ES,practice,1,1,799,1156,477,none,none
10ES,practice,1,1,815,1160,477,none,none
10ES,practice,1,1,832,1164,477,none,none
10ES,practice,1,1,849,1167,477,none,none
10ES,practice,1,1,865,1169,477,none,none
10ES,practice,1,1,882,1170,477,none,none
10ES,practice,1,1,916,1171,477,none,none
10ES,practice,1,1,1903,1170,477,none,none
10ES,practice,1,1,1916,1167,477,none,none
10ES,practice,1,1,1933,1152,477,none,none
10ES,practice,1,1,1950,1122,474,none,none
10ES,practice,1,1,1966,1042,456,none,none
10ES,practice,1,1,1982,978,441,none,none
10ES,practice,1,1,1999,939,435,none,none
10ES,practice,1,1,2015,916,432,none,none
10ES,practice,1,1,2032,901,430,none,none
10ES,practice,1,1,2054,895,430,none,none
10ES,practice,1,1,2065,893,431,none,none
10ES,practice,1,1,2082,892,432,none,none
10ES,practice,1,1,2099,890,434,none,none
10ES,practice,1,1,2119,885,439,none,none
10ES,practice,1,1,2133,878,445,none,none
10ES,practice,1,1,2149,872,449,none,none
10ES,practice,1,1,2167,867,452,none,none
10ES,practice,1,1,2182,864,452,none,none
10ES,practice,1,1,2199,863,454,none,none
10ES,practice,1,1,2215,861,454,none,none
10ES,practice,1,1,2232,860,455,none,none
10ES,practice,1,1,2249,858,455,none,none
10ES,practice,1,1,2265,854,455,none,none
10ES,practice,1,1,2282,847,454,none,none
10ES,practice,1,1,2299,836,452,none,none
10ES,practice,1,1,2316,828,448,choice-button-right,A_choice_button
10ES,practice,1,1,2333,821,444,choice-button-right,A_choice_button
10ES,practice,1,1,2351,815,440,choice-button-right,A_choice_button
10ES,practice,1,1,2367,812,437,choice-button-right,A_choice_button
10ES,practice,1,1,2382,809,436,choice-button-right,A_choice_button
10ES,practice,1,1,2398,806,434,choice-button-right,A_choice_button
10ES,practice,1,1,2415,804,432,choice-button-right,A_choice_button
10ES,practice,1,1,2432,799,431,choice-button-right,A_choice_button
10ES,practice,1,1,2451,797,429,choice-button-right,A_choice_button
10ES,practice,1,1,2465,796,429,choice-button-right,A_choice_button
10ES,practice,1,1,2695,797,429,choice-button-right,A_choice_button
10ES,practice,1,1,2702,798,429,choice-button-right,A_choice_button
10ES,practice,1,1,2715,800,429,choice-button-right,A_choice_button
10ES,practice,1,1,2734,803,428,choice-button-right,A_choice_button
10ES,practice,1,1,2750,804,428,choice-button-right,A_choice_button
10ES,practice,1,1,3216,805,428,choice-button-right,A_choice_button
10ES,practice,1,1,3232,807,428,choice-button-right,A_choice_button
10ES,practice,1,1,3248,814,428,choice-button-right,A_choice_button
10ES,practice,1,1,3266,827,422,choice-button-right,A_choice_button
10ES,practice,1,1,3282,845,414,none,none
10ES,practice,1,1,3300,868,405,none,none
10ES,practice,1,1,3316,896,394,none,none
10ES,practice,1,1,3333,914,386,none,none
10ES,practice,1,1,3349,933,377,none,none
10ES,practice,1,1,3365,943,372,none,none
10ES,practice,1,1,3382,950,368,none,none
10ES,practice,1,1,3399,953,364,none,none
10ES,practice,1,1,3415,955,360,none,none
