subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
11AX,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,10,blue,yellow,blue,30,60,A,1643,5872,293,win,30
11AX,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,50,90,20,blue,yellow,blue,30,50,A,1237,6437,132,no_win,0
11AX,practice,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,30,blue,yellow,blue,30,60,A,1179,5496,290,win,30
11AX,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,20,blue,yellow,blue,30,90,A,1111,5649,239,win,30
11AX,practice,1,5,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,20,50,blue,yellow,blue,60,70,A,2188,5921,30,no_win,0
11AX,practice,1,6,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,90,60,80,blue,yellow,blue,80,90,A,1434,7119,26,no_win,0
11AX,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,100,40,blue,yellow,blue,30,80,A,1991,27822,213,win,30
11AX,exp,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,80,90,20,blue,yellow,blue,20,80,A,686,5817,278,win,20
11AX,exp,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,100,10,yellow,blue,yellow,50,50,A,2245,2907,81,no_win,0
11AX,exp,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,80,40,yellow,blue,yellow,60,80,A,2051,6687,292,win,60
11AX,exp,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,70,40,blue,yellow,blue,60,80,A,1614,4918,248,win,60
11AX,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,100,20,blue,yellow,blue,30,90,A,1062,5552,4,no_win,0
