subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
11AX,practice,1,1,695,742,437,none,none
11AX,practice,1,1,718,739,447,none,none
11AX,practice,1,1,735,734,461,none,none
11AX,practice,1,1,751,727,480,none,none
11AX,practice,1,1,768,718,502,none,none
11AX,practice,1,1,785,705,528,none,none
11AX,practice,1,1,801,692,552,none,none
11AX,practice,1,1,818,677,574,none,none
11AX,practice,1,1,834,666,588,none,none
11AX,practice,1,1,851,648,607,none,none
11AX,practice,1,1,868,638,616,none,none
11AX,practice,1,1,885,627,625,left-bottom,B_prob
11AX,practice,1,1,900,622,629,left-bottom,B_prob
11AX,practice,1,1,918,615,635,left-bottom,B_prob
11AX,practice,1,1,934,612,638,left-bottom,B_prob
11AX,practice,1,1,951,609,641,left-bottom,B_prob
11AX,practice,1,1,967,606,644,left-bottom,B_prob
11AX,practice,1,1,984,604,647,left-bottom,B_prob
11AX,practice,1,1,1001,601,651,left-bottom,B_prob
11AX,practice,1,1,1018,598,653,left-bottom,B_prob
11AX,practice,1,1,1034,596,655,left-bottom,B_prob
11AX,practice,1,1,1051,595,656,left-bottom,B_prob
11AX,practice,1,1,1068,594,657,left-bottom,B_prob
11AX,practice,1,1,1084,594,658,left-bottom,B_prob
11AX,practice,1,1,1101,592,658,left-bottom,B_prob
11AX,practice,1,1,1117,591,659,left-bottom,B_prob
11AX,practice,1,1,1134,590,659,left-bottom,B_prob
11AX,practice,1,1,1151,589,659,left-bottom,B_prob
11AX,practice,1,1,1168,589,659,left-bottom,B_prob
11AX,practice,1,1,1184,588,659,left-bottom,B_prob
11AX,practice,1,1,1201,588,659,left-bottom,B_prob
11AX,practice,1,1,1218,587,659,left-bottom,B_prob
11AX,practice,1,1,1234,587,659,left-bottom,B_prob
11AX,practice,1,1,1265,587,659,left-bottom,B_prob
11AX,practice,1,1,1763,588,659,left-bottom,B_prob
11AX,practice,1,1,1785,596,658,left-bottom,B_prob
11AX,practice,1,1,1801,608,655,left-bottom,B_prob
11AX,practice,1,1,1818,631,651,left-bottom,B_prob
11AX,practice,1,1,1834,693,646,none,none
11AX,practice,1,1,1851,745,644,none,none
11AX,practice,1,1,1868,796,643,none,none
11AX,practice,1,1,1884,827,643,none,none
11AX,practice,1,1,1901,850,643,right-bottom,B_amount
11AX,practice,1,1,1917,873,642,right-bottom,B_amount
11AX,practice,1,1,1934,889,642,right-bottom,B_amount
11AX,practice,1,1,1951,901,642,right-bottom,B_amount
11AX,practice,1,1,1968,910,642,right-bottom,B_amount
11AX,practice,1,1,1984,915,642,right-bottom,B_amount
11AX,practice,1,1,2001,920,642,right-bottom,B_amount
11AX,practice,1,1,2018,924,642,right-bottom,B_amount
11AX,practice,1,1,2034,930,642,right-bottom,B_amount
11AX,practice,1,1,2051,938,643,right-bottom,B_amount
11AX,practice,1,1,2068,944,645,right-bottom,B_amount
11AX,practice,1,1,2084,949,645,right-bottom,B_amount
11AX,practice,1,1,2101,954,646,right-bottom,B_amount
