subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
13ENA,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,100,20,blue,yellow,blue,30,90,A,2322,9149,254,win,30
13ENA,practice,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,90,10,yellow,blue,yellow,30,60,A,1405,4301,162,win,30
13ENA,practice,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,60,90,20,yellow,blue,yellow,50,60,A,918,8230,99,no_win,0
13ENA,practice,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,80,20,blue,yellow,blue,40,80,A,1011,4496,193,win,40
13ENA,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,80,40,blue,yellow,yellow,80,40,B,1368,5080,91,no_win,0
13ENA,practice,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,100,20,blue,yellow,blue,50,90,A,996,2604,232,win,50
13ENA,exp,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,50,50,yellow,blue,yellow,20,70,A,5672,4022,321,win,20
13ENA,exp,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,50,100,30,yellow,blue,blue,100,30,B,1066,5120,341,win,100
13ENA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,70,40,yellow,blue,blue,70,40,B,1009,4503,301,win,70
13ENA,exp,1,4,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,70,30,50,yellow,blue,yellow,50,70,A,794,3974,21,no_win,0
13ENA,exp,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,60,20,blue,yellow,blue,30,90,A,682,3678,63,win,30
13ENA,exp,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,20,blue,yellow,blue,30,60,A,855,2533,128,no_win,0
13ENA,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,70,40,blue,yellow,blue,40,90,A,1031,2883,53,win,40
13ENA,exp,1,8,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,20,blue,yellow,blue,10,90,A,839,3020,116,win,10
13ENA,exp,1,9,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,40,yellow,blue,blue,40,40,B,865,4295,40,no_win,0
13ENA,exp,1,10,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,blue,30,90,A,686,2115,338,win,30
13ENA,exp,1,11,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,blue,60,50,B,840,4414,311,win,60
13ENA,exp,1,12,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,882,5241,94,no_win,0
13ENA,exp,1,13,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,yellow,10,90,A,1051,2997,301,win,10
13ENA,exp,1,14,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,60,70,50,blue,yellow,yellow,70,50,B,991,3750,87,no_win,0
13ENA,exp,1,15,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,80,30,blue,yellow,blue,40,90,A,958,3245,218,win,40
13ENA,exp,1,16,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,60,40,blue,yellow,blue,50,90,A,666,4247,253,win,50
