subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
13ENA,practice,1,1,1133,854,539,none,none
13ENA,practice,1,1,1152,848,535,none,none
13ENA,practice,1,1,1169,842,530,choice-button-left,A_choice_button
13ENA,practice,1,1,1186,825,515,choice-button-left,A_choice_button
13ENA,practice,1,1,1203,791,486,none,none
13ENA,practice,1,1,1220,756,452,none,none
13ENA,practice,1,1,1237,702,396,left-top,A_prob
13ENA,practice,1,1,1252,679,372,left-top,A_prob
13ENA,practice,1,1,1269,651,344,left-top,A_prob
13ENA,practice,1,1,1286,636,330,left-top,A_prob
13ENA,practice,1,1,1302,621,317,left-top,A_prob
13ENA,practice,1,1,1319,614,311,left-top,A_prob
13ENA,practice,1,1,1336,607,307,left-top,A_prob
13ENA,practice,1,1,1352,603,305,left-top,A_prob
13ENA,practice,1,1,1369,602,305,left-top,A_prob
13ENA,practice,1,1,1386,602,305,left-top,A_prob
13ENA,practice,1,1,1436,604,306,left-top,A_prob
13ENA,practice,1,1,1452,606,308,left-top,A_prob
13ENA,practice,1,1,1469,609,310,left-top,A_prob
13ENA,practice,1,1,1486,614,313,left-top,A_prob
13ENA,practice,1,1,1502,620,317,left-top,A_prob
13ENA,practice,1,1,1519,626,321,left-top,A_prob
13ENA,practice,1,1,1536,629,325,left-top,A_prob
13ENA,practice,1,1,1552,633,329,left-top,A_prob
13ENA,practice,1,1,1569,638,333,left-top,A_prob
13ENA,practice,1,1,1586,642,338,left-top,A_prob
13ENA,practice,1,1,1602,646,341,left-top,A_prob
13ENA,practice,1,1,1619,649,343,left-top,A_prob
13ENA,practice,1,1,1637,655,348,left-top,A_prob
13ENA,practice,1,1,1653,658,351,left-top,A_prob
13ENA,practice,1,1,1670,660,353,left-top,A_prob
13ENA,practice,1,1,1686,661,355,left-top,A_prob
13ENA,practice,1,1,1703,663,356,left-top,A_prob
13ENA,practice,1,1,1720,663,357,left-top,A_prob
13ENA,practice,1,1,1736,664,358,left-top,A_prob
13ENA,practice,1,1,1753,665,359,left-top,A_prob
13ENA,practice,1,1,1770,666,359,left-top,A_prob
13ENA,practice,1,1,1786,666,360,left-top,A_prob
13ENA,practice,1,1,1803,667,360,left-top,A_prob
13ENA,practice,1,1,1820,667,360,left-top,A_prob
13ENA,practice,1,1,1837,668,361,left-top,A_prob
13ENA,practice,1,1,2944,668,361,left-top,A_prob
13ENA,practice,1,1,2969,668,366,left-top,A_prob
13ENA,practice,1,1,2986,669,369,left-top,A_prob
13ENA,practice,1,1,3003,670,375,left-top,A_prob
