subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
13LY,practice,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,80,40,yellow,blue,blue,80,40,B,3100,4591,134,no_win,0
13LY,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,80,20,blue,yellow,blue,10,80,A,4516,1540,324,win,10
13LY,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,1392,685,67,no_win,0
13LY,practice,1,4,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,30,50,blue,yellow,blue,50,70,A,1321,668,26,no_win,0
13LY,practice,1,5,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,blue,20,50,B,935,1603,311,win,20
13LY,practice,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,60,40,blue,yellow,yellow,60,40,B,1400,1552,88,no_win,0
13LY,exp,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,40,30,yellow,blue,blue,40,30,B,2301,1600,253,win,40
13LY,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,80,80,40,blue,yellow,blue,60,80,A,3769,1453,277,win,60
13LY,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,80,40,yellow,blue,blue,80,40,B,871,734,118,no_win,0
13LY,exp,1,4,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,20,yellow,blue,blue,40,20,B,784,650,14,no_win,0
13LY,exp,1,5,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,90,50,60,blue,yellow,blue,80,90,A,650,551,271,win,80
13LY,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,757,598,75,no_win,0
13LY,exp,1,7,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,90,30,yellow,blue,yellow,20,60,A,682,520,57,no_win,0
13LY,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,80,90,20,yellow,blue,blue,90,20,B,634,566,95,no_win,0
13LY,exp,1,9,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,blue,20,50,B,1504,1921,145,no_win,0
13LY,exp,1,10,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,70,30,blue,yellow,yellow,70,30,B,637,517,139,no_win,0
