subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
13LY,practice,1,1,4590,589,401,choice-button-left,B_choice_button
13LY,practice,1,2,1538,575,396,choice-button-left,A_choice_button
13LY,practice,1,3,683,670,421,choice-button-right,B_choice_button
13LY,practice,1,4,667,590,398,choice-button-left,A_choice_button
13LY,practice,1,5,1602,586,418,choice-button-left,B_choice_button
13LY,practice,1,6,1551,683,399,choice-button-right,B_choice_button
13LY,exp,1,1,1598,606,413,choice-button-left,B_choice_button
13LY,exp,1,2,1452,587,421,choice-button-left,A_choice_button
13LY,exp,1,3,733,596,414,choice-button-left,B_choice_button
13LY,exp,1,4,650,599,396,choice-button-left,B_choice_button
13LY,exp,1,5,550,590,378,choice-button-left,A_choice_button
13LY,exp,1,6,597,667,392,choice-button-right,B_choice_button
13LY,exp,1,7,519,681,404,choice-button-right,A_choice_button
13LY,exp,1,8,565,594,408,choice-button-left,B_choice_button
13LY,exp,1,9,1920,603,406,choice-button-left,B_choice_button
13LY,exp,1,10,516,693,407,choice-button-right,B_choice_button
13LY,exp,1,11,616,690,392,choice-button-right,B_choice_button
13LY,exp,1,12,2399,680,391,choice-button-right,B_choice_button
13LY,exp,1,13,766,603,398,choice-button-left,A_choice_button
13LY,exp,1,14,566,603,410,choice-button-left,B_choice_button
13LY,exp,1,15,550,603,401,choice-button-left,A_choice_button
13LY,exp,1,16,565,600,412,choice-button-left,A_choice_button
13LY,exp,1,17,900,591,405,choice-button-left,A_choice_button
13LY,exp,1,18,500,687,398,choice-button-right,A_choice_button
13LY,exp,1,19,547,692,384,choice-button-right,A_choice_button
13LY,exp,1,20,434,582,391,choice-button-left,B_choice_button
13LY,exp,1,21,498,602,390,choice-button-left,A_choice_button
13LY,exp,1,22,515,602,393,choice-button-left,B_choice_button
13LY,exp,1,23,432,692,402,choice-button-right,B_choice_button
13LY,exp,1,24,652,699,392,choice-button-right,B_choice_button
13LY,exp,1,25,399,696,396,choice-button-right,B_choice_button
13LY,exp,1,26,416,681,395,choice-button-right,A_choice_button
13LY,exp,1,27,566,598,410,choice-button-left,B_choice_button
13LY,exp,1,28,465,622,384,choice-button-left,B_choice_button
13LY,exp,1,29,436,690,392,choice-button-right,B_choice_button
13LY,exp,1,30,451,680,396,choice-button-right,A_choice_button
13LY,exp,1,31,447,683,400,choice-button-right,B_choice_button
13LY,exp,1,32,529,580,378,choice-button-left,A_choice_button
13LY,exp,1,33,484,586,396,choice-button-left,B_choice_button
13LY,exp,1,34,452,595,382,choice-button-left,B_choice_button
13LY,exp,1,35,2501,836,243,right-top,A_amount
