subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
14DA,practice,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,80,40,yellow,blue,blue,80,40,B,2338,8109,201,no_win,0
14DA,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,40,50,blue,yellow,blue,20,90,A,1381,4973,56,win,20
14DA,practice,1,3,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,80,60,10,yellow,blue,yellow,80,80,A,1401,5346,228,win,80
14DA,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,40,blue,yellow,yellow,100,40,B,2314,7103,62,no_win,0
14DA,practice,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,40,blue,yellow,yellow,80,40,B,1476,6615,278,win,80
14DA,practice,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,100,20,yellow,blue,yellow,50,90,A,1356,5731,296,win,50
14DA,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,3186,5608,236,no_win,0
14DA,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,90,20,blue,yellow,yellow,90,20,B,2666,4535,215,no_win,0
14DA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,50,40,20,yellow,blue,yellow,10,50,A,994,5536,231,win,10
14DA,exp,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,30,blue,yellow,blue,60,80,A,818,7823,201,win,60
14DA,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,80,30,blue,yellow,blue,20,90,A,1103,5837,106,win,20
14DA,exp,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,70,30,yellow,blue,blue,70,30,B,902,5204,305,win,70
14DA,exp,1,7,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,20,yellow,blue,yellow,10,60,A,784,3703,118,no_win,0
14DA,exp,1,8,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,50,100,30,yellow,blue,blue,100,30,B,939,3694,95,no_win,0
