subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
14DA,practice,1,1,225,807,449,none,none
14DA,practice,1,1,262,807,450,none,none
14DA,practice,1,1,283,808,450,none,none
14DA,practice,1,1,448,807,450,none,none
14DA,practice,1,1,463,807,451,none,none
14DA,practice,1,1,512,806,451,none,none
14DA,practice,1,1,623,806,452,none,none
14DA,practice,1,1,739,805,452,none,none
14DA,practice,1,1,791,804,452,none,none
14DA,practice,1,1,829,803,452,none,none
14DA,practice,1,1,861,802,452,none,none
14DA,practice,1,1,894,801,452,none,none
14DA,practice,1,1,899,799,452,none,none
14DA,practice,1,1,912,798,453,none,none
14DA,practice,1,1,929,792,453,none,none
14DA,practice,1,1,946,787,454,choice-button-left,B_choice_button
14DA,practice,1,1,962,782,455,choice-button-left,B_choice_button
14DA,practice,1,1,979,778,456,choice-button-left,B_choice_button
14DA,practice,1,1,996,777,456,choice-button-left,B_choice_button
14DA,practice,1,1,1016,776,457,choice-button-left,B_choice_button
14DA,practice,1,1,1217,777,457,choice-button-left,B_choice_button
14DA,practice,1,1,1239,777,458,choice-button-left,B_choice_button
14DA,practice,1,1,1283,777,460,choice-button-left,B_choice_button
14DA,practice,1,1,1299,775,462,choice-button-left,B_choice_button
14DA,practice,1,1,1312,763,475,choice-button-left,B_choice_button
14DA,practice,1,1,1330,743,495,none,none
14DA,practice,1,1,1346,712,529,none,none
14DA,practice,1,1,1362,658,585,left-bottom,B_prob
14DA,practice,1,1,1379,623,627,left-bottom,B_prob
14DA,practice,1,1,1452,596,674,left-bottom,B_prob
14DA,practice,1,1,1466,596,677,left-bottom,B_prob
14DA,practice,1,1,1478,594,678,left-bottom,B_prob
14DA,practice,1,1,1495,593,680,left-bottom,B_prob
14DA,practice,1,1,1511,592,683,left-bottom,B_prob
14DA,practice,1,1,1528,591,683,left-bottom,B_prob
14DA,practice,1,1,1545,590,684,left-bottom,B_prob
14DA,practice,1,1,1567,589,685,left-bottom,B_prob
14DA,practice,1,1,1612,587,685,left-bottom,B_prob
14DA,practice,1,1,1628,586,683,left-bottom,B_prob
14DA,practice,1,1,1645,586,681,left-bottom,B_prob
14DA,practice,1,1,1661,585,679,left-bottom,B_prob
14DA,practice,1,1,1678,585,678,left-bottom,B_prob
14DA,practice,1,1,1695,585,677,left-bottom,B_prob
14DA,practice,1,1,1711,585,676,left-bottom,B_prob
14DA,practice,1,1,1742,585,675,left-bottom,B_prob
14DA,practice,1,1,1864,586,675,left-bottom,B_prob
14DA,practice,1,1,1947,587,675,left-bottom,B_prob
14DA,practice,1,1,1995,588,675,left-bottom,B_prob
14DA,practice,1,1,2023,589,675,left-bottom,B_prob
14DA,practice,1,1,2090,590,675,left-bottom,B_prob
14DA,practice,1,1,2132,590,674,left-bottom,B_prob
14DA,practice,1,1,2313,591,674,left-bottom,B_prob
14DA,practice,1,1,2408,591,673,left-bottom,B_prob
14DA,practice,1,1,2446,590,672,left-bottom,B_prob
14DA,practice,1,1,2476,589,671,left-bottom,B_prob
14DA,practice,1,1,2522,589,670,left-bottom,B_prob
14DA,practice,1,1,2562,588,670,left-bottom,B_prob
14DA,practice,1,1,2993,588,659,left-bottom,B_prob
14DA,practice,1,1,3000,587,641,left-bottom,B_prob
