subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
-14RI,practice,1,1,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,90,60,40,20,yellow,blue,blue,40,20,B,3476,3500,137,no_win,0
-14RI,practice,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,50,70,30,blue,yellow,yellow,70,30,B,1056,5171,197,no_win,0
-14RI,practice,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,1081,5107,343,win,80
-14RI,practice,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,80,50,blue,yellow,yellow,80,50,B,1541,5389,162,no_win,0
-14RI,practice,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,799,4066,34,no_win,0
-14RI,practice,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,50,50,yellow,blue,blue,50,50,B,2728,4034,6,no_win,0
-14RI,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,90,30,blue,yellow,yellow,90,30,B,1322,3799,157,no_win,0
-14RI,exp,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,40,yellow,blue,blue,100,40,B,1139,3913,330,win,100
-14RI,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,80,10,yellow,blue,yellow,30,60,A,1211,3775,295,win,30
-14RI,exp,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,90,30,blue,yellow,yellow,90,30,B,1323,3767,124,no_win,0
-14RI,exp,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,50,40,20,yellow,blue,blue,40,20,B,1244,3372,359,win,40
-14RI,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,11224,5123,169,no_win,0
-14RI,exp,1,7,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,70,50,yellow,blue,blue,70,50,B,978,4243,214,win,70
-14RI,exp,1,8,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,70,30,blue,yellow,blue,10,80,A,14570,4268,180,win,10
-14RI,exp,1,9,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,yellow,40,20,B,1136,3888,275,no_win,0
-14RI,exp,1,10,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,80,50,blue,yellow,blue,40,60,A,1124,3695,159,win,40
-14RI,exp,1,11,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,90,50,blue,yellow,blue,20,90,A,2089,2363,298,win,20
-14RI,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,70,20,yellow,blue,blue,70,20,B,2308,2419,268,no_win,0
-14RI,exp,1,13,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,70,50,40,blue,yellow,yellow,50,40,B,1271,3299,227,win,50
-14RI,exp,1,14,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,60,90,20,yellow,blue,yellow,50,60,A,1041,3009,145,win,50
-14RI,exp,1,15,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,1176,3065,315,no_win,0
-14RI,exp,1,16,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,70,80,30,40,blue,yellow,blue,70,80,A,1032,3823,344,win,70
-14RI,exp,1,17,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,80,20,blue,yellow,yellow,80,20,B,774,2581,329,win,80
-14RI,exp,1,18,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,80,30,blue,yellow,yellow,80,30,B,862,2404,131,no_win,0
-14RI,exp,1,19,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,725,3259,217,no_win,0
