subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
-14RI,practice,1,1,746,736,461,none,none
-14RI,practice,1,1,760,734,460,none,none
-14RI,practice,1,1,776,732,457,none,none
-14RI,practice,1,1,793,727,454,none,none
-14RI,practice,1,1,809,720,452,choice-button-left,B_choice_button
-14RI,practice,1,1,826,715,450,choice-button-left,B_choice_button
-14RI,practice,1,1,843,711,449,choice-button-left,B_choice_button
-14RI,practice,1,1,859,708,449,choice-button-left,B_choice_button
-14RI,practice,1,1,876,706,449,choice-button-left,B_choice_button
-14RI,practice,1,1,893,704,449,choice-button-left,B_choice_button
-14RI,practice,1,1,909,703,449,choice-button-left,B_choice_button
-14RI,practice,1,1,926,703,449,choice-button-left,B_choice_button
-14RI,practice,1,1,942,702,450,choice-button-left,B_choice_button
-14RI,practice,1,1,959,702,451,choice-button-left,B_choice_button
-14RI,practice,1,1,976,702,453,choice-button-left,B_choice_button
-14RI,practice,1,1,993,702,455,choice-button-left,B_choice_button
-14RI,practice,1,1,1009,702,457,choice-button-left,B_choice_button
-14RI,practice,1,1,1026,702,460,choice-button-left,B_choice_button
-14RI,practice,1,1,1043,702,462,choice-button-left,B_choice_button
-14RI,practice,1,1,1059,702,463,choice-button-left,B_choice_button
-14RI,practice,1,1,1076,702,464,choice-button-left,B_choice_button
-14RI,practice,1,1,1092,702,465,choice-button-left,B_choice_button
-14RI,practice,1,1,1109,702,465,choice-button-left,B_choice_button
-14RI,practice,1,1,2053,702,465,choice-button-left,B_choice_button
-14RI,practice,1,1,2118,702,465,choice-button-left,B_choice_button
-14RI,practice,1,1,2126,702,465,choice-button-left,B_choice_button
-14RI,practice,1,1,2142,703,465,choice-button-left,B_choice_button
-14RI,practice,1,1,2159,704,464,choice-button-left,B_choice_button
-14RI,practice,1,1,2176,705,464,choice-button-left,B_choice_button
-14RI,practice,1,1,2192,706,463,choice-button-left,B_choice_button
-14RI,practice,1,1,2209,707,462,choice-button-left,B_choice_button
-14RI,practice,1,1,2226,708,462,choice-button-left,B_choice_button
-14RI,practice,1,1,2242,709,461,choice-button-left,B_choice_button
-14RI,practice,1,1,2259,711,461,choice-button-left,B_choice_button
-14RI,practice,1,1,2276,713,461,choice-button-left,B_choice_button
-14RI,practice,1,1,2292,714,460,choice-button-left,B_choice_button
-14RI,practice,1,1,2310,716,460,choice-button-left,B_choice_button
-14RI,practice,1,1,2325,719,460,choice-button-left,B_choice_button
-14RI,practice,1,1,2343,721,460,choice-button-left,B_choice_button
-14RI,practice,1,1,2359,725,459,none,none
-14RI,practice,1,1,2376,728,459,none,none
-14RI,practice,1,1,2392,730,459,none,none
-14RI,practice,1,1,2409,731,459,none,none
-14RI,practice,1,1,2426,733,458,none,none
-14RI,practice,1,1,2443,735,458,none,none
-14RI,practice,1,1,2459,737,458,none,none
-14RI,practice,1,1,2476,739,458,none,none
-14RI,practice,1,1,2493,742,458,none,none
-14RI,practice,1,1,2509,744,458,none,none
-14RI,practice,1,1,2526,747,459,none,none
-14RI,practice,1,1,2543,749,459,choice-button-right,A_choice_button
-14RI,practice,1,1,2559,753,460,choice-button-right,A_choice_button
-14RI,practice,1,1,2576,759,462,choice-button-right,A_choice_button
-14RI,practice,1,1,2593,762,462,choice-button-right,A_choice_button
-14RI,practice,1,1,2609,768,463,choice-button-right,A_choice_button
-14RI,practice,1,1,2626,773,464,choice-button-right,A_choice_button
-14RI,practice,1,1,2643,776,465,choice-button-right,A_choice_button
-14RI,practice,1,1,2659,780,466,choice-button-right,A_choice_button
-14RI,practice,1,1,2676,781,466,choice-button-right,A_choice_button
-14RI,practice,1,1,2692,783,466,choice-button-right,A_choice_button
-14RI,practice,1,1,2710,783,466,choice-button-right,A_choice_button
-14RI,practice,1,1,2726,784,467,choice-button-right,A_choice_button
-14RI,practice,1,1,2776,784,467,choice-button-right,A_choice_button
-14RI,practice,1,1,2792,782,467,choice-button-right,A_choice_button
-14RI,practice,1,1,2809,779,468,choice-button-right,A_choice_button
-14RI,practice,1,1,2826,773,468,choice-button-right,A_choice_button
-14RI,practice,1,1,2842,768,468,choice-button-right,A_choice_button
-14RI,practice,1,1,2859,760,468,choice-button-right,A_choice_button
-14RI,practice,1,1,2876,755,468,choice-button-right,A_choice_button
-14RI,practice,1,1,2893,752,468,choice-button-right,A_choice_button
-14RI,practice,1,1,2909,750,467,choice-button-right,A_choice_button
-14RI,practice,1,1,2926,748,466,choice-button-right,A_choice_button
-14RI,practice,1,1,2942,747,466,none,none
-14RI,practice,1,1,2959,745,465,none,none
-14RI,practice,1,1,2976,744,465,none,none
-14RI,practice,1,1,2993,742,465,none,none
-14RI,practice,1,1,3009,740,465,none,none
-14RI,practice,1,1,3026,738,465,none,none
-14RI,practice,1,1,3042,736,464,none,none
-14RI,practice,1,1,3059,734,464,none,none
-14RI,practice,1,1,3076,731,464,none,none
