subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
19AN,practice,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,50,90,20,blue,yellow,yellow,90,20,B,1919,12021,296,win,90
19AN,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,50,50,blue,yellow,blue,20,60,A,1370,6050,337,win,20
19AN,practice,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,100,20,blue,yellow,yellow,100,20,B,2068,5370,204,no_win,0
19AN,practice,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,80,30,yellow,blue,yellow,20,70,A,1102,8876,129,win,20
19AN,practice,1,5,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,yellow,60,70,A,989,10621,14,no_win,0
19AN,practice,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,70,30,yellow,blue,yellow,50,50,A,2096,7852,229,win,50
19AN,exp,1,1,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,yellow,60,70,A,6365,4304,4,no_win,0
19AN,exp,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,50,blue,yellow,blue,50,90,A,39831,8724,240,win,50
19AN,exp,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,3408,4195,125,no_win,0
19AN,exp,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,90,30,blue,yellow,yellow,90,30,B,726,3497,327,win,90
19AN,exp,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,70,30,yellow,blue,blue,70,30,B,1074,4750,7,no_win,0
19AN,exp,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,70,30,yellow,blue,blue,70,30,B,782,6443,70,no_win,0
19AN,exp,1,7,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,50,40,blue,yellow,yellow,50,40,B,1398,2232,141,no_win,0
19AN,exp,1,8,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,100,40,yellow,blue,blue,100,40,B,1077,2208,156,no_win,0
19AN,exp,1,9,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,yellow,80,40,B,2128,3054,160,no_win,0
19AN,exp,1,10,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,50,70,30,blue,yellow,yellow,70,30,B,1334,2756,57,no_win,0
19AN,exp,1,11,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,80,30,blue,yellow,yellow,80,30,B,1066,3063,90,no_win,0
19AN,exp,1,12,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,70,40,blue,yellow,yellow,70,40,B,650,2862,142,no_win,0
19AN,exp,1,13,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,80,40,yellow,blue,blue,80,40,B,1009,2739,144,no_win,0
19AN,exp,1,14,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,80,60,10,yellow,blue,yellow,80,80,A,504,3897,2,no_win,0
19AN,exp,1,15,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,60,80,yellow,blue,yellow,80,90,A,945,2762,173,win,80
