subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
19AN,practice,1,1,475,801,453,none,none
19AN,practice,1,1,494,793,453,none,none
19AN,practice,1,1,519,778,453,choice-button-left,A_choice_button
19AN,practice,1,1,544,767,453,choice-button-left,A_choice_button
19AN,practice,1,1,570,763,453,choice-button-left,A_choice_button
19AN,practice,1,1,594,759,453,choice-button-left,A_choice_button
19AN,practice,1,1,619,758,453,choice-button-left,A_choice_button
19AN,practice,1,1,696,759,457,choice-button-left,A_choice_button
19AN,practice,1,1,720,762,459,choice-button-left,A_choice_button
19AN,practice,1,1,745,766,462,choice-button-left,A_choice_button
19AN,practice,1,1,770,769,465,choice-button-left,A_choice_button
19AN,practice,1,1,795,770,465,choice-button-left,A_choice_button
19AN,practice,1,1,820,771,465,choice-button-left,A_choice_button
19AN,practice,1,1,846,773,465,choice-button-left,A_choice_button
19AN,practice,1,1,871,780,461,choice-button-left,A_choice_button
19AN,practice,1,1,896,790,457,none,none
19AN,practice,1,1,921,802,452,none,none
19AN,practice,1,1,946,811,448,none,none
19AN,practice,1,1,971,814,447,choice-button-right,B_choice_button
19AN,practice,1,1,1007,809,444,none,none
19AN,practice,1,1,1021,799,438,none,none
19AN,practice,1,1,1047,786,431,choice-button-left,A_choice_button
19AN,practice,1,1,1072,744,409,none,none
19AN,practice,1,1,1097,698,377,none,none
19AN,practice,1,1,1122,663,350,none,none
19AN,practice,1,1,1147,636,323,left-top,A_amount
19AN,practice,1,1,1172,628,311,left-top,A_amount
19AN,practice,1,1,1197,626,304,left-top,A_amount
19AN,practice,1,1,1223,625,302,left-top,A_amount
19AN,practice,1,1,1252,625,301,left-top,A_amount
19AN,practice,1,1,1323,627,301,left-top,A_amount
19AN,practice,1,1,1348,628,301,left-top,A_amount
19AN,practice,1,1,1717,630,299,left-top,A_amount
19AN,practice,1,1,1743,642,288,left-top,A_amount
19AN,practice,1,1,1757,695,266,left-top,A_amount
19AN,practice,1,1,1776,739,251,none,none
19AN,practice,1,1,1800,829,232,none,none
19AN,practice,1,1,1826,874,227,none,none
19AN,practice,1,1,1851,972,221,right-top,A_prob
19AN,practice,1,1,1876,1035,213,right-top,A_prob
19AN,practice,1,1,1938,1086,201,right-top,A_prob
19AN,practice,1,1,1953,1093,198,none,none
19AN,practice,1,1,1977,1098,196,none,none
19AN,practice,1,1,2002,1102,195,none,none
19AN,practice,1,1,2027,1103,194,none,none
