subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
21-MA,practice,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,40,40,blue,yellow,blue,30,60,A,1602,12291,102,no_win,0
21-MA,practice,1,2,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,30,50,blue,yellow,blue,50,70,A,2196,4049,178,win,50
21-MA,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,50,40,yellow,blue,yellow,20,80,A,1042,4113,232,win,20
21-MA,practice,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,70,50,40,yellow,blue,blue,50,40,B,1047,2215,31,no_win,0
21-MA,practice,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,40,yellow,blue,yellow,30,80,A,834,699,267,win,30
21-MA,practice,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,80,20,yellow,blue,yellow,10,90,A,794,771,296,win,10
21-MA,exp,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,80,30,yellow,blue,blue,80,30,B,2224,3905,159,no_win,0
21-MA,exp,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,50,20,blue,yellow,blue,10,90,A,605,460,348,win,10
21-MA,exp,1,3,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,80,60,10,yellow,blue,yellow,80,80,A,581,476,157,win,80
21-MA,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,50,70,30,yellow,blue,blue,70,30,B,604,849,65,no_win,0
21-MA,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,60,50,yellow,blue,yellow,50,90,A,398,546,152,win,50
21-MA,exp,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,70,10,blue,yellow,yellow,70,10,B,454,628,8,no_win,0
21-MA,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,90,30,blue,yellow,yellow,90,30,B,328,928,272,win,90
21-MA,exp,1,8,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,70,80,30,40,yellow,blue,blue,30,40,B,1567,540,44,no_win,0
21-MA,exp,1,9,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,30,blue,yellow,yellow,70,30,B,508,500,51,no_win,0
21-MA,exp,1,10,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,70,50,40,yellow,blue,blue,50,40,B,558,594,234,win,50
21-MA,exp,1,11,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,40,yellow,blue,blue,100,40,B,636,627,253,win,100
21-MA,exp,1,12,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,1447,1373,240,no_win,0
21-MA,exp,1,13,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,80,20,yellow,blue,blue,80,20,B,827,2366,44,no_win,0
21-MA,exp,1,14,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,50,50,blue,yellow,yellow,50,50,B,501,556,217,win,50
21-MA,exp,1,15,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,yellow,80,40,B,627,468,209,no_win,0
21-MA,exp,1,16,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,40,40,blue,yellow,yellow,40,40,B,517,714,177,no_win,0
21-MA,exp,1,17,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,100,20,blue,yellow,blue,10,90,A,814,562,354,win,10
21-MA,exp,1,18,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,70,50,blue,yellow,yellow,70,50,B,874,1611,341,win,70
21-MA,exp,1,19,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,90,50,blue,yellow,blue,60,70,A,861,857,25,no_win,0
21-MA,exp,1,20,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,80,40,yellow,blue,yellow,50,50,A,594,793,46,no_win,0
21-MA,exp,1,21,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,70,80,20,yellow,blue,blue,80,20,B,768,1174,281,no_win,0
21-MA,exp,1,22,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,70,30,yellow,blue,yellow,30,80,A,919,579,61,no_win,0
21-MA,exp,1,23,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,50,40,yellow,blue,blue,50,40,B,1232,658,14,no_win,0
21-MA,exp,1,24,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,100,20,blue,yellow,blue,40,90,A,715,722,215,win,40
21-MA,exp,1,25,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,959,539,346,win,100
21-MA,exp,1,26,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,90,20,blue,yellow,yellow,90,20,B,1081,468,83,no_win,0
21-MA,exp,1,27,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,90,50,blue,yellow,blue,20,90,A,1508,976,356,win,20
21-MA,exp,1,28,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,70,60,50,yellow,blue,yellow,30,70,A,703,1127,253,win,30
21-MA,exp,1,29,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,50,40,20,blue,yellow,blue,10,50,A,948,610,247,win,10
21-MA,exp,1,30,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,90,30,yellow,blue,yellow,40,90,A,786,445,13,no_win,0
21-MA,exp,1,31,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,blue,10,90,A,1310,1215,82,win,10
21-MA,exp,1,32,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,70,40,yellow,blue,blue,70,40,B,2838,840,81,no_win,0
21-MA,exp,1,33,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,40,50,blue,yellow,blue,20,90,A,1248,1706,277,win,20
21-MA,exp,1,34,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,60,90,20,blue,yellow,blue,50,60,A,5689,1238,159,win,50
21-MA,exp,1,35,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,80,30,yellow,blue,yellow,20,70,A,1523,9941,347,win,20
21-MA,exp,1,36,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,40,30,blue,yellow,yellow,40,30,B,1406,3588,85,no_win,0
21-MA,exp,1,37,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,60,80,50,yellow,blue,blue,80,50,B,936,1222,5,no_win,0
21-MA,exp,1,38,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,60,50,40,blue,yellow,blue,40,60,A,1246,459,123,no_win,0
21-MA,exp,1,39,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,60,90,50,yellow,blue,yellow,60,60,A,494,563,202,win,60
21-MA,exp,1,40,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,70,40,yellow,blue,yellow,20,70,A,571,460,217,win,20
21-MA,exp,1,41,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,90,80,30,yellow,blue,yellow,40,90,A,641,459,276,win,40
21-MA,exp,1,42,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,50,90,20,yellow,blue,yellow,30,50,A,729,452,35,no_win,0
21-MA,exp,1,43,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,90,10,yellow,blue,yellow,30,60,A,1174,1786,150,win,30
21-MA,exp,1,44,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,879,4382,33,no_win,0
21-MA,exp,1,45,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,90,40,blue,yellow,blue,30,70,A,563,491,60,no_win,0
21-MA,exp,1,46,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,20,50,yellow,blue,blue,20,50,B,851,436,195,win,20
21-MA,exp,1,47,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,90,50,blue,yellow,yellow,90,50,B,603,444,280,win,90
21-MA,exp,1,48,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,50,50,yellow,blue,yellow,20,70,A,736,556,204,win,20
21-MA,exp,1,49,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,90,60,40,yellow,blue,yellow,50,90,A,586,459,135,win,50
21-MA,exp,1,50,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,70,30,yellow,blue,blue,70,30,B,1871,515,159,no_win,0
21-MA,exp,1,51,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,yellow,40,90,A,516,516,127,win,40
21-MA,exp,1,52,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,yellow,30,60,A,927,650,267,win,30
21-MA,exp,1,53,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,80,20,blue,yellow,yellow,80,20,B,2363,571,63,no_win,0
21-MA,exp,1,54,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,100,20,yellow,blue,blue,100,20,B,475,579,83,no_win,0
