subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
21-MA,practice,1,1,830,753,473,none,none
21-MA,practice,1,1,839,752,473,none,none
21-MA,practice,1,1,848,751,473,none,none
21-MA,practice,1,1,856,749,473,none,none
21-MA,practice,1,1,864,748,473,none,none
21-MA,practice,1,1,872,746,473,none,none
21-MA,practice,1,1,881,745,473,none,none
21-MA,practice,1,1,889,743,473,choice-button-left,A_choice_button
21-MA,practice,1,1,897,742,473,choice-button-left,A_choice_button
21-MA,practice,1,1,906,740,473,choice-button-left,A_choice_button
21-MA,practice,1,1,914,738,473,choice-button-left,A_choice_button
21-MA,practice,1,1,923,737,473,choice-button-left,A_choice_button
21-MA,practice,1,1,931,735,473,choice-button-left,A_choice_button
21-MA,practice,1,1,939,734,473,choice-button-left,A_choice_button
21-MA,practice,1,1,948,732,473,choice-button-left,A_choice_button
21-MA,practice,1,1,956,731,473,choice-button-left,A_choice_button
21-MA,practice,1,1,964,730,473,choice-button-left,A_choice_button
21-MA,practice,1,1,973,729,473,choice-button-left,A_choice_button
21-MA,practice,1,1,981,728,473,choice-button-left,A_choice_button
21-MA,practice,1,1,989,728,473,choice-button-left,A_choice_button
21-MA,practice,1,1,998,727,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1006,727,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1014,726,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1022,726,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1031,725,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1039,725,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1052,725,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1059,724,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1083,724,473,choice-button-left,A_choice_button
21-MA,practice,1,1,1433,724,472,choice-button-left,A_choice_button
21-MA,practice,1,1,1440,723,472,choice-button-left,A_choice_button
21-MA,practice,1,1,1448,721,469,choice-button-left,A_choice_button
21-MA,practice,1,1,1456,718,466,choice-button-left,A_choice_button
21-MA,practice,1,1,1464,712,460,choice-button-left,A_choice_button
21-MA,practice,1,1,1472,705,452,choice-button-left,A_choice_button
21-MA,practice,1,1,1481,695,441,none,none
21-MA,practice,1,1,1489,685,431,none,none
21-MA,practice,1,1,1497,672,419,none,none
21-MA,practice,1,1,1506,662,409,none,none
21-MA,practice,1,1,1514,647,398,none,none
21-MA,practice,1,1,1523,643,393,none,none
21-MA,practice,1,1,1530,630,384,none,none
21-MA,practice,1,1,1539,620,375,none,none
21-MA,practice,1,1,1547,610,367,none,none
21-MA,practice,1,1,1557,602,360,left-top,A_amount
21-MA,practice,1,1,1564,594,353,left-top,A_amount
21-MA,practice,1,1,1573,588,346,left-top,A_amount
21-MA,practice,1,1,1581,583,340,left-top,A_amount
21-MA,practice,1,1,1589,578,333,left-top,A_amount
21-MA,practice,1,1,1598,576,328,left-top,A_amount
21-MA,practice,1,1,1606,573,322,left-top,A_amount
21-MA,practice,1,1,1614,571,316,left-top,A_amount
21-MA,practice,1,1,1623,569,306,left-top,A_amount
21-MA,practice,1,1,1631,569,303,left-top,A_amount
21-MA,practice,1,1,1640,569,299,left-top,A_amount
21-MA,practice,1,1,1647,569,297,left-top,A_amount
21-MA,practice,1,1,1656,568,295,left-top,A_amount
21-MA,practice,1,1,1664,568,293,left-top,A_amount
21-MA,practice,1,1,1673,568,293,left-top,A_amount
21-MA,practice,1,1,1682,568,292,left-top,A_amount
21-MA,practice,1,1,1689,568,292,left-top,A_amount
21-MA,practice,1,1,1702,568,291,left-top,A_amount
21-MA,practice,1,1,1710,568,291,left-top,A_amount
21-MA,practice,1,1,1718,568,291,left-top,A_amount
21-MA,practice,1,1,1726,567,291,left-top,A_amount
21-MA,practice,1,1,1734,567,290,left-top,A_amount
21-MA,practice,1,1,1742,567,290,left-top,A_amount
21-MA,practice,1,1,1749,567,290,left-top,A_amount
21-MA,practice,1,1,1757,566,290,left-top,A_amount
21-MA,practice,1,1,1765,566,290,left-top,A_amount
21-MA,practice,1,1,1773,566,289,left-top,A_amount
21-MA,practice,1,1,1781,566,289,left-top,A_amount
21-MA,practice,1,1,2879,566,289,left-top,A_amount
21-MA,practice,1,1,2889,568,289,left-top,A_amount
21-MA,practice,1,1,2898,570,289,left-top,A_amount
21-MA,practice,1,1,2906,574,289,left-top,A_amount
21-MA,practice,1,1,2914,581,288,left-top,A_amount
21-MA,practice,1,1,2922,593,286,left-top,A_amount
21-MA,practice,1,1,2931,605,284,left-top,A_amount
21-MA,practice,1,1,2939,620,281,left-top,A_amount
