subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
22IE,practice,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,70,30,blue,yellow,blue,10,90,A,1983,14746,183,win,10
22IE,practice,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,30,blue,yellow,blue,60,80,A,1686,8183,46,no_win,0
22IE,practice,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,90,10,yellow,blue,blue,90,10,B,1506,8102,360,win,90
22IE,practice,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,20,yellow,blue,yellow,30,60,A,1605,10402,140,no_win,0
22IE,practice,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,50,50,yellow,blue,blue,50,50,B,1374,4535,357,win,50
22IE,practice,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,1607,4681,44,no_win,0
22IE,exp,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,60,90,20,yellow,blue,yellow,50,60,A,15236,16798,290,win,50
22IE,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,40,blue,yellow,blue,60,50,A,20777,5598,70,no_win,0
22IE,exp,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,60,90,50,blue,yellow,yellow,90,50,B,1006,4650,276,win,90
22IE,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,70,80,20,yellow,blue,yellow,40,70,A,3341,5130,221,win,40
22IE,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,80,40,blue,yellow,blue,60,80,A,2507,4833,255,win,60
22IE,exp,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,50,70,30,yellow,blue,blue,70,30,B,2886,5033,293,win,70
22IE,exp,1,7,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,70,40,yellow,blue,blue,70,40,B,19805,5135,126,no_win,0
22IE,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,80,10,yellow,blue,yellow,30,60,A,2341,7097,103,no_win,0
22IE,exp,1,9,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,70,50,blue,yellow,blue,60,70,A,2988,3850,269,win,60
22IE,exp,1,10,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,20,yellow,blue,yellow,30,60,A,2471,3569,231,win,30
22IE,exp,1,11,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,3587,5017,241,no_win,0
22IE,exp,1,12,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,60,40,20,blue,yellow,blue,90,60,A,2384,3583,88,no_win,0
22IE,exp,1,13,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,50,60,blue,yellow,blue,80,90,A,2538,2930,233,win,80
22IE,exp,1,14,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,90,40,50,yellow,blue,yellow,20,90,A,2504,3183,155,win,20
22IE,exp,1,15,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,40,yellow,blue,yellow,10,60,A,2170,5016,220,win,10
22IE,exp,1,16,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,100,30,yellow,blue,yellow,50,70,A,2305,2416,348,win,50
22IE,exp,1,17,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,90,50,blue,yellow,blue,60,70,A,2622,4966,280,win,60
22IE,exp,1,18,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,90,30,blue,yellow,blue,60,70,A,2634,2702,194,win,60
22IE,exp,1,19,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,70,20,blue,yellow,blue,10,90,A,3168,2968,117,win,10
22IE,exp,1,20,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,80,60,30,yellow,blue,yellow,50,80,A,2651,3100,274,win,50
22IE,exp,1,21,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,70,30,yellow,blue,yellow,30,80,A,2603,2533,54,no_win,0
22IE,exp,1,22,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,90,10,yellow,blue,yellow,30,60,A,1885,2050,72,no_win,0
22IE,exp,1,23,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,blue,90,80,A,1236,2083,49,no_win,0
22IE,exp,1,24,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,70,30,blue,yellow,blue,30,60,A,2067,2850,360,win,30
22IE,exp,1,25,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,100,40,yellow,blue,yellow,30,80,A,2637,2183,303,win,30
22IE,exp,1,26,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,70,20,yellow,blue,yellow,80,90,A,3637,3301,356,win,80
22IE,exp,1,27,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,40,blue,yellow,blue,50,90,A,2769,2120,201,win,50
22IE,exp,1,28,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,90,60,80,yellow,blue,yellow,80,90,A,3270,3233,176,win,80
22IE,exp,1,29,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,70,40,blue,yellow,blue,40,90,A,2754,2780,127,win,40
22IE,exp,1,30,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,80,20,blue,yellow,blue,10,90,A,4788,3017,206,win,10
22IE,exp,1,31,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,100,30,blue,yellow,blue,40,80,A,2655,1997,273,win,40
22IE,exp,1,32,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,50,70,20,yellow,blue,yellow,60,50,A,3521,2652,286,win,60
22IE,exp,1,33,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,3422,2900,233,win,10
22IE,exp,1,34,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,50,50,yellow,blue,yellow,20,70,A,2519,2600,245,win,20
22IE,exp,1,35,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,70,40,yellow,blue,yellow,20,70,A,2939,2634,5,no_win,0
22IE,exp,1,36,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,60,80,50,blue,yellow,blue,40,60,A,1820,2182,206,win,40
22IE,exp,1,37,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,50,40,yellow,blue,yellow,20,80,A,2670,2703,83,win,20
22IE,exp,1,38,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,80,20,yellow,blue,yellow,30,60,A,2887,2399,63,no_win,0
22IE,exp,1,39,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,100,20,yellow,blue,yellow,10,90,A,1919,2515,15,no_win,0
22IE,exp,1,40,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,100,20,blue,yellow,blue,60,70,A,2422,2783,201,win,60
22IE,exp,1,41,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,80,20,yellow,blue,yellow,10,80,A,3155,2266,43,no_win,0
22IE,exp,1,42,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,50,20,yellow,blue,yellow,10,90,A,1852,2152,192,win,10
22IE,exp,1,43,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,100,20,blue,yellow,blue,50,90,A,3019,2400,353,win,50
22IE,exp,1,44,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,80,70,30,yellow,blue,yellow,10,80,A,3088,2047,346,win,10
22IE,exp,1,45,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,70,10,blue,yellow,blue,10,60,A,3541,2383,56,no_win,0
22IE,exp,1,46,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,70,60,10,blue,yellow,blue,10,70,A,1285,2136,158,win,10
22IE,exp,1,47,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,90,20,yellow,blue,yellow,10,70,A,3334,2884,186,win,10
22IE,exp,1,48,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,60,20,yellow,blue,yellow,30,90,A,2953,2468,256,win,30
22IE,exp,1,49,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,80,30,blue,yellow,yellow,80,30,B,2539,4181,49,no_win,0
22IE,exp,1,50,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,30,50,yellow,blue,yellow,50,70,A,2068,2351,240,win,50
22IE,exp,1,51,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,70,30,40,yellow,blue,yellow,80,70,A,2984,2531,34,no_win,0
22IE,exp,1,52,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,blue,30,90,A,2102,2119,39,win,30
22IE,exp,1,53,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,90,50,yellow,blue,yellow,20,90,A,3770,2315,208,win,20
22IE,exp,1,54,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,70,50,40,blue,yellow,blue,40,70,A,2951,3099,192,win,40
22IE,exp,1,55,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,80,20,blue,yellow,blue,40,80,A,3705,2296,16,no_win,0
22IE,exp,1,56,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,80,40,blue,yellow,blue,50,50,A,2004,3716,113,no_win,0
22IE,exp,1,57,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,50,100,30,yellow,blue,yellow,30,50,A,1702,2166,309,win,30
22IE,exp,1,58,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,90,30,blue,yellow,blue,40,90,A,2853,3998,298,win,40
22IE,exp,1,59,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,80,30,blue,yellow,blue,20,70,A,2620,2064,137,win,20
22IE,exp,1,60,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,10,yellow,blue,yellow,30,80,A,2585,3000,135,win,30
22IE,exp,1,61,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,100,20,yellow,blue,yellow,30,60,A,3501,2102,11,no_win,0
