subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
22IE,practice,1,1,746,720,452,none,none
22IE,practice,1,1,757,718,454,none,none
22IE,practice,1,1,774,712,459,none,none
22IE,practice,1,1,791,704,464,choice-button-left,A_choice_button
22IE,practice,1,1,807,696,469,choice-button-left,A_choice_button
22IE,practice,1,1,823,690,471,choice-button-left,A_choice_button
22IE,practice,1,1,839,684,473,choice-button-left,A_choice_button
22IE,practice,1,1,856,680,474,choice-button-left,A_choice_button
22IE,practice,1,1,873,678,475,choice-button-left,A_choice_button
22IE,practice,1,1,890,676,475,choice-button-left,A_choice_button
22IE,practice,1,1,906,675,475,choice-button-left,A_choice_button
22IE,practice,1,1,924,673,473,choice-button-left,A_choice_button
22IE,practice,1,1,941,669,470,choice-button-left,A_choice_button
22IE,practice,1,1,957,662,463,choice-button-left,A_choice_button
22IE,practice,1,1,974,653,454,choice-button-left,A_choice_button
22IE,practice,1,1,991,643,443,none,none
22IE,practice,1,1,1007,631,430,none,none
22IE,practice,1,1,1024,622,418,none,none
22IE,practice,1,1,1040,613,403,none,none
22IE,practice,1,1,1057,605,384,none,none
22IE,practice,1,1,1073,594,350,none,none
22IE,practice,1,1,1091,582,310,left-top,A_amount
22IE,practice,1,1,1107,573,279,left-top,A_amount
22IE,practice,1,1,1123,567,261,left-top,A_amount
22IE,practice,1,1,1141,564,252,left-top,A_amount
22IE,practice,1,1,1157,560,244,left-top,A_amount
22IE,practice,1,1,1174,559,241,left-top,A_amount
22IE,practice,1,1,1191,559,241,left-top,A_amount
22IE,practice,1,1,1207,558,240,left-top,A_amount
22IE,practice,1,1,1226,558,240,left-top,A_amount
22IE,practice,1,1,1242,558,240,left-top,A_amount
22IE,practice,1,1,1258,557,240,left-top,A_amount
22IE,practice,1,1,1282,557,240,left-top,A_amount
22IE,practice,1,1,1298,557,241,left-top,A_amount
22IE,practice,1,1,1314,557,241,left-top,A_amount
22IE,practice,1,1,1330,557,241,left-top,A_amount
22IE,practice,1,1,1354,557,241,left-top,A_amount
