subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
22QI,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,80,30,blue,yellow,blue,20,70,A,1584,2701,131,win,20
22QI,practice,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,50,yellow,blue,blue,60,50,B,1870,1505,93,no_win,0
22QI,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,60,20,blue,yellow,blue,30,90,A,795,1865,152,win,30
22QI,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,40,50,blue,yellow,yellow,40,50,B,785,686,121,no_win,0
22QI,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,100,30,blue,yellow,blue,40,80,A,809,960,83,win,40
22QI,practice,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,70,20,yellow,blue,yellow,30,60,A,804,1078,200,win,30
22QI,exp,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,90,50,blue,yellow,blue,60,70,A,2747,929,68,no_win,0
22QI,exp,1,2,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,70,20,yellow,blue,blue,70,20,B,890,857,164,no_win,0
22QI,exp,1,3,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,70,30,40,blue,yellow,blue,80,70,A,811,903,69,no_win,0
22QI,exp,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,80,80,40,blue,yellow,blue,60,80,A,1449,574,41,no_win,0
22QI,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,100,20,blue,yellow,yellow,100,20,B,670,622,218,no_win,0
22QI,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,60,40,blue,yellow,yellow,60,40,B,661,992,222,win,60
