subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
22QI,practice,1,1,913,580,345,none,none
22QI,practice,1,1,956,579,345,none,none
22QI,practice,1,1,974,579,344,none,none
22QI,practice,1,1,990,578,344,none,none
22QI,practice,1,1,1006,577,344,none,none
22QI,practice,1,1,1038,576,344,none,none
22QI,practice,1,1,1072,576,343,none,none
22QI,practice,1,1,1089,575,343,none,none
22QI,practice,1,1,1105,574,343,none,none
22QI,practice,1,1,1124,573,343,none,none
22QI,practice,1,1,1140,572,343,none,none
22QI,practice,1,1,1189,571,343,none,none
22QI,practice,1,1,1210,570,343,none,none
22QI,practice,1,1,1222,569,343,choice-button-left,A_choice_button
22QI,practice,1,1,1239,569,344,choice-button-left,A_choice_button
22QI,practice,1,1,1258,568,344,choice-button-left,A_choice_button
22QI,practice,1,1,1305,567,344,choice-button-left,A_choice_button
22QI,practice,1,1,1322,566,345,choice-button-left,A_choice_button
22QI,practice,1,1,1344,565,345,choice-button-left,A_choice_button
22QI,practice,1,1,1360,564,345,choice-button-left,A_choice_button
22QI,practice,1,1,1405,563,346,choice-button-left,A_choice_button
22QI,practice,1,1,1455,562,346,choice-button-left,A_choice_button
22QI,practice,1,1,1472,562,347,choice-button-left,A_choice_button
22QI,practice,1,1,1542,561,347,choice-button-left,A_choice_button
22QI,practice,1,1,1819,561,348,choice-button-left,A_choice_button
22QI,practice,1,1,1966,560,348,choice-button-left,A_choice_button
22QI,practice,1,1,2006,559,349,choice-button-left,A_choice_button
22QI,practice,1,1,2022,558,349,choice-button-left,A_choice_button
22QI,practice,1,1,2038,556,349,choice-button-left,A_choice_button
22QI,practice,1,1,2055,555,349,choice-button-left,A_choice_button
22QI,practice,1,1,2072,553,349,choice-button-left,A_choice_button
22QI,practice,1,1,2122,552,349,choice-button-left,A_choice_button
22QI,practice,1,1,2283,551,349,choice-button-left,A_choice_button
22QI,practice,1,2,584,575,353,none,none
22QI,practice,1,2,594,576,353,none,none
22QI,practice,1,2,610,579,354,none,none
22QI,practice,1,2,627,581,354,none,none
22QI,practice,1,2,644,584,355,none,none
22QI,practice,1,2,661,585,355,none,none
22QI,practice,1,2,677,586,355,none,none
22QI,practice,1,2,694,587,355,none,none
22QI,practice,1,2,725,588,355,none,none
22QI,practice,1,2,764,589,355,none,none
22QI,practice,1,2,779,590,355,none,none
22QI,practice,1,2,843,591,355,none,none
22QI,practice,1,2,994,591,356,none,none
22QI,practice,1,2,1044,588,356,none,none
22QI,practice,1,2,1060,584,358,none,none
22QI,practice,1,2,1077,579,358,none,none
22QI,practice,1,2,1094,576,358,none,none
22QI,practice,1,2,1111,572,358,none,none
22QI,practice,1,2,1127,571,358,none,none
22QI,practice,1,2,1144,569,358,choice-button-left,B_choice_button
22QI,practice,1,2,1205,568,358,choice-button-left,B_choice_button
22QI,practice,1,2,1244,568,359,choice-button-left,B_choice_button
22QI,practice,1,2,1261,567,359,choice-button-left,B_choice_button
22QI,practice,1,2,1300,567,360,choice-button-left,B_choice_button
22QI,practice,1,2,1331,567,360,choice-button-left,B_choice_button
22QI,practice,1,2,1377,567,361,choice-button-left,B_choice_button
22QI,practice,1,3,481,573,360,none,none
22QI,practice,1,3,489,574,360,none,none
22QI,practice,1,3,504,576,360,none,none
22QI,practice,1,3,521,579,360,none,none
22QI,practice,1,3,538,581,360,none,none
22QI,practice,1,3,554,583,360,none,none
22QI,practice,1,3,571,584,360,none,none
22QI,practice,1,3,621,585,360,none,none
22QI,practice,1,3,638,586,360,none,none
22QI,practice,1,3,654,588,360,none,none
22QI,practice,1,3,671,588,361,none,none
22QI,practice,1,3,688,590,361,none,none
22QI,practice,1,3,705,591,361,none,none
22QI,practice,1,3,721,592,361,none,none
22QI,practice,1,3,738,592,362,none,none
22QI,practice,1,3,755,593,362,none,none
22QI,practice,1,3,1196,594,362,none,none
22QI,practice,1,3,1219,595,362,choice-button-right,B_choice_button
22QI,practice,1,3,1235,596,362,choice-button-right,B_choice_button
22QI,practice,1,3,1243,597,362,choice-button-right,B_choice_button
22QI,practice,1,3,1254,598,362,choice-button-right,B_choice_button
22QI,practice,1,3,1271,599,363,choice-button-right,B_choice_button
22QI,practice,1,3,1288,600,363,choice-button-right,B_choice_button
22QI,practice,1,3,1401,599,364,choice-button-right,B_choice_button
22QI,practice,1,3,1409,598,365,choice-button-right,B_choice_button
22QI,practice,1,3,1421,595,366,choice-button-right,B_choice_button
22QI,practice,1,3,1438,590,367,none,none
22QI,practice,1,3,1455,583,368,none,none
22QI,practice,1,3,1471,571,371,none,none
22QI,practice,1,3,1488,564,372,choice-button-left,A_choice_button
22QI,practice,1,3,1505,561,372,choice-button-left,A_choice_button
22QI,practice,1,3,1521,560,372,choice-button-left,A_choice_button
22QI,practice,1,3,1677,560,373,choice-button-left,A_choice_button
22QI,practice,1,3,1721,560,374,choice-button-left,A_choice_button
22QI,practice,1,4,15,587,351,none,none
22QI,practice,1,4,214,587,350,none,none
22QI,practice,1,4,264,588,350,none,none
22QI,practice,1,4,280,590,351,none,none
22QI,practice,1,4,297,591,352,none,none
22QI,practice,1,4,314,593,353,none,none
22QI,practice,1,4,330,594,353,none,none
22QI,practice,1,4,347,596,355,choice-button-right,B_choice_button
22QI,practice,1,4,363,600,358,choice-button-right,B_choice_button
22QI,practice,1,4,380,601,359,choice-button-right,B_choice_button
22QI,practice,1,4,397,604,360,choice-button-right,B_choice_button
22QI,practice,1,4,414,606,361,choice-button-right,B_choice_button
22QI,practice,1,4,433,607,361,choice-button-right,B_choice_button
22QI,practice,1,4,449,608,361,choice-button-right,B_choice_button
22QI,practice,1,4,511,608,361,choice-button-right,B_choice_button
22QI,practice,1,5,13,590,366,none,none
22QI,practice,1,5,386,589,366,none,none
22QI,practice,1,5,402,588,366,none,none
22QI,practice,1,5,412,587,366,none,none
22QI,practice,1,5,429,585,367,none,none
22QI,practice,1,5,446,582,368,none,none
22QI,practice,1,5,463,580,368,none,none
22QI,practice,1,5,479,576,369,none,none
22QI,practice,1,5,496,574,369,none,none
22QI,practice,1,5,513,569,371,choice-button-left,A_choice_button
22QI,practice,1,5,529,568,371,choice-button-left,A_choice_button
22QI,practice,1,5,546,567,371,choice-button-left,A_choice_button
22QI,practice,1,5,563,566,371,choice-button-left,A_choice_button
22QI,practice,1,6,11,577,353,none,none
22QI,practice,1,6,559,578,354,none,none
22QI,practice,1,6,577,580,355,none,none
22QI,practice,1,6,594,584,357,none,none
22QI,practice,1,6,610,587,360,none,none
22QI,practice,1,6,627,590,361,none,none
22QI,practice,1,6,643,592,363,none,none
22QI,practice,1,6,660,593,363,none,none
22QI,practice,1,6,710,594,363,none,none
22QI,practice,1,6,760,594,364,none,none
22QI,practice,1,6,777,595,364,choice-button-right,A_choice_button
22QI,practice,1,6,802,596,365,choice-button-right,A_choice_button
22QI,exp,1,1,10,572,358,none,none
22QI,exp,1,1,495,571,359,none,none
22QI,exp,1,1,508,569,360,choice-button-left,A_choice_button
22QI,exp,1,1,526,563,362,choice-button-left,A_choice_button
22QI,exp,1,1,542,558,363,choice-button-left,A_choice_button
22QI,exp,1,1,559,556,364,choice-button-left,A_choice_button
22QI,exp,1,1,575,554,364,choice-button-left,A_choice_button
22QI,exp,1,1,592,553,364,choice-button-left,A_choice_button
22QI,exp,1,2,456,575,364,none,none
22QI,exp,1,2,471,574,364,none,none
22QI,exp,1,2,487,573,364,none,none
22QI,exp,1,2,499,572,364,none,none
22QI,exp,1,2,515,571,363,none,none
22QI,exp,1,2,533,570,363,none,none
22QI,exp,1,2,549,569,362,choice-button-left,B_choice_button
22QI,exp,1,2,573,568,362,choice-button-left,B_choice_button
22QI,exp,1,3,504,571,355,none,none
22QI,exp,1,3,519,569,355,choice-button-left,A_choice_button
22QI,exp,1,3,534,568,355,choice-button-left,A_choice_button
22QI,exp,1,3,542,567,355,choice-button-left,A_choice_button
22QI,exp,1,3,557,566,355,choice-button-left,A_choice_button
22QI,exp,1,3,613,565,355,choice-button-left,A_choice_button
22QI,exp,1,3,657,564,355,choice-button-left,A_choice_button
22QI,exp,1,4,48,571,358,none,none
22QI,exp,1,4,142,570,358,none,none
22QI,exp,1,4,158,569,358,choice-button-left,A_choice_button
22QI,exp,1,4,174,568,359,choice-button-left,A_choice_button
22QI,exp,1,4,181,568,360,choice-button-left,A_choice_button
22QI,exp,1,4,197,564,363,choice-button-left,A_choice_button
22QI,exp,1,4,214,560,366,choice-button-left,A_choice_button
22QI,exp,1,4,231,558,369,choice-button-left,A_choice_button
22QI,exp,1,4,247,555,370,choice-button-left,A_choice_button
22QI,exp,1,4,264,555,371,choice-button-left,A_choice_button
22QI,exp,1,4,281,554,371,choice-button-left,A_choice_button
22QI,exp,1,4,306,553,371,choice-button-left,A_choice_button
22QI,exp,1,4,314,553,372,choice-button-left,A_choice_button
22QI,exp,1,5,172,588,353,none,none
22QI,exp,1,5,214,589,354,none,none
22QI,exp,1,5,231,591,355,none,none
22QI,exp,1,5,247,592,355,none,none
22QI,exp,1,5,264,594,356,none,none
22QI,exp,1,5,281,596,356,choice-button-right,B_choice_button
22QI,exp,1,5,297,600,358,choice-button-right,B_choice_button
22QI,exp,1,5,314,601,358,choice-button-right,B_choice_button
22QI,exp,1,5,331,603,359,choice-button-right,B_choice_button
22QI,exp,1,5,347,604,360,choice-button-right,B_choice_button
22QI,exp,1,5,370,605,360,choice-button-right,B_choice_button
22QI,exp,1,5,381,605,361,choice-button-right,B_choice_button
22QI,exp,1,5,398,606,361,choice-button-right,B_choice_button
22QI,exp,1,5,415,606,362,choice-button-right,B_choice_button
22QI,exp,1,6,362,591,355,none,none
22QI,exp,1,6,409,592,355,none,none
22QI,exp,1,6,426,593,355,none,none
22QI,exp,1,6,443,593,356,none,none
22QI,exp,1,6,465,594,356,none,none
