subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
23AE,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,90,10,blue,yellow,blue,30,60,A,2451,4483,11,no_win,0
23AE,practice,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,50,40,yellow,blue,blue,50,40,B,1701,1405,302,win,50
23AE,practice,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,40,20,blue,yellow,yellow,40,20,B,1417,1234,196,no_win,0
23AE,practice,1,4,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,70,80,30,40,blue,yellow,yellow,30,40,B,1855,1093,206,no_win,0
23AE,practice,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,90,80,20,yellow,blue,blue,80,20,B,1541,1011,131,no_win,0
23AE,practice,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,90,20,blue,yellow,blue,10,70,A,1434,1190,48,no_win,0
23AE,exp,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,100,20,yellow,blue,yellow,40,90,A,1937,6220,313,win,40
23AE,exp,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,50,blue,yellow,blue,50,90,A,1422,9263,142,win,50
23AE,exp,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,70,40,yellow,blue,blue,70,40,B,1338,9015,126,no_win,0
23AE,exp,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,90,30,yellow,blue,yellow,40,90,A,1210,5740,201,win,40
23AE,exp,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,100,10,yellow,blue,yellow,30,80,A,1227,7306,340,win,30
23AE,exp,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,60,40,yellow,blue,blue,60,40,B,1179,6321,262,win,60
23AE,exp,1,7,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,70,20,yellow,blue,yellow,80,90,A,1383,6444,357,win,80
23AE,exp,1,8,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,90,20,blue,yellow,blue,10,70,A,1214,8215,341,win,10
23AE,exp,1,9,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,80,40,yellow,blue,yellow,50,50,A,1221,5195,272,win,50
23AE,exp,1,10,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,20,blue,yellow,blue,60,50,A,1246,4601,350,win,60
23AE,exp,1,11,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,100,30,blue,yellow,yellow,100,30,B,1209,4870,312,win,100
23AE,exp,1,12,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,80,60,30,yellow,blue,yellow,50,80,A,1020,4007,174,win,50
23AE,exp,1,13,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,80,20,blue,yellow,yellow,80,20,B,1447,4631,272,no_win,0
23AE,exp,1,14,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,50,40,blue,yellow,blue,20,80,A,1730,12384,14,no_win,0
23AE,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,80,30,yellow,blue,yellow,60,80,A,1098,3606,162,win,60
23AE,exp,1,16,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,1274,402,132,no_win,0
