subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
23AE,practice,1,1,888,965,539,none,none
23AE,practice,1,1,895,960,539,none,none
23AE,practice,1,1,909,951,539,none,none
23AE,practice,1,1,926,946,539,choice-button-left,A_choice_button
23AE,practice,1,1,943,942,539,choice-button-left,A_choice_button
23AE,practice,1,1,959,937,539,choice-button-left,A_choice_button
23AE,practice,1,1,976,933,539,choice-button-left,A_choice_button
23AE,practice,1,1,993,930,539,choice-button-left,A_choice_button
23AE,practice,1,1,1009,928,539,choice-button-left,A_choice_button
23AE,practice,1,1,1026,927,539,choice-button-left,A_choice_button
23AE,practice,1,1,1051,925,539,choice-button-left,A_choice_button
23AE,practice,1,1,1061,924,539,choice-button-left,A_choice_button
23AE,practice,1,1,1225,928,540,choice-button-left,A_choice_button
23AE,practice,1,1,1250,954,553,none,none
23AE,practice,1,1,1259,964,560,none,none
23AE,practice,1,1,1276,1010,584,none,none
23AE,practice,1,1,1292,1033,595,none,none
23AE,practice,1,1,1309,1051,603,none,none
23AE,practice,1,1,1326,1068,611,none,none
23AE,practice,1,1,1342,1074,614,none,none
23AE,practice,1,1,1359,1077,615,none,none
23AE,practice,1,1,1376,1078,616,none,none
23AE,practice,1,1,1425,1079,616,none,none
23AE,practice,1,1,3124,1075,616,none,none
23AE,practice,1,1,3141,1070,616,none,none
23AE,practice,1,1,3158,1055,616,none,none
23AE,practice,1,1,3175,1045,614,none,none
23AE,practice,1,1,3193,1028,610,none,none
23AE,practice,1,1,3207,1019,607,none,none
23AE,practice,1,1,3224,1006,600,none,none
23AE,practice,1,1,3241,988,591,none,none
23AE,practice,1,1,3257,958,574,none,none
23AE,practice,1,1,3275,946,568,none,none
23AE,practice,1,1,3291,937,564,choice-button-left,A_choice_button
23AE,practice,1,1,3307,933,564,choice-button-left,A_choice_button
23AE,practice,1,1,3324,932,564,choice-button-left,A_choice_button
23AE,practice,1,1,3349,932,563,choice-button-left,A_choice_button
23AE,practice,1,1,3371,929,562,choice-button-left,A_choice_button
23AE,practice,1,1,3378,924,557,choice-button-left,A_choice_button
23AE,practice,1,1,3391,916,550,choice-button-left,A_choice_button
23AE,practice,1,1,3407,898,536,choice-button-left,A_choice_button
23AE,practice,1,1,3424,893,533,choice-button-left,A_choice_button
23AE,practice,1,1,3441,892,532,choice-button-left,A_choice_button
23AE,practice,1,1,3457,890,532,none,none
23AE,practice,1,1,3893,892,533,choice-button-left,A_choice_button
23AE,practice,1,1,3907,896,535,choice-button-left,A_choice_button
23AE,practice,1,1,3923,906,540,choice-button-left,A_choice_button
23AE,practice,1,1,3940,910,542,choice-button-left,A_choice_button
23AE,practice,1,1,3957,911,543,choice-button-left,A_choice_button
23AE,practice,1,1,3973,912,543,choice-button-left,A_choice_button
23AE,practice,1,1,3990,913,543,choice-button-left,A_choice_button
23AE,practice,1,2,595,953,536,none,none
23AE,practice,1,2,608,951,537,none,none
23AE,practice,1,2,624,949,539,none,none
23AE,practice,1,2,640,948,540,none,none
23AE,practice,1,2,658,948,541,none,none
23AE,practice,1,2,674,947,542,choice-button-left,B_choice_button
23AE,practice,1,2,690,946,543,choice-button-left,B_choice_button
23AE,practice,1,2,707,945,547,choice-button-left,B_choice_button
23AE,practice,1,2,724,943,550,choice-button-left,B_choice_button
23AE,practice,1,2,740,941,552,choice-button-left,B_choice_button
23AE,practice,1,2,757,940,553,choice-button-left,B_choice_button
23AE,practice,1,2,774,938,554,choice-button-left,B_choice_button
23AE,practice,1,2,794,937,554,choice-button-left,B_choice_button
23AE,practice,1,2,853,936,554,choice-button-left,B_choice_button
23AE,practice,1,3,550,963,544,none,none
23AE,practice,1,3,563,976,544,choice-button-right,B_choice_button
23AE,practice,1,3,577,982,544,choice-button-right,B_choice_button
23AE,practice,1,3,594,989,546,choice-button-right,B_choice_button
23AE,practice,1,3,610,992,546,choice-button-right,B_choice_button
