subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
24EP,practice,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,50,40,yellow,blue,blue,50,40,B,2919,6927,354,win,50
24EP,practice,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,blue,50,30,B,1357,2248,75,no_win,0
24EP,practice,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,80,40,blue,yellow,yellow,80,40,B,1358,1031,331,win,80
24EP,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,40,40,blue,yellow,blue,10,60,A,785,983,344,win,10
24EP,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,blue,50,50,A,726,7785,339,win,50
24EP,practice,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,70,30,yellow,blue,yellow,10,80,A,767,4311,13,no_win,0
24EP,exp,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,80,50,yellow,blue,blue,80,50,B,4125,709,106,no_win,0
24EP,exp,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,100,20,blue,yellow,yellow,100,20,B,707,813,244,no_win,0
24EP,exp,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,50,20,blue,yellow,blue,10,90,A,557,2007,123,win,10
24EP,exp,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,648,2306,49,no_win,0
24EP,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,20,blue,yellow,blue,60,50,A,699,539,206,win,60
24EP,exp,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,70,40,blue,yellow,blue,60,80,A,667,967,230,win,60
24EP,exp,1,7,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,blue,30,40,B,3646,643,204,no_win,0
24EP,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,60,20,yellow,blue,yellow,30,90,A,657,1112,291,win,30
24EP,exp,1,9,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,90,80,40,yellow,blue,blue,80,40,B,527,620,127,no_win,0
24EP,exp,1,10,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,80,40,yellow,blue,blue,80,40,B,3678,1909,95,no_win,0
24EP,exp,1,11,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,70,10,yellow,blue,blue,70,10,B,4502,4674,104,no_win,0
24EP,exp,1,12,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,731,626,189,win,30
24EP,exp,1,13,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,90,50,yellow,blue,blue,90,50,B,2844,1215,79,no_win,0
24EP,exp,1,14,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,40,40,yellow,blue,blue,40,40,B,1170,6815,259,win,40
24EP,exp,1,15,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,80,20,blue,yellow,blue,50,70,A,964,692,74,no_win,0
24EP,exp,1,16,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,70,20,blue,yellow,blue,10,90,A,483,997,356,win,10
24EP,exp,1,17,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,786,942,142,no_win,0
24EP,exp,1,18,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,100,20,blue,yellow,blue,30,90,A,1180,613,281,win,30
24EP,exp,1,19,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,40,40,blue,yellow,yellow,40,40,B,1219,1128,72,no_win,0
24EP,exp,1,20,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,80,60,10,blue,yellow,blue,80,80,A,761,1538,28,no_win,0
24EP,exp,1,21,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,blue,50,30,B,1125,709,208,no_win,0
24EP,exp,1,22,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,80,70,50,blue,yellow,blue,90,80,A,860,692,54,no_win,0
24EP,exp,1,23,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,513,837,357,win,80
24EP,exp,1,24,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,blue,70,30,B,896,582,147,no_win,0
24EP,exp,1,25,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,70,50,blue,yellow,blue,60,70,A,779,1959,134,win,60
24EP,exp,1,26,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,70,20,blue,yellow,blue,80,90,A,596,685,332,win,80
24EP,exp,1,27,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,50,50,blue,yellow,yellow,50,50,B,880,2004,66,no_win,0
24EP,exp,1,28,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,20,50,yellow,blue,blue,20,50,B,2133,3738,278,win,20
24EP,exp,1,29,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,80,60,30,yellow,blue,blue,60,30,B,1635,1144,24,no_win,0
24EP,exp,1,30,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,60,90,50,blue,yellow,blue,60,60,A,453,724,3,no_win,0
24EP,exp,1,31,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,90,60,40,20,yellow,blue,blue,40,20,B,645,745,354,win,40
24EP,exp,1,32,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,80,10,blue,yellow,yellow,80,10,B,635,602,56,no_win,0
24EP,exp,1,33,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,90,50,yellow,blue,blue,90,50,B,645,734,153,no_win,0
24EP,exp,1,34,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,80,20,yellow,blue,blue,80,20,B,1248,748,279,no_win,0
24EP,exp,1,35,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,70,30,blue,yellow,yellow,70,30,B,1083,1885,138,no_win,0
24EP,exp,1,36,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,100,30,yellow,blue,blue,100,30,B,718,610,243,no_win,0
24EP,exp,1,37,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,80,40,blue,yellow,blue,60,70,A,559,579,57,no_win,0
24EP,exp,1,38,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,100,20,yellow,blue,blue,100,20,B,2050,732,80,no_win,0
24EP,exp,1,39,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,70,40,yellow,blue,blue,70,40,B,878,595,320,win,70
24EP,exp,1,40,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,90,30,blue,yellow,blue,60,70,A,7839,861,169,win,60
24EP,exp,1,41,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,70,30,yellow,blue,blue,70,30,B,1745,651,107,no_win,0
24EP,exp,1,42,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,664,660,64,no_win,0
24EP,exp,1,43,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,70,30,40,yellow,blue,yellow,80,70,A,515,582,133,win,80
24EP,exp,1,44,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,80,30,yellow,blue,blue,80,30,B,5661,620,151,no_win,0
