subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
24EP,practice,1,1,573,848,533,none,none
24EP,practice,1,1,593,845,533,none,none
24EP,practice,1,1,610,838,530,choice-button-left,B_choice_button
24EP,practice,1,1,626,830,526,choice-button-left,B_choice_button
24EP,practice,1,1,643,824,523,choice-button-left,B_choice_button
24EP,practice,1,1,660,819,520,choice-button-left,B_choice_button
24EP,practice,1,1,676,816,518,choice-button-left,B_choice_button
24EP,practice,1,1,912,815,517,choice-button-left,B_choice_button
24EP,practice,1,1,926,810,511,choice-button-left,B_choice_button
24EP,practice,1,1,943,798,495,none,none
24EP,practice,1,1,959,794,489,none,none
24EP,practice,1,1,977,790,483,none,none
24EP,practice,1,1,993,788,480,none,none
24EP,practice,1,1,1009,787,478,none,none
24EP,practice,1,1,1026,785,476,none,none
24EP,practice,1,1,1043,783,473,none,none
24EP,practice,1,1,1060,779,468,none,none
24EP,practice,1,1,1076,773,456,none,none
24EP,practice,1,1,1093,767,440,none,none
24EP,practice,1,1,1109,759,419,none,none
24EP,practice,1,1,1126,754,402,none,none
24EP,practice,1,1,1143,748,385,none,none
24EP,practice,1,1,1160,744,374,left-top,B_amount
24EP,practice,1,1,1176,742,370,left-top,B_amount
24EP,practice,1,1,1193,740,368,left-top,B_amount
24EP,practice,1,1,1209,740,367,left-top,B_amount
24EP,practice,1,1,1226,738,367,left-top,B_amount
24EP,practice,1,1,1242,738,366,left-top,B_amount
24EP,practice,1,1,1259,736,366,left-top,B_amount
24EP,practice,1,1,1276,735,365,left-top,B_amount
24EP,practice,1,1,1292,733,364,left-top,B_amount
24EP,practice,1,1,1309,731,363,left-top,B_amount
24EP,practice,1,1,1326,730,362,left-top,B_amount
24EP,practice,1,1,1342,728,362,left-top,B_amount
24EP,practice,1,1,1359,728,362,left-top,B_amount
24EP,practice,1,1,1377,728,362,left-top,B_amount
24EP,practice,1,1,1392,730,365,left-top,B_amount
24EP,practice,1,1,1409,741,374,left-top,B_amount
24EP,practice,1,1,1426,766,400,none,none
24EP,practice,1,1,1442,784,424,none,none
24EP,practice,1,1,1459,801,449,none,none
24EP,practice,1,1,1476,813,477,none,none
24EP,practice,1,1,1492,820,496,none,none
24EP,practice,1,1,1509,823,510,choice-button-left,B_choice_button
24EP,practice,1,1,1526,826,520,choice-button-left,B_choice_button
24EP,practice,1,1,1543,827,525,choice-button-left,B_choice_button
24EP,practice,1,1,1560,828,527,choice-button-left,B_choice_button
24EP,practice,1,1,1576,828,527,choice-button-left,B_choice_button
24EP,practice,1,1,1604,828,526,choice-button-left,B_choice_button
24EP,practice,1,1,1612,826,523,choice-button-left,B_choice_button
24EP,practice,1,1,1626,825,521,choice-button-left,B_choice_button
24EP,practice,1,1,1643,823,517,choice-button-left,B_choice_button
24EP,practice,1,1,1660,821,512,choice-button-left,B_choice_button
24EP,practice,1,1,1676,817,508,choice-button-left,B_choice_button
24EP,practice,1,1,1692,816,506,none,none
24EP,practice,1,1,1709,814,505,none,none
24EP,practice,1,1,1726,812,502,none,none
24EP,practice,1,1,1743,808,498,none,none
24EP,practice,1,1,1759,803,492,none,none
24EP,practice,1,1,1776,794,479,none,none
24EP,practice,1,1,1793,783,461,none,none
24EP,practice,1,1,1809,774,439,none,none
24EP,practice,1,1,1826,767,423,none,none
24EP,practice,1,1,1843,763,411,none,none
24EP,practice,1,1,1859,761,401,none,none
24EP,practice,1,1,1876,760,397,none,none
24EP,practice,1,1,2016,760,397,none,none
24EP,practice,1,1,2026,755,396,none,none
24EP,practice,1,1,2044,744,391,none,none
24EP,practice,1,1,2059,727,384,left-top,B_amount
24EP,practice,1,1,2076,699,371,left-top,B_amount
24EP,practice,1,1,2093,681,361,left-top,B_amount
24EP,practice,1,1,2109,669,354,left-top,B_amount
24EP,practice,1,1,2126,660,348,left-top,B_amount
24EP,practice,1,1,2143,656,345,left-top,B_amount
24EP,practice,1,1,2160,654,344,left-top,B_amount
24EP,practice,1,1,2176,654,343,left-top,B_amount
24EP,practice,1,1,2240,653,343,left-top,B_amount
24EP,practice,1,1,2276,653,343,left-top,B_amount
24EP,practice,1,1,2293,653,343,left-top,B_amount
24EP,practice,1,1,2321,653,343,left-top,B_amount
24EP,practice,1,1,2910,653,344,left-top,B_amount
24EP,practice,1,1,2926,655,359,left-top,B_amount
24EP,practice,1,1,2943,661,382,left-top,B_amount
24EP,practice,1,1,2959,674,429,left-top,B_amount
24EP,practice,1,1,2976,683,458,none,none
24EP,practice,1,1,2993,695,517,none,none
24EP,practice,1,1,3009,698,554,none,none
24EP,practice,1,1,3026,700,582,none,none
24EP,practice,1,1,3042,701,610,none,none
24EP,practice,1,1,3059,701,628,none,none
24EP,practice,1,1,3076,697,638,none,none
24EP,practice,1,1,3093,690,646,left-bottom,B_prob
