subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
25IS,practice,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,80,40,yellow,blue,yellow,50,50,A,3199,13332,269,win,50
25IS,practice,1,2,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,90,80,70,50,yellow,blue,yellow,90,80,A,2623,8368,199,win,90
25IS,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,80,90,20,yellow,blue,yellow,20,80,A,1125,13267,138,win,20
25IS,practice,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,80,40,yellow,blue,yellow,60,80,A,2058,7017,219,win,60
25IS,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,80,20,blue,yellow,blue,10,90,A,992,7631,284,win,10
25IS,practice,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,100,20,blue,yellow,blue,30,60,A,1225,5465,121,no_win,0
25IS,exp,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,80,30,blue,yellow,blue,20,90,A,2749,3283,317,win,20
25IS,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,blue,50,50,A,1505,5933,207,win,50
25IS,exp,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,90,100,20,yellow,blue,yellow,50,90,A,1840,5232,266,win,50
25IS,exp,1,4,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,90,70,20,blue,yellow,blue,80,90,A,922,5083,172,win,80
25IS,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,70,30,yellow,blue,yellow,50,50,A,1088,5216,187,win,50
25IS,exp,1,6,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,50,60,yellow,blue,yellow,80,90,A,856,4550,252,win,80
25IS,exp,1,7,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,80,60,30,yellow,blue,yellow,50,80,A,1006,3965,36,no_win,0
25IS,exp,1,8,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,70,30,50,yellow,blue,yellow,50,70,A,1293,3899,215,win,50
25IS,exp,1,9,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,70,30,yellow,blue,yellow,30,80,A,1123,4799,338,win,30
25IS,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,70,30,yellow,blue,yellow,10,80,A,1037,3683,17,no_win,0
25IS,exp,1,11,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,70,50,yellow,blue,blue,70,50,B,1156,5682,331,win,70
25IS,exp,1,12,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,80,20,blue,yellow,blue,10,90,A,1005,2733,286,win,10
25IS,exp,1,13,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,90,60,80,blue,yellow,yellow,60,80,B,1040,4249,160,win,60
