subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
25IS,practice,1,1,1120,717,454,none,none
25IS,practice,1,1,1134,717,450,none,none
25IS,practice,1,1,1150,719,441,none,none
25IS,practice,1,1,1166,727,426,none,none
25IS,practice,1,1,1183,743,403,none,none
25IS,practice,1,1,1200,765,378,none,none
25IS,practice,1,1,1217,781,361,none,none
25IS,practice,1,1,1234,795,346,none,none
25IS,practice,1,1,1251,807,333,none,none
25IS,practice,1,1,1267,817,320,none,none
25IS,practice,1,1,1284,825,313,none,none
25IS,practice,1,1,1301,832,305,none,none
25IS,practice,1,1,1318,840,299,right-top,A_prob
25IS,practice,1,1,1333,846,294,right-top,A_prob
25IS,practice,1,1,1350,849,292,right-top,A_prob
25IS,practice,1,1,1367,852,289,right-top,A_prob
25IS,practice,1,1,1383,854,287,right-top,A_prob
25IS,practice,1,1,1400,857,286,right-top,A_prob
25IS,practice,1,1,1416,857,285,right-top,A_prob
25IS,practice,1,1,1434,858,285,right-top,A_prob
25IS,practice,1,1,1451,859,284,right-top,A_prob
25IS,practice,1,1,1467,861,283,right-top,A_prob
25IS,practice,1,1,1484,863,282,right-top,A_prob
25IS,practice,1,1,1500,866,281,right-top,A_prob
25IS,practice,1,1,1517,869,279,right-top,A_prob
25IS,practice,1,1,1534,871,278,right-top,A_prob
25IS,practice,1,1,1550,873,277,right-top,A_prob
25IS,practice,1,1,1566,875,277,right-top,A_prob
25IS,practice,1,1,1583,877,276,right-top,A_prob
25IS,practice,1,1,1600,879,274,right-top,A_prob
25IS,practice,1,1,1616,881,274,right-top,A_prob
25IS,practice,1,1,1633,883,273,right-top,A_prob
25IS,practice,1,1,1650,884,272,right-top,A_prob
25IS,practice,1,1,1667,885,272,right-top,A_prob
25IS,practice,1,1,1684,886,272,right-top,A_prob
25IS,practice,1,1,1701,887,272,right-top,A_prob
25IS,practice,1,1,1716,887,272,right-top,A_prob
25IS,practice,1,1,1767,887,271,right-top,A_prob
25IS,practice,1,1,1824,887,271,right-top,A_prob
25IS,practice,1,1,2000,887,271,right-top,A_prob
25IS,practice,1,1,2032,886,271,right-top,A_prob
25IS,practice,1,1,2040,884,273,right-top,A_prob
25IS,practice,1,1,2051,882,275,right-top,A_prob
25IS,practice,1,1,2067,872,290,right-top,A_prob
25IS,practice,1,1,2084,863,303,right-top,A_prob
25IS,practice,1,1,2100,855,313,right-top,A_prob
25IS,practice,1,1,2117,847,325,none,none
25IS,practice,1,1,2133,836,339,none,none
25IS,practice,1,1,2150,828,347,none,none
25IS,practice,1,1,2167,819,357,none,none
25IS,practice,1,1,2184,810,368,none,none
25IS,practice,1,1,2200,807,373,none,none
25IS,practice,1,1,2216,803,381,none,none
25IS,practice,1,1,2233,801,385,none,none
25IS,practice,1,1,2251,800,388,none,none
25IS,practice,1,1,2268,799,389,none,none
25IS,practice,1,1,2284,799,390,none,none
25IS,practice,1,1,2301,798,391,none,none
25IS,practice,1,1,2317,798,391,none,none
25IS,practice,1,1,2335,798,392,none,none
25IS,practice,1,1,2416,799,391,none,none
