subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
25RY,practice,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,5644,1589,354,win,80
25RY,practice,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,80,20,yellow,blue,blue,80,20,B,1058,1757,195,no_win,0
25RY,practice,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,40,30,yellow,blue,yellow,30,80,A,828,1238,70,no_win,0
25RY,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,90,50,blue,yellow,yellow,90,50,B,673,2106,347,win,90
25RY,practice,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,70,20,yellow,blue,yellow,10,90,A,1700,940,111,win,10
25RY,practice,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,90,90,50,yellow,blue,blue,90,50,B,1189,1097,5,no_win,0
25RY,exp,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,70,40,yellow,blue,yellow,60,80,A,4388,1778,166,win,60
25RY,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,1064,1771,119,no_win,0
25RY,exp,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,30,blue,yellow,yellow,70,30,B,605,745,150,no_win,0
25RY,exp,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,50,70,40,yellow,blue,blue,70,40,B,741,672,236,win,70
25RY,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,40,50,yellow,blue,yellow,20,90,A,659,750,172,win,20
25RY,exp,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,90,50,yellow,blue,blue,90,50,B,1407,1446,166,no_win,0
25RY,exp,1,7,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,70,80,20,yellow,blue,blue,80,20,B,657,624,232,no_win,0
25RY,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,50,100,10,yellow,blue,yellow,50,50,A,685,589,123,no_win,0
25RY,exp,1,9,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,60,40,20,blue,yellow,yellow,40,20,B,1578,982,47,no_win,0
25RY,exp,1,10,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,90,40,yellow,blue,yellow,30,70,A,723,1218,339,win,30
25RY,exp,1,11,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,60,40,blue,yellow,blue,20,60,A,1383,686,225,win,20
25RY,exp,1,12,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,80,30,yellow,blue,yellow,20,90,A,550,549,142,win,20
25RY,exp,1,13,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,blue,10,80,A,707,722,328,win,10
25RY,exp,1,14,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,70,30,40,yellow,blue,yellow,80,70,A,690,785,151,win,80
25RY,exp,1,15,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,80,40,blue,yellow,blue,50,50,A,801,701,28,no_win,0
25RY,exp,1,16,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,609,727,8,no_win,0
25RY,exp,1,17,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,60,10,yellow,blue,blue,60,10,B,617,663,157,no_win,0
25RY,exp,1,18,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,40,yellow,blue,yellow,10,60,A,674,563,167,win,10
25RY,exp,1,19,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,70,50,40,blue,yellow,blue,40,70,A,740,638,273,win,40
25RY,exp,1,20,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,40,40,blue,yellow,blue,30,60,A,1066,716,160,win,30
25RY,exp,1,21,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,70,20,yellow,blue,yellow,10,90,A,760,607,63,win,10
25RY,exp,1,22,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,90,90,50,yellow,blue,blue,90,50,B,602,679,137,no_win,0
25RY,exp,1,23,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,90,60,80,yellow,blue,yellow,80,90,A,1818,718,193,win,80
25RY,exp,1,24,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,100,20,yellow,blue,blue,100,20,B,689,762,87,no_win,0
25RY,exp,1,25,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,80,20,blue,yellow,yellow,80,20,B,579,874,333,win,80
25RY,exp,1,26,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,40,yellow,blue,blue,100,40,B,599,794,144,no_win,0
25RY,exp,1,27,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,50,blue,yellow,yellow,60,50,B,578,699,222,win,60
25RY,exp,1,28,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,50,20,blue,yellow,blue,10,90,A,1278,809,322,win,10
