subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
25RY,practice,1,1,255,716,425,none,none
25RY,practice,1,1,273,718,427,none,none
25RY,practice,1,1,290,722,430,none,none
25RY,practice,1,1,307,725,433,none,none
25RY,practice,1,1,324,728,436,none,none
25RY,practice,1,1,339,731,440,none,none
25RY,practice,1,1,356,734,444,choice-button-right,B_choice_button
25RY,practice,1,1,372,738,448,choice-button-right,B_choice_button
25RY,practice,1,1,389,744,454,none,none
25RY,practice,1,1,406,749,458,none,none
25RY,practice,1,1,423,753,463,none,none
25RY,practice,1,1,440,757,467,none,none
25RY,practice,1,1,457,762,472,none,none
25RY,practice,1,1,473,765,477,none,none
25RY,practice,1,1,490,767,483,none,none
25RY,practice,1,1,507,770,490,none,none
25RY,practice,1,1,523,772,498,none,none
25RY,practice,1,1,540,774,508,none,none
25RY,practice,1,1,557,775,520,none,none
25RY,practice,1,1,572,776,537,none,none
25RY,practice,1,1,589,777,549,none,none
25RY,practice,1,1,606,781,570,none,none
25RY,practice,1,1,623,785,581,none,none
25RY,practice,1,1,640,789,590,none,none
25RY,practice,1,1,657,794,597,none,none
25RY,practice,1,1,673,798,601,none,none
25RY,practice,1,1,690,799,603,none,none
25RY,practice,1,1,833,799,603,none,none
25RY,practice,1,1,841,797,603,none,none
25RY,practice,1,1,857,793,601,none,none
25RY,practice,1,1,873,787,597,none,none
25RY,practice,1,1,890,778,587,none,none
25RY,practice,1,1,906,769,572,none,none
25RY,practice,1,1,923,763,560,none,none
25RY,practice,1,1,940,758,544,none,none
25RY,practice,1,1,957,756,526,none,none
25RY,practice,1,1,973,756,510,none,none
25RY,practice,1,1,991,758,495,none,none
25RY,practice,1,1,1007,763,482,none,none
25RY,practice,1,1,1022,768,471,none,none
25RY,practice,1,1,1039,771,465,none,none
25RY,practice,1,1,1056,774,459,none,none
25RY,practice,1,1,1072,776,455,none,none
25RY,practice,1,1,1090,777,455,none,none
25RY,practice,1,1,1106,777,454,none,none
25RY,practice,1,1,1123,777,453,none,none
25RY,practice,1,1,1140,776,452,none,none
25RY,practice,1,1,1157,774,451,choice-button-right,B_choice_button
25RY,practice,1,1,1173,771,449,choice-button-right,B_choice_button
25RY,practice,1,1,1190,769,446,choice-button-right,B_choice_button
25RY,practice,1,1,1207,766,443,choice-button-right,B_choice_button
25RY,practice,1,1,1224,764,441,choice-button-right,B_choice_button
25RY,practice,1,1,1239,762,438,choice-button-right,B_choice_button
25RY,practice,1,1,1256,759,435,choice-button-right,B_choice_button
25RY,practice,1,1,1272,757,432,choice-button-right,B_choice_button
25RY,practice,1,1,1289,755,428,choice-button-right,B_choice_button
25RY,practice,1,1,1307,755,426,choice-button-right,B_choice_button
25RY,practice,1,1,1323,754,425,choice-button-right,B_choice_button
25RY,practice,1,1,1340,754,423,choice-button-right,B_choice_button
25RY,practice,1,1,1357,754,422,choice-button-right,B_choice_button
25RY,practice,1,1,1373,754,421,choice-button-right,B_choice_button
25RY,practice,1,1,1390,753,421,choice-button-right,B_choice_button
25RY,practice,1,1,1409,753,421,choice-button-right,B_choice_button
25RY,practice,1,2,807,715,426,none,none
25RY,practice,1,2,832,716,425,none,none
25RY,practice,1,2,848,716,425,none,none
25RY,practice,1,2,989,716,425,none,none
25RY,practice,1,2,1005,715,425,none,none
25RY,practice,1,2,1021,715,425,none,none
25RY,practice,1,2,1045,715,425,none,none
25RY,practice,1,2,1053,714,425,none,none
25RY,practice,1,2,1065,714,425,none,none
