subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
26BA,practice,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,40,40,yellow,blue,yellow,30,60,A,2941,12603,58,no_win,0
26BA,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,100,20,blue,yellow,yellow,100,20,B,2863,7453,342,win,100
26BA,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,100,20,blue,yellow,blue,10,90,A,1692,6679,12,no_win,0
26BA,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,80,40,blue,yellow,blue,60,70,A,1436,12717,26,no_win,0
26BA,practice,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,90,20,blue,yellow,yellow,90,20,B,1468,5431,357,win,90
26BA,practice,1,6,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,30,50,yellow,blue,yellow,50,70,A,2182,4577,295,win,50
26BA,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,80,40,blue,yellow,blue,50,50,A,2618,12740,354,win,50
26BA,exp,1,2,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,70,80,30,40,yellow,blue,yellow,70,80,A,1573,4947,288,win,70
26BA,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,100,20,yellow,blue,yellow,30,60,A,899,4779,75,no_win,0
26BA,exp,1,4,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,90,60,40,20,blue,yellow,blue,90,60,A,1015,4770,303,win,90
26BA,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,70,50,yellow,blue,yellow,60,70,A,1581,3489,304,win,60
26BA,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,90,40,yellow,blue,yellow,30,70,A,1752,8454,225,win,30
26BA,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,90,20,blue,yellow,blue,10,70,A,351420,5707,215,win,10
26BA,exp,1,8,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,90,90,50,yellow,blue,yellow,20,90,A,41945,6891,229,win,20
26BA,exp,1,9,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,90,80,70,50,yellow,blue,yellow,90,80,A,19236,5868,320,win,90
26BA,exp,1,10,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,70,40,blue,yellow,blue,60,80,A,1614,6150,358,win,60
26BA,exp,1,11,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,100,20,blue,yellow,blue,50,90,A,1891,4417,143,win,50
26BA,exp,1,12,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,60,20,yellow,blue,yellow,30,90,A,1010,6352,65,win,30
26BA,exp,1,13,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,70,30,blue,yellow,yellow,70,30,B,1794,10954,53,no_win,0
26BA,exp,1,14,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,80,30,yellow,blue,yellow,40,90,A,6723,6223,79,win,40
26BA,exp,1,15,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,50,20,blue,yellow,blue,10,90,A,820,4127,215,win,10
26BA,exp,1,16,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,20,blue,yellow,blue,30,60,A,947,5547,191,win,30
26BA,exp,1,17,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,60,10,blue,yellow,blue,10,70,A,1112,10665,85,no_win,0
26BA,exp,1,18,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,70,50,yellow,blue,yellow,40,60,A,3017,37843,343,win,40
26BA,exp,1,19,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,40,yellow,blue,yellow,30,80,A,870,5020,304,win,30
26BA,exp,1,20,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,100,10,yellow,blue,yellow,50,50,A,989,3699,343,win,50
26BA,exp,1,21,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,yellow,20,60,A,901,4343,95,no_win,0
26BA,exp,1,22,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,70,20,blue,yellow,blue,80,90,A,918,4755,59,win,80
26BA,exp,1,23,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,70,40,blue,yellow,blue,20,70,A,52969,5205,194,win,20
26BA,exp,1,24,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,50,50,yellow,blue,yellow,20,60,A,5332,4013,93,no_win,0
26BA,exp,1,25,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,30,50,yellow,blue,yellow,50,70,A,1706,49889,219,win,50
26BA,exp,1,26,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,90,20,blue,yellow,blue,20,80,A,36528,3964,119,win,20
26BA,exp,1,27,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,60,80,yellow,blue,yellow,80,90,A,4433,4521,156,win,80
26BA,exp,1,28,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,40,20,blue,yellow,blue,10,60,A,19787,13328,291,win,10
26BA,exp,1,29,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,70,80,20,blue,yellow,blue,40,70,A,868,3732,300,win,40
26BA,exp,1,30,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,100,20,blue,yellow,blue,60,70,A,3136,3643,45,no_win,0
26BA,exp,1,31,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,80,30,blue,yellow,blue,20,70,A,4065,3160,203,win,20
26BA,exp,1,32,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,90,50,blue,yellow,blue,40,80,A,20276,4997,74,win,40
26BA,exp,1,33,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,100,30,yellow,blue,yellow,30,50,A,5117,5102,254,win,30
26BA,exp,1,34,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,80,40,30,yellow,blue,yellow,30,80,A,17163,3352,329,win,30
26BA,exp,1,35,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,50,70,30,yellow,blue,yellow,20,50,A,1359,4272,279,win,20
26BA,exp,1,36,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,70,100,30,blue,yellow,blue,50,70,A,3573,5811,302,win,50
26BA,exp,1,37,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,50,70,20,yellow,blue,yellow,60,50,A,23706,3481,20,no_win,0
26BA,exp,1,38,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,blue,80,70,A,2661,3779,247,win,80
26BA,exp,1,39,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,50,60,yellow,blue,yellow,80,90,A,4367,5980,102,win,80
26BA,exp,1,40,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,50,90,20,yellow,blue,yellow,30,50,A,1270,4796,180,no_win,0
26BA,exp,1,41,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,80,30,blue,yellow,blue,20,90,A,9508,5352,73,win,20
26BA,exp,1,42,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,70,40,yellow,blue,yellow,40,90,A,12802,19128,98,win,40
26BA,exp,1,43,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,4080,3465,65,no_win,0
26BA,exp,1,44,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,70,10,yellow,blue,yellow,10,60,A,776,4126,226,win,10
26BA,exp,1,45,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,yellow,30,70,A,5524,3497,88,no_win,0
26BA,exp,1,46,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,30,yellow,blue,yellow,60,70,A,708,5343,345,win,60
26BA,exp,1,47,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,80,10,yellow,blue,yellow,30,60,A,4406,9722,45,no_win,0
26BA,exp,1,48,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,70,20,blue,yellow,blue,10,90,A,9953,6080,336,win,10
26BA,exp,1,49,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,40,blue,yellow,blue,30,90,A,932,11418,340,win,30
26BA,exp,1,50,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,100,20,blue,yellow,blue,10,90,A,34966,27564,45,win,10
26BA,exp,1,51,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,60,40,40,blue,yellow,blue,10,60,A,793,12529,324,win,10
26BA,exp,1,52,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,90,30,yellow,blue,yellow,40,90,A,1098,3328,159,win,40
26BA,exp,1,53,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,40,40,yellow,blue,yellow,30,60,A,13925,63208,278,win,30
26BA,exp,1,54,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,60,90,50,yellow,blue,yellow,60,60,A,17792,8236,351,win,60
26BA,exp,1,55,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,80,80,20,yellow,blue,yellow,10,80,A,1102,3480,347,win,10
26BA,exp,1,56,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,80,20,blue,yellow,blue,40,80,A,1202,36724,283,win,40
26BA,exp,1,57,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,60,50,blue,yellow,blue,50,90,A,2491,4149,190,win,50
26BA,exp,1,58,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,100,10,yellow,blue,yellow,30,80,A,10693,3174,222,win,30
26BA,exp,1,59,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,50,70,40,yellow,blue,yellow,60,50,A,1587,3133,164,no_win,0
26BA,exp,1,60,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,80,20,blue,yellow,blue,50,70,A,609,3489,67,no_win,0
26BA,exp,1,61,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,90,30,blue,yellow,blue,20,60,A,815,3940,309,win,20
26BA,exp,1,62,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,60,90,20,blue,yellow,blue,50,60,A,826,25898,213,win,50
26BA,exp,1,63,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,80,60,30,blue,yellow,blue,50,80,A,957,3593,127,win,50
26BA,exp,1,64,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,60,40,yellow,blue,yellow,50,90,A,1421,3245,356,win,50
26BA,exp,1,65,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,70,50,40,yellow,blue,yellow,40,70,A,665,3448,228,win,40
26BA,exp,1,66,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,30,blue,yellow,blue,30,60,A,987,5374,87,no_win,0
26BA,exp,1,67,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,80,40,blue,yellow,blue,60,70,A,1765,3971,21,no_win,0
26BA,exp,1,68,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,50,40,blue,yellow,yellow,50,40,B,1357,17738,288,win,50
26BA,exp,1,69,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,50,40,20,blue,yellow,blue,10,50,A,905,2988,344,win,10
26BA,exp,1,70,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,20,50,blue,yellow,blue,60,70,A,817,3302,320,win,60
26BA,exp,1,71,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,90,40,50,yellow,blue,yellow,20,90,A,6177,3045,129,win,20
26BA,exp,1,72,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,100,30,blue,yellow,blue,40,80,A,829,4648,293,win,40
26BA,exp,1,73,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,80,60,10,blue,yellow,blue,80,80,A,1158,11451,251,win,80
26BA,exp,1,74,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,80,40,yellow,blue,blue,80,40,B,663,6624,134,no_win,0
26BA,exp,1,75,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,80,20,yellow,blue,yellow,10,90,A,833,2845,93,win,10
26BA,exp,1,76,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,80,80,30,blue,yellow,blue,60,80,A,914,3159,149,win,60
26BA,exp,1,77,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,50,70,30,blue,yellow,blue,50,50,A,642,3302,157,no_win,0
26BA,exp,1,78,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,50,yellow,blue,yellow,60,70,A,817,2714,225,win,60
26BA,exp,1,79,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,60,50,40,yellow,blue,yellow,40,60,A,1685,3956,314,win,40
26BA,exp,1,80,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,60,80,50,blue,yellow,blue,40,60,A,1178,4487,43,no_win,0
26BA,exp,1,81,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,100,20,blue,yellow,blue,40,90,A,1717,4664,181,win,40
26BA,exp,1,82,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,yellow,40,90,A,917,9893,45,win,40
26BA,exp,1,83,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,90,10,blue,yellow,blue,30,60,A,675,3222,56,no_win,0
26BA,exp,1,84,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,50,50,yellow,blue,yellow,20,70,A,1047,3665,286,win,20
26BA,exp,1,85,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,70,20,yellow,blue,yellow,30,60,A,1113,7300,278,win,30
26BA,exp,1,86,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,20,blue,yellow,blue,30,90,A,849,3254,38,win,30
26BA,exp,1,87,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,70,30,yellow,blue,yellow,30,80,A,1299,3263,316,win,30
26BA,exp,1,88,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,60,40,yellow,blue,yellow,20,60,A,1023,5293,59,no_win,0
26BA,exp,1,89,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,80,50,40,blue,yellow,blue,20,80,A,802,3142,209,win,20
26BA,exp,1,90,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,100,20,blue,yellow,blue,30,90,A,4029,8630,127,win,30
