subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
26BA,practice,1,1,445,733,461,none,none
26BA,practice,1,1,468,736,461,none,none
26BA,practice,1,1,484,739,461,none,none
26BA,practice,1,1,752,739,461,none,none
26BA,practice,1,1,768,737,461,none,none
26BA,practice,1,1,784,727,459,none,none
26BA,practice,1,1,801,712,452,choice-button-left,B_choice_button
26BA,practice,1,1,817,695,444,choice-button-left,B_choice_button
26BA,practice,1,1,834,677,434,choice-button-left,B_choice_button
26BA,practice,1,1,851,659,422,none,none
26BA,practice,1,1,868,646,413,none,none
26BA,practice,1,1,884,632,401,none,none
26BA,practice,1,1,901,623,391,none,none
26BA,practice,1,1,917,618,386,none,none
26BA,practice,1,1,934,613,381,none,none
26BA,practice,1,1,951,609,376,none,none
26BA,practice,1,1,967,606,371,none,none
26BA,practice,1,1,984,604,366,none,none
26BA,practice,1,1,1001,602,361,none,none
26BA,practice,1,1,1017,600,355,none,none
26BA,practice,1,1,1034,598,346,none,none
26BA,practice,1,1,1051,595,340,left-top,B_prob
26BA,practice,1,1,1067,592,335,left-top,B_prob
26BA,practice,1,1,1084,589,330,left-top,B_prob
26BA,practice,1,1,1100,586,326,left-top,B_prob
26BA,practice,1,1,1117,581,322,left-top,B_prob
26BA,practice,1,1,1134,577,319,left-top,B_prob
26BA,practice,1,1,1150,573,316,left-top,B_prob
26BA,practice,1,1,1167,571,314,left-top,B_prob
26BA,practice,1,1,1184,567,310,left-top,B_prob
26BA,practice,1,1,1719,568,310,left-top,B_prob
26BA,practice,1,1,1734,568,310,left-top,B_prob
26BA,practice,1,1,1751,569,310,left-top,B_prob
26BA,practice,1,1,1768,569,309,left-top,B_prob
26BA,practice,1,1,1784,570,309,left-top,B_prob
26BA,practice,1,1,1801,571,309,left-top,B_prob
26BA,practice,1,1,1817,572,308,left-top,B_prob
26BA,practice,1,1,1834,573,308,left-top,B_prob
26BA,practice,1,1,1851,574,308,left-top,B_prob
26BA,practice,1,1,1867,576,307,left-top,B_prob
26BA,practice,1,1,1884,578,306,left-top,B_prob
26BA,practice,1,1,1901,580,306,left-top,B_prob
26BA,practice,1,1,1917,583,305,left-top,B_prob
26BA,practice,1,1,1934,584,304,left-top,B_prob
26BA,practice,1,1,1951,587,303,left-top,B_prob
26BA,practice,1,1,1967,589,302,left-top,B_prob
26BA,practice,1,1,1984,594,300,left-top,B_prob
26BA,practice,1,1,2001,597,299,left-top,B_prob
26BA,practice,1,1,2017,600,298,left-top,B_prob
26BA,practice,1,1,2034,603,297,left-top,B_prob
26BA,practice,1,1,2051,606,296,left-top,B_prob
26BA,practice,1,1,2067,609,295,left-top,B_prob
26BA,practice,1,1,2084,611,295,left-top,B_prob
26BA,practice,1,1,2101,612,294,left-top,B_prob
26BA,practice,1,1,2117,613,294,left-top,B_prob
26BA,practice,1,1,2134,613,294,left-top,B_prob
26BA,practice,1,1,2194,613,294,left-top,B_prob
26BA,practice,1,1,2202,613,295,left-top,B_prob
26BA,practice,1,1,2217,613,295,left-top,B_prob
26BA,practice,1,1,2234,613,295,left-top,B_prob
26BA,practice,1,1,2251,613,295,left-top,B_prob
26BA,practice,1,1,2267,613,296,left-top,B_prob
26BA,practice,1,1,2284,613,296,left-top,B_prob
26BA,practice,1,1,2301,613,296,left-top,B_prob
26BA,practice,1,1,2533,614,296,left-top,B_prob
26BA,practice,1,1,2550,619,296,left-top,B_prob
26BA,practice,1,1,2557,624,296,left-top,B_prob
26BA,practice,1,1,2567,632,296,none,none
26BA,practice,1,1,2584,651,296,none,none
26BA,practice,1,1,2601,683,296,none,none
26BA,practice,1,1,2617,732,296,none,none
26BA,practice,1,1,2634,761,296,none,none
26BA,practice,1,1,2651,799,292,none,none
26BA,practice,1,1,2667,829,289,none,none
26BA,practice,1,1,2684,847,287,right-top,B_amount
26BA,practice,1,1,2701,864,284,right-top,B_amount
26BA,practice,1,1,2717,873,282,right-top,B_amount
26BA,practice,1,1,2734,888,279,right-top,B_amount
26BA,practice,1,1,2750,892,278,right-top,B_amount
26BA,practice,1,1,2767,896,277,right-top,B_amount
26BA,practice,1,1,2784,898,277,right-top,B_amount
26BA,practice,1,1,2800,899,276,right-top,B_amount
26BA,practice,1,1,2817,900,276,right-top,B_amount
26BA,practice,1,1,2834,900,276,right-top,B_amount
26BA,practice,1,1,2850,900,276,right-top,B_amount
26BA,practice,1,1,2867,901,276,right-top,B_amount
26BA,practice,1,1,2884,902,276,right-top,B_amount
26BA,practice,1,1,2901,903,275,right-top,B_amount
26BA,practice,1,1,2917,905,275,right-top,B_amount
26BA,practice,1,1,2934,906,275,right-top,B_amount
26BA,practice,1,1,2951,907,275,right-top,B_amount
26BA,practice,1,1,2967,908,275,right-top,B_amount
26BA,practice,1,1,2984,912,275,right-top,B_amount
26BA,practice,1,1,3001,914,276,right-top,B_amount
26BA,practice,1,1,3017,916,277,right-top,B_amount
26BA,practice,1,1,3034,917,278,right-top,B_amount
26BA,practice,1,1,3051,918,278,right-top,B_amount
26BA,practice,1,1,3067,918,278,right-top,B_amount
26BA,practice,1,1,3138,918,278,right-top,B_amount
26BA,practice,1,1,3184,918,279,right-top,B_amount
26BA,practice,1,1,3202,918,279,right-top,B_amount
26BA,practice,1,1,3218,918,279,right-top,B_amount
26BA,practice,1,1,3234,918,279,right-top,B_amount
26BA,practice,1,1,3251,917,280,right-top,B_amount
26BA,practice,1,1,3275,917,280,right-top,B_amount
26BA,practice,1,1,3299,917,280,right-top,B_amount
26BA,practice,1,1,3307,917,280,right-top,B_amount
26BA,practice,1,1,3331,917,280,right-top,B_amount
26BA,practice,1,1,3367,916,280,right-top,B_amount
26BA,practice,1,1,3384,916,280,right-top,B_amount
26BA,practice,1,1,3401,913,280,right-top,B_amount
26BA,practice,1,1,3417,905,280,right-top,B_amount
26BA,practice,1,1,3434,891,277,right-top,B_amount
26BA,practice,1,1,3451,858,273,right-top,B_amount
26BA,practice,1,1,3468,818,270,none,none
26BA,practice,1,1,3484,749,267,none,none
26BA,practice,1,1,3500,717,267,none,none
26BA,practice,1,1,3517,677,267,none,none
26BA,practice,1,1,3534,644,267,none,none
26BA,practice,1,1,3551,623,268,left-top,B_prob
26BA,practice,1,1,3567,603,268,left-top,B_prob
26BA,practice,1,1,3583,593,268,left-top,B_prob
26BA,practice,1,1,3601,580,268,left-top,B_prob
26BA,practice,1,1,3617,572,267,left-top,B_prob
26BA,practice,1,1,3634,564,266,left-top,B_prob
26BA,practice,1,1,3651,558,265,left-top,B_prob
26BA,practice,1,1,3667,551,264,left-top,B_prob
26BA,practice,1,1,3684,546,264,left-top,B_prob
26BA,practice,1,1,3701,542,263,left-top,B_prob
26BA,practice,1,1,3717,539,263,left-top,B_prob
26BA,practice,1,1,3734,535,263,left-top,B_prob
26BA,practice,1,1,3751,533,263,left-top,B_prob
26BA,practice,1,1,3767,532,263,left-top,B_prob
26BA,practice,1,1,3784,531,263,left-top,B_prob
26BA,practice,1,1,3871,531,263,left-top,B_prob
26BA,practice,1,1,3887,532,263,left-top,B_prob
26BA,practice,1,1,3934,532,263,left-top,B_prob
26BA,practice,1,1,3951,532,263,left-top,B_prob
26BA,practice,1,1,3968,532,263,left-top,B_prob
26BA,practice,1,1,3984,533,263,left-top,B_prob
26BA,practice,1,1,4001,533,263,left-top,B_prob
26BA,practice,1,1,5290,533,263,left-top,B_prob
26BA,practice,1,1,5306,533,263,left-top,B_prob
26BA,practice,1,1,5322,534,263,left-top,B_prob
26BA,practice,1,1,5334,534,263,left-top,B_prob
26BA,practice,1,1,5351,534,263,left-top,B_prob
26BA,practice,1,1,5368,534,263,left-top,B_prob
26BA,practice,1,1,5383,535,263,left-top,B_prob
26BA,practice,1,1,5401,535,263,left-top,B_prob
26BA,practice,1,1,5417,535,263,left-top,B_prob
26BA,practice,1,1,5434,536,263,left-top,B_prob
26BA,practice,1,1,5451,536,263,left-top,B_prob
26BA,practice,1,1,5467,537,263,left-top,B_prob
26BA,practice,1,1,5484,538,263,left-top,B_prob
26BA,practice,1,1,5501,539,263,left-top,B_prob
26BA,practice,1,1,5517,540,263,left-top,B_prob
26BA,practice,1,1,5534,541,263,left-top,B_prob
26BA,practice,1,1,5551,542,263,left-top,B_prob
26BA,practice,1,1,5567,543,263,left-top,B_prob
26BA,practice,1,1,5584,544,264,left-top,B_prob
26BA,practice,1,1,5601,544,264,left-top,B_prob
26BA,practice,1,1,5617,545,264,left-top,B_prob
26BA,practice,1,1,5634,545,264,left-top,B_prob
26BA,practice,1,1,5652,545,264,left-top,B_prob
26BA,practice,1,1,6160,545,264,left-top,B_prob
26BA,practice,1,1,6184,547,264,left-top,B_prob
26BA,practice,1,1,6201,552,264,left-top,B_prob
26BA,practice,1,1,6217,557,264,left-top,B_prob
26BA,practice,1,1,6234,563,264,left-top,B_prob
26BA,practice,1,1,6251,571,264,left-top,B_prob
26BA,practice,1,1,6267,581,264,left-top,B_prob
26BA,practice,1,1,6284,592,264,left-top,B_prob
26BA,practice,1,1,6301,604,264,left-top,B_prob
26BA,practice,1,1,6317,625,264,left-top,B_prob
