subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
26DI,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,90,50,blue,yellow,blue,60,70,A,2042,18816,330,win,60
26DI,practice,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,20,yellow,blue,blue,70,20,B,1659,19937,248,no_win,0
26DI,practice,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,50,40,blue,yellow,yellow,50,40,B,1224,10992,58,no_win,0
26DI,practice,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,40,40,yellow,blue,yellow,30,60,A,1165,7444,92,no_win,0
26DI,practice,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,70,30,blue,yellow,yellow,70,30,B,709,5949,339,win,70
26DI,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,90,20,blue,yellow,blue,20,80,A,1922,7033,245,win,20
26DI,exp,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,90,40,yellow,blue,blue,90,40,B,2639,7914,182,no_win,0
26DI,exp,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,60,90,50,yellow,blue,yellow,60,60,A,1172,6066,265,win,60
26DI,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,90,10,yellow,blue,yellow,30,60,A,1165,3755,359,win,30
26DI,exp,1,4,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,70,80,30,40,yellow,blue,yellow,70,80,A,1119,3694,251,win,70
26DI,exp,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,50,50,blue,yellow,yellow,50,50,B,1216,6984,124,no_win,0
26DI,exp,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,90,40,50,yellow,blue,yellow,20,90,A,645,10602,140,win,20
26DI,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,80,30,blue,yellow,blue,20,90,A,1440,5966,24,no_win,0
26DI,exp,1,8,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,80,70,40,blue,yellow,blue,60,80,A,1104,5210,342,win,60
26DI,exp,1,9,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,40,40,yellow,blue,blue,40,40,B,2239,14490,101,no_win,0
