subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
26JA,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,40,50,blue,yellow,yellow,40,50,B,2147,3429,244,win,40
26JA,practice,1,2,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,20,50,yellow,blue,yellow,60,70,A,1798,14330,339,win,60
26JA,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,70,30,blue,yellow,blue,30,80,A,1017,19567,248,win,30
26JA,practice,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,50,70,40,yellow,blue,blue,70,40,B,1322,7521,299,win,70
26JA,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,50,40,blue,yellow,yellow,50,40,B,1159,3444,48,no_win,0
26JA,practice,1,6,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,70,50,blue,yellow,blue,60,70,A,1160,7676,224,win,60
26JA,exp,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,50,50,blue,yellow,yellow,50,50,B,1732,7102,60,no_win,0
26JA,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,60,50,blue,yellow,blue,30,70,A,1082,12623,66,no_win,0
26JA,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,90,30,yellow,blue,yellow,60,70,A,969,5001,61,no_win,0
26JA,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,80,60,30,yellow,blue,blue,60,30,B,1408,7604,356,win,60
26JA,exp,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,80,40,yellow,blue,yellow,60,70,A,1524,14373,43,no_win,0
26JA,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,50,50,blue,yellow,yellow,50,50,B,1373,8344,297,win,50
26JA,exp,1,7,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,90,20,yellow,blue,blue,90,20,B,2676,7227,55,no_win,0
26JA,exp,1,8,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,70,20,yellow,blue,yellow,80,90,A,1331,10882,238,win,80
26JA,exp,1,9,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,50,80,40,blue,yellow,blue,50,50,A,1011,6707,89,no_win,0
26JA,exp,1,10,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,1186,7855,121,no_win,0
26JA,exp,1,11,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,80,50,yellow,blue,blue,80,50,B,1043,4774,244,win,80
26JA,exp,1,12,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,80,80,20,yellow,blue,blue,80,20,B,1921,6359,336,win,80
26JA,exp,1,13,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,90,30,yellow,blue,blue,90,30,B,1450,7214,137,no_win,0
26JA,exp,1,14,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,70,10,blue,yellow,yellow,70,10,B,1494,6639,213,no_win,0
26JA,exp,1,15,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,40,30,blue,yellow,blue,30,80,A,667,781,195,win,30
26JA,exp,1,16,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,40,40,blue,yellow,yellow,40,40,B,602,2918,351,win,40
26JA,exp,1,17,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,60,40,blue,yellow,blue,50,90,A,845,795,212,win,50
26JA,exp,1,18,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,80,20,blue,yellow,yellow,80,20,B,864,853,335,win,80
26JA,exp,1,19,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,80,20,yellow,blue,blue,80,20,B,734,834,75,no_win,0
26JA,exp,1,20,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,60,80,yellow,blue,yellow,80,90,A,554,555,60,win,80
26JA,exp,1,21,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,70,80,20,yellow,blue,blue,80,20,B,693,964,128,no_win,0
26JA,exp,1,22,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,629,738,8,no_win,0
26JA,exp,1,23,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,10,blue,yellow,blue,30,80,A,1579,1213,66,no_win,0
26JA,exp,1,24,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,90,80,70,50,yellow,blue,yellow,90,80,A,1685,752,189,win,90
26JA,exp,1,25,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,70,20,yellow,blue,blue,70,20,B,1593,851,144,no_win,0
