subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
26JA,practice,1,1,1121,688,385,none,none
26JA,practice,1,1,1132,679,386,none,none
26JA,practice,1,1,1149,671,387,none,none
26JA,practice,1,1,1166,663,389,choice-button-left,A_choice_button
26JA,practice,1,1,1183,662,390,choice-button-left,A_choice_button
26JA,practice,1,1,1199,661,390,choice-button-left,A_choice_button
26JA,practice,1,1,1216,660,390,choice-button-left,A_choice_button
26JA,practice,1,1,1232,660,390,choice-button-left,A_choice_button
26JA,practice,1,1,1249,660,390,choice-button-left,A_choice_button
26JA,practice,1,1,1266,659,390,choice-button-left,A_choice_button
26JA,practice,1,1,1283,658,390,choice-button-left,A_choice_button
26JA,practice,1,1,1299,658,391,choice-button-left,A_choice_button
26JA,practice,1,1,1315,658,391,choice-button-left,A_choice_button
26JA,practice,1,1,1332,657,391,choice-button-left,A_choice_button
26JA,practice,1,1,1349,657,391,choice-button-left,A_choice_button
26JA,practice,1,1,1365,656,391,choice-button-left,A_choice_button
26JA,practice,1,1,1382,656,391,choice-button-left,A_choice_button
26JA,practice,1,1,1399,655,391,choice-button-left,A_choice_button
26JA,practice,1,1,1416,655,391,choice-button-left,A_choice_button
26JA,practice,1,1,1432,655,391,choice-button-left,A_choice_button
26JA,practice,1,1,1449,654,391,choice-button-left,A_choice_button
26JA,practice,1,1,1466,654,391,choice-button-left,A_choice_button
26JA,practice,1,1,1482,654,391,choice-button-left,A_choice_button
26JA,practice,1,1,1499,654,391,choice-button-left,A_choice_button
26JA,practice,1,1,1516,653,391,choice-button-left,A_choice_button
26JA,practice,1,1,1532,653,391,choice-button-left,A_choice_button
26JA,practice,1,1,1549,653,391,choice-button-left,A_choice_button
26JA,practice,1,1,1566,653,391,choice-button-left,A_choice_button
26JA,practice,1,1,1582,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,1599,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,1616,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,1632,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,1649,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,1666,651,391,choice-button-left,A_choice_button
26JA,practice,1,1,2673,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,2681,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,2698,652,391,choice-button-left,A_choice_button
26JA,practice,1,1,2715,659,393,choice-button-left,A_choice_button
26JA,practice,1,1,2733,684,400,none,none
26JA,practice,1,1,2749,699,406,choice-button-right,B_choice_button
26JA,practice,1,1,2765,715,419,none,none
26JA,practice,1,1,2782,717,420,none,none
26JA,practice,1,1,2799,717,421,none,none
26JA,practice,1,1,2815,718,421,none,none
26JA,practice,1,1,2832,718,421,none,none
26JA,practice,1,1,2903,718,421,none,none
26JA,practice,1,1,2915,719,421,none,none
26JA,practice,1,1,2932,719,421,none,none
26JA,practice,1,1,2948,720,420,none,none
26JA,practice,1,1,2966,721,419,none,none
26JA,practice,1,1,2982,723,415,none,none
26JA,practice,1,1,2999,726,409,choice-button-right,B_choice_button
26JA,practice,1,1,3015,729,402,choice-button-right,B_choice_button
26JA,practice,1,1,3032,730,401,choice-button-right,B_choice_button
26JA,practice,1,1,3048,730,401,choice-button-right,B_choice_button
26JA,practice,1,1,3065,730,400,choice-button-right,B_choice_button
26JA,practice,1,1,3115,730,400,choice-button-right,B_choice_button
26JA,practice,1,1,3132,730,400,choice-button-right,B_choice_button
26JA,practice,1,1,3148,730,400,choice-button-right,B_choice_button
26JA,practice,1,1,3165,730,399,choice-button-right,B_choice_button
26JA,practice,1,1,3182,730,399,choice-button-right,B_choice_button
26JA,practice,1,1,3198,730,399,choice-button-right,B_choice_button
26JA,practice,1,1,3216,730,399,choice-button-right,B_choice_button
26JA,practice,1,1,3232,730,398,choice-button-right,B_choice_button
26JA,practice,1,1,3249,730,398,choice-button-right,B_choice_button
26JA,practice,1,2,1230,683,388,none,none
26JA,practice,1,2,1241,683,388,none,none
26JA,practice,1,2,1258,683,388,none,none
26JA,practice,1,2,1275,683,388,none,none
26JA,practice,1,2,1291,683,388,none,none
26JA,practice,1,2,1308,682,388,none,none
26JA,practice,1,2,1325,682,388,none,none
26JA,practice,1,2,1342,681,387,none,none
26JA,practice,1,2,1359,679,387,none,none
26JA,practice,1,2,1375,678,386,none,none
26JA,practice,1,2,1392,676,386,none,none
26JA,practice,1,2,1409,669,381,choice-button-left,B_choice_button
26JA,practice,1,2,1424,652,367,choice-button-left,B_choice_button
26JA,practice,1,2,1441,643,357,choice-button-left,B_choice_button
26JA,practice,1,2,1459,613,298,none,none
26JA,practice,1,2,1475,595,256,none,none
26JA,practice,1,2,1491,594,252,none,none
26JA,practice,1,2,1508,594,250,none,none
26JA,practice,1,2,1525,593,248,none,none
26JA,practice,1,2,1543,592,246,none,none
26JA,practice,1,2,1559,591,244,none,none
26JA,practice,1,2,1575,591,243,none,none
26JA,practice,1,2,1592,590,242,none,none
26JA,practice,1,2,1609,590,241,none,none
26JA,practice,1,2,1625,590,241,none,none
26JA,practice,1,2,2015,587,241,none,none
26JA,practice,1,2,2025,582,240,none,none
26JA,practice,1,2,2042,576,238,none,none
26JA,practice,1,2,2059,563,237,left-top,B_prob
26JA,practice,1,2,2074,558,236,left-top,B_prob
26JA,practice,1,2,2091,553,236,left-top,B_prob
26JA,practice,1,2,2108,550,235,left-top,B_prob
26JA,practice,1,2,2124,549,235,left-top,B_prob
26JA,practice,1,2,2141,549,235,left-top,B_prob
26JA,practice,1,2,2158,548,235,left-top,B_prob
26JA,practice,1,2,2175,547,235,left-top,B_prob
26JA,practice,1,2,2191,546,235,left-top,B_prob
26JA,practice,1,2,2208,545,235,left-top,B_prob
26JA,practice,1,2,2225,544,235,left-top,B_prob
26JA,practice,1,2,2241,543,235,left-top,B_prob
26JA,practice,1,2,2258,543,235,left-top,B_prob
26JA,practice,1,2,2274,542,235,left-top,B_prob
26JA,practice,1,2,2291,542,235,left-top,B_prob
26JA,practice,1,2,2308,541,235,left-top,B_prob
26JA,practice,1,2,2325,541,235,left-top,B_prob
26JA,practice,1,2,2341,541,235,left-top,B_prob
26JA,practice,1,2,2358,540,235,left-top,B_prob
26JA,practice,1,2,2375,540,235,left-top,B_prob
26JA,practice,1,2,2391,540,235,left-top,B_prob
26JA,practice,1,2,2408,540,235,left-top,B_prob
26JA,practice,1,2,2425,539,235,left-top,B_prob
26JA,practice,1,2,2441,539,235,left-top,B_prob
26JA,practice,1,2,2458,539,235,left-top,B_prob
26JA,practice,1,2,2475,539,235,left-top,B_prob
26JA,practice,1,2,2491,539,235,left-top,B_prob
26JA,practice,1,2,2508,538,235,left-top,B_prob
26JA,practice,1,2,2525,538,235,left-top,B_prob
26JA,practice,1,2,2787,539,235,left-top,B_prob
26JA,practice,1,2,2794,541,234,left-top,B_prob
26JA,practice,1,2,2808,549,232,left-top,B_prob
26JA,practice,1,2,2825,688,185,none,none
26JA,practice,1,2,2842,744,178,none,none
26JA,practice,1,2,2858,815,178,right-top,B_amount
26JA,practice,1,2,2874,819,174,right-top,B_amount
26JA,practice,1,2,2891,832,182,right-top,B_amount
26JA,practice,1,2,2908,908,192,right-top,B_amount
26JA,practice,1,2,2924,919,195,right-top,B_amount
26JA,practice,1,2,2941,938,199,right-top,B_amount
26JA,practice,1,2,2957,956,202,right-top,B_amount
26JA,practice,1,2,2974,963,203,right-top,B_amount
26JA,practice,1,2,2991,964,203,right-top,B_amount
26JA,practice,1,2,3008,965,204,right-top,B_amount
26JA,practice,1,2,3024,966,204,right-top,B_amount
26JA,practice,1,2,3041,966,204,right-top,B_amount
26JA,practice,1,2,3058,966,204,right-top,B_amount
26JA,practice,1,2,3228,966,205,right-top,B_amount
26JA,practice,1,2,3241,966,205,right-top,B_amount
26JA,practice,1,2,3258,965,205,right-top,B_amount
26JA,practice,1,2,3274,965,205,right-top,B_amount
26JA,practice,1,2,3291,963,205,right-top,B_amount
26JA,practice,1,2,3308,959,205,right-top,B_amount
26JA,practice,1,2,3324,956,205,right-top,B_amount
26JA,practice,1,2,3341,951,205,right-top,B_amount
26JA,practice,1,2,3357,945,205,right-top,B_amount
26JA,practice,1,2,3375,938,205,right-top,B_amount
26JA,practice,1,2,3391,931,205,right-top,B_amount
26JA,practice,1,2,3407,896,205,right-top,B_amount
26JA,practice,1,2,3425,883,205,right-top,B_amount
26JA,practice,1,2,3441,866,205,right-top,B_amount
26JA,practice,1,2,3460,743,188,none,none
26JA,practice,1,2,3474,677,184,none,none
26JA,practice,1,2,3491,596,176,none,none
26JA,practice,1,2,3508,551,173,left-top,B_prob
26JA,practice,1,2,3524,531,174,left-top,B_prob
26JA,practice,1,2,3541,530,175,left-top,B_prob
26JA,practice,1,2,3557,527,175,left-top,B_prob
26JA,practice,1,2,3574,523,175,left-top,B_prob
26JA,practice,1,2,3591,521,175,left-top,B_prob
26JA,practice,1,2,3608,518,175,left-top,B_prob
26JA,practice,1,2,3624,514,175,left-top,B_prob
26JA,practice,1,2,3641,513,175,left-top,B_prob
26JA,practice,1,2,3658,510,176,left-top,B_prob
26JA,practice,1,2,3674,508,176,left-top,B_prob
26JA,practice,1,2,3691,507,176,left-top,B_prob
26JA,practice,1,2,3707,506,177,left-top,B_prob
26JA,practice,1,2,3724,506,177,left-top,B_prob
26JA,practice,1,2,3740,506,177,left-top,B_prob
26JA,practice,1,2,3758,505,177,left-top,B_prob
26JA,practice,1,2,3774,505,177,left-top,B_prob
26JA,practice,1,2,3791,505,177,left-top,B_prob
26JA,practice,1,2,3807,505,177,left-top,B_prob
26JA,practice,1,2,3824,504,177,left-top,B_prob
26JA,practice,1,2,3840,504,177,left-top,B_prob
26JA,practice,1,2,3857,504,177,left-top,B_prob
26JA,practice,1,2,3997,504,177,left-top,B_prob
26JA,practice,1,2,4007,504,177,left-top,B_prob
