subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
26KA,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,4686,7154,354,win,90
26KA,practice,1,2,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,20,50,blue,yellow,blue,60,70,A,5516,14065,262,win,60
26KA,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,100,20,yellow,blue,yellow,10,90,A,3745,8781,160,win,10
26KA,practice,1,4,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,90,50,60,blue,yellow,blue,80,90,A,3265,4393,97,win,80
26KA,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,60,50,blue,yellow,yellow,60,50,B,737,5492,158,no_win,0
26KA,practice,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,90,50,blue,yellow,yellow,90,50,B,831,5684,302,win,90
26KA,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,blue,30,90,A,5532,8281,233,win,30
26KA,exp,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,70,50,40,blue,yellow,blue,40,70,A,3178,4986,71,no_win,0
26KA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,100,20,yellow,blue,yellow,60,70,A,1956,5747,310,win,60
26KA,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,90,40,yellow,blue,blue,90,40,B,2303,5505,51,no_win,0
26KA,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,90,30,blue,yellow,blue,20,60,A,4817,9418,94,no_win,0
26KA,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,90,50,blue,yellow,blue,40,80,A,2338,3788,169,win,40
26KA,exp,1,7,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,50,20,yellow,blue,yellow,10,90,A,2258,7569,3,no_win,0
26KA,exp,1,8,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,70,30,40,blue,yellow,blue,80,70,A,8435,3661,102,no_win,0
26KA,exp,1,9,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,60,10,yellow,blue,yellow,10,70,A,3315,4639,163,win,10
26KA,exp,1,10,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,80,20,blue,yellow,blue,10,90,A,617,8121,196,win,10
26KA,exp,1,11,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,90,60,40,20,yellow,blue,yellow,90,60,A,4936,4271,217,win,90
26KA,exp,1,12,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,60,20,blue,yellow,blue,30,90,A,1667,4234,201,win,30
26KA,exp,1,13,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,70,80,20,blue,yellow,blue,40,70,A,618,4853,37,no_win,0
26KA,exp,1,14,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,50,40,blue,yellow,blue,20,60,A,2930,15798,174,win,20
26KA,exp,1,15,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,90,80,20,yellow,blue,yellow,30,90,A,1882,5924,121,win,30
26KA,exp,1,16,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,40,40,blue,yellow,blue,30,60,A,964,7520,122,no_win,0
26KA,exp,1,17,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,80,40,yellow,blue,yellow,60,70,A,738,8131,276,win,60
26KA,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,2715,5194,240,win,10
