subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
26KA,practice,1,1,3,654,364,none,none
26KA,practice,1,1,6,654,364,none,none
26KA,practice,1,1,16,655,364,none,none
26KA,practice,1,1,27,657,363,none,none
26KA,practice,1,1,39,659,362,none,none
26KA,practice,1,1,50,660,361,none,none
26KA,practice,1,1,61,661,360,none,none
26KA,practice,1,1,72,661,360,none,none
26KA,practice,1,1,83,661,359,none,none
26KA,practice,1,1,94,661,359,none,none
26KA,practice,1,1,106,661,359,none,none
26KA,practice,1,1,118,661,358,none,none
26KA,practice,1,1,129,661,358,none,none
26KA,practice,1,1,139,661,358,none,none
26KA,practice,1,1,150,661,358,none,none
26KA,practice,1,1,163,662,357,none,none
26KA,practice,1,1,173,662,357,none,none
26KA,practice,1,1,184,662,357,none,none
26KA,practice,1,1,196,662,357,none,none
26KA,practice,1,1,206,663,356,none,none
26KA,practice,1,1,217,663,356,none,none
26KA,practice,1,1,229,663,356,none,none
26KA,practice,1,1,240,664,357,none,none
26KA,practice,1,1,250,664,358,none,none
26KA,practice,1,1,260,664,361,none,none
26KA,practice,1,1,273,664,364,none,none
26KA,practice,1,1,284,665,367,none,none
26KA,practice,1,1,295,665,369,none,none
26KA,practice,1,1,306,666,371,none,none
26KA,practice,1,1,317,666,373,none,none
26KA,practice,1,1,329,667,377,none,none
26KA,practice,1,1,339,667,380,none,none
26KA,practice,1,1,351,668,382,none,none
26KA,practice,1,1,7127,682,354,choice-button-right,B_choice_button
26KA,practice,1,1,7135,694,359,choice-button-right,B_choice_button
26KA,practice,1,1,7154,690,359,choice-button-right,B_choice_button
26KA,practice,1,2,15,665,353,none,none
26KA,practice,1,2,26,665,354,none,none
26KA,practice,1,2,38,666,354,none,none
26KA,practice,1,2,49,666,353,none,none
26KA,practice,1,2,61,666,351,none,none
26KA,practice,1,2,71,666,347,none,none
26KA,practice,1,2,82,666,341,none,none
26KA,practice,1,2,93,666,337,none,none
26KA,practice,1,2,426,837,167,right-top,B_amount
26KA,practice,1,2,437,837,167,right-top,B_amount
26KA,practice,1,2,448,839,167,right-top,B_amount
26KA,practice,1,2,459,845,167,right-top,B_amount
26KA,practice,1,2,469,856,170,right-top,B_amount
26KA,practice,1,2,587,854,171,right-top,B_amount
26KA,practice,1,2,602,856,172,right-top,B_amount
26KA,practice,1,2,614,857,173,right-top,B_amount
26KA,practice,1,2,625,857,173,right-top,B_amount
26KA,practice,1,2,637,856,174,right-top,B_amount
26KA,practice,1,2,647,856,174,right-top,B_amount
26KA,practice,1,2,661,856,174,right-top,B_amount
26KA,practice,1,2,669,856,174,right-top,B_amount
26KA,practice,1,2,679,856,174,right-top,B_amount
26KA,practice,1,2,686,856,174,right-top,B_amount
26KA,practice,1,2,702,856,174,right-top,B_amount
26KA,practice,1,2,713,856,173,right-top,B_amount
26KA,practice,1,2,725,857,171,right-top,B_amount
26KA,practice,1,2,735,857,169,right-top,B_amount
26KA,practice,1,2,747,857,167,right-top,B_amount
26KA,practice,1,2,758,858,165,right-top,B_amount
26KA,practice,1,2,769,859,162,right-top,B_amount
26KA,practice,1,2,781,861,158,right-top,B_amount
26KA,practice,1,2,791,861,154,right-top,B_amount
26KA,practice,1,2,802,862,152,right-top,B_amount
26KA,practice,1,2,814,863,149,right-top,B_amount
26KA,practice,1,2,824,863,146,right-top,B_amount
26KA,practice,1,2,835,864,143,right-top,B_amount
26KA,practice,1,2,846,864,143,right-top,B_amount
26KA,practice,1,2,7891,848,492,right-bottom,B_prob
26KA,practice,1,2,7903,868,485,right-bottom,B_prob
26KA,practice,1,2,7910,868,485,right-bottom,B_prob
26KA,practice,1,2,7962,859,494,right-bottom,B_prob
26KA,practice,1,2,7978,859,494,right-bottom,B_prob
26KA,practice,1,2,7989,859,493,right-bottom,B_prob
26KA,practice,1,2,8001,860,491,right-bottom,B_prob
26KA,practice,1,2,8013,860,490,right-bottom,B_prob
