subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
27MY,practice,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,90,50,30,yellow,blue,yellow,40,90,A,1716,7572,37,win,40
27MY,practice,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,80,100,40,yellow,blue,blue,100,40,B,1101,7072,162,no_win,0
27MY,practice,1,3,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,70,30,40,yellow,blue,yellow,80,70,A,927,4856,29,no_win,0
27MY,practice,1,4,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,70,30,yellow,blue,yellow,30,60,A,637,4296,174,win,30
27MY,practice,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,80,70,30,yellow,blue,yellow,10,80,A,636,5178,23,no_win,0
27MY,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,70,90,20,blue,yellow,blue,10,70,A,906,3678,283,win,10
27MY,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,50,70,30,blue,yellow,blue,20,50,A,1147,5290,135,no_win,0
27MY,exp,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,60,90,20,yellow,blue,yellow,50,60,A,552,2106,31,no_win,0
27MY,exp,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,100,20,blue,yellow,blue,30,90,A,571,1786,297,win,30
27MY,exp,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,90,40,yellow,blue,blue,90,40,B,737,2690,174,no_win,0
27MY,exp,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,80,20,yellow,blue,yellow,40,80,A,511,1661,107,win,40
27MY,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,60,40,yellow,blue,yellow,20,60,A,919,2114,332,win,20
27MY,exp,1,7,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,70,80,20,yellow,blue,yellow,40,70,A,619,2190,104,no_win,0
27MY,exp,1,8,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,70,60,10,blue,yellow,blue,10,70,A,713,2785,186,win,10
27MY,exp,1,9,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,100,20,blue,yellow,blue,50,90,A,1010,2605,232,win,50
27MY,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,80,40,yellow,blue,yellow,60,80,A,419,2679,206,win,60
27MY,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,80,90,50,yellow,blue,yellow,40,80,A,945,2279,252,win,40
27MY,exp,1,12,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,60,40,20,blue,yellow,blue,10,60,A,772,3012,227,win,10
