subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
27MY,practice,1,1,670,964,540,none,none
27MY,practice,1,1,675,965,540,none,none
27MY,practice,1,1,692,966,540,none,none
27MY,practice,1,1,699,967,540,none,none
27MY,practice,1,1,706,968,540,none,none
27MY,practice,1,1,713,969,540,none,none
27MY,practice,1,1,720,970,539,none,none
27MY,practice,1,1,727,971,539,none,none
27MY,practice,1,1,733,973,538,choice-button-right,A_choice_button
27MY,practice,1,1,740,976,537,choice-button-right,A_choice_button
27MY,practice,1,1,748,977,535,choice-button-right,A_choice_button
27MY,practice,1,1,754,978,535,choice-button-right,A_choice_button
27MY,practice,1,1,761,981,534,choice-button-right,A_choice_button
27MY,practice,1,1,768,983,532,choice-button-right,A_choice_button
27MY,practice,1,1,775,985,531,choice-button-right,A_choice_button
27MY,practice,1,1,782,988,528,choice-button-right,A_choice_button
27MY,practice,1,1,789,991,526,choice-button-right,A_choice_button
27MY,practice,1,1,796,994,523,choice-button-right,A_choice_button
27MY,practice,1,1,803,998,521,choice-button-right,A_choice_button
27MY,practice,1,1,810,1002,518,choice-button-right,A_choice_button
27MY,practice,1,1,817,1006,514,choice-button-right,A_choice_button
27MY,practice,1,1,824,1010,511,none,none
27MY,practice,1,1,831,1013,508,none,none
27MY,practice,1,1,838,1017,505,none,none
27MY,practice,1,1,845,1020,503,none,none
27MY,practice,1,1,852,1022,500,none,none
27MY,practice,1,1,858,1025,498,none,none
27MY,practice,1,1,866,1027,496,none,none
27MY,practice,1,1,872,1031,492,none,none
27MY,practice,1,1,879,1032,490,none,none
27MY,practice,1,1,886,1034,489,none,none
27MY,practice,1,1,893,1035,487,none,none
27MY,practice,1,1,900,1036,485,none,none
27MY,practice,1,1,907,1037,483,none,none
27MY,practice,1,1,915,1038,481,none,none
27MY,practice,1,1,921,1038,479,none,none
27MY,practice,1,1,928,1038,477,none,none
27MY,practice,1,1,935,1038,475,none,none
27MY,practice,1,1,944,1038,471,none,none
27MY,practice,1,1,949,1038,470,none,none
27MY,practice,1,1,956,1037,467,none,none
27MY,practice,1,1,963,1036,464,none,none
27MY,practice,1,1,970,1034,460,none,none
27MY,practice,1,1,977,1031,455,none,none
27MY,practice,1,1,984,1029,452,none,none
27MY,practice,1,1,991,1025,447,none,none
27MY,practice,1,1,998,1020,441,none,none
27MY,practice,1,1,1005,1015,435,none,none
27MY,practice,1,1,1011,1010,431,none,none
