subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
29RD,practice,1,1,824,963,577,none,none
29RD,practice,1,1,841,968,581,none,none
29RD,practice,1,1,857,980,593,choice-button-right,A_choice_button
29RD,practice,1,1,874,992,601,choice-button-right,A_choice_button
29RD,practice,1,1,889,1006,607,none,none
29RD,practice,1,1,905,1026,613,none,none
29RD,practice,1,1,922,1029,613,none,none
29RD,practice,1,1,978,1030,611,none,none
29RD,practice,1,1,995,1034,606,none,none
29RD,practice,1,1,1011,1037,604,none,none
29RD,practice,1,1,1027,1040,602,none,none
29RD,practice,1,1,1044,1042,601,none,none
29RD,practice,1,1,1060,1046,600,none,none
29RD,practice,1,1,1082,1048,598,none,none
29RD,practice,1,1,1139,1049,598,none,none
29RD,practice,1,1,1162,1051,598,none,none
29RD,practice,1,1,1178,1052,598,none,none
29RD,practice,1,1,1195,1058,597,none,none
29RD,practice,1,1,1211,1060,596,none,none
29RD,practice,1,1,1227,1063,594,none,none
29RD,practice,1,1,1244,1068,592,none,none
29RD,practice,1,1,1260,1070,590,none,none
29RD,practice,1,1,1279,1072,590,none,none
29RD,practice,1,1,1295,1073,590,none,none
29RD,practice,1,1,1971,1074,588,none,none
29RD,practice,1,1,2342,1072,591,none,none
29RD,practice,1,1,2359,1070,598,none,none
29RD,practice,1,1,2378,1064,604,none,none
29RD,practice,1,1,2394,1062,605,none,none
29RD,practice,1,1,2411,1062,606,none,none
29RD,practice,1,1,2432,1066,602,none,none
29RD,practice,1,1,2443,1088,588,none,none
29RD,practice,1,1,2460,1108,575,none,none
29RD,practice,1,1,2476,1119,558,none,none
29RD,practice,1,1,2492,1109,525,none,none
29RD,practice,1,1,2509,1086,506,none,none
29RD,practice,1,1,2525,968,438,none,none
29RD,practice,1,1,2542,894,401,none,none
29RD,practice,1,1,2558,755,316,left-top,B_prob
29RD,practice,1,1,2577,706,280,none,none
29RD,practice,1,1,2591,598,190,none,none
29RD,practice,1,1,2620,545,126,none,none
29RD,practice,1,1,2622,532,109,none,none
29RD,practice,1,1,2638,521,90,none,none
29RD,practice,1,1,2661,512,69,none,none
29RD,practice,1,1,2677,512,68,none,none
29RD,practice,1,1,2694,514,74,none,none
29RD,practice,1,1,2710,520,86,none,none
29RD,practice,1,1,2726,536,117,none,none
29RD,practice,1,1,2745,547,134,none,none
29RD,practice,1,1,2761,555,165,none,none
29RD,practice,1,1,2778,555,178,none,none
29RD,practice,1,1,2794,552,206,none,none
29RD,practice,1,1,2810,552,216,none,none
29RD,practice,1,1,2827,556,232,none,none
29RD,practice,1,1,2843,560,236,none,none
29RD,practice,1,1,2859,564,245,none,none
29RD,practice,1,1,2876,566,248,none,none
29RD,practice,1,1,2892,571,253,none,none
29RD,practice,1,1,2911,586,267,none,none
29RD,practice,1,1,2927,591,288,none,none
29RD,practice,1,1,2943,593,299,none,none
29RD,practice,1,1,2960,599,313,none,none
29RD,practice,1,1,2976,632,344,none,none
29RD,practice,1,1,2992,661,358,none,none
29RD,practice,1,1,3009,725,381,left-top,B_prob
29RD,practice,1,1,3025,742,385,left-top,B_prob
29RD,practice,1,1,3041,752,384,left-top,B_prob
29RD,practice,1,1,3057,754,382,left-top,B_prob
29RD,practice,1,1,3074,754,375,left-top,B_prob
29RD,practice,1,1,3090,754,370,left-top,B_prob
29RD,practice,1,1,3106,753,366,left-top,B_prob
29RD,practice,1,1,3123,750,361,left-top,B_prob
29RD,practice,1,1,3145,748,358,left-top,B_prob
29RD,practice,1,1,3161,747,358,left-top,B_prob
29RD,practice,1,1,3231,748,358,left-top,B_prob
29RD,practice,1,1,3242,748,359,left-top,B_prob
29RD,practice,1,1,3261,750,360,left-top,B_prob
29RD,practice,1,1,3278,750,362,left-top,B_prob
29RD,practice,1,1,3294,750,365,left-top,B_prob
29RD,practice,1,1,3310,750,368,left-top,B_prob
29RD,practice,1,1,3327,750,370,left-top,B_prob
29RD,practice,1,1,4007,751,370,left-top,B_prob
29RD,practice,1,1,4024,755,370,left-top,B_prob
29RD,practice,1,1,4040,796,370,left-top,B_prob
29RD,practice,1,1,4061,856,372,left-top,B_prob
29RD,practice,1,1,4078,1006,383,none,none
29RD,practice,1,1,4093,1106,394,right-top,B_amount
29RD,practice,1,1,4108,1227,402,right-top,B_amount
29RD,practice,1,1,4125,1272,400,none,none
29RD,practice,1,1,4140,1312,397,none,none
29RD,practice,1,1,4156,1354,397,none,none
29RD,practice,1,1,4178,1356,397,none,none
29RD,practice,1,1,4198,1355,396,none,none
29RD,practice,1,1,4211,1352,394,none,none
29RD,practice,1,1,4227,1350,394,none,none
29RD,practice,1,1,4246,1348,394,none,none
29RD,practice,1,1,4262,1346,394,none,none
29RD,practice,1,1,4278,1343,394,none,none
29RD,practice,1,1,4294,1338,394,none,none
29RD,practice,1,1,4311,1320,394,none,none
29RD,practice,1,1,4329,1309,394,none,none
29RD,practice,1,1,4339,1300,394,none,none
29RD,practice,1,1,4355,1294,394,none,none
29RD,practice,1,1,4378,1281,394,none,none
29RD,practice,1,1,4468,1280,394,none,none
29RD,practice,1,1,4479,1279,394,none,none
29RD,practice,1,1,4495,1278,394,none,none
29RD,practice,1,1,4511,1275,394,none,none
29RD,practice,1,1,4528,1265,392,none,none
29RD,practice,1,1,4545,1256,392,right-top,B_amount
29RD,practice,1,1,4559,1227,392,right-top,B_amount
29RD,practice,1,1,4579,1216,390,right-top,B_amount
29RD,practice,1,1,4595,1202,391,right-top,B_amount
29RD,practice,1,1,4611,1194,391,right-top,B_amount
29RD,practice,1,1,4628,1181,392,right-top,B_amount
29RD,practice,1,1,4644,1178,394,right-top,B_amount
29RD,practice,1,1,4660,1176,395,right-top,B_amount
29RD,practice,1,1,4677,1175,396,right-top,B_amount
29RD,practice,1,1,4724,1176,396,right-top,B_amount
29RD,practice,1,1,4741,1178,397,right-top,B_amount
29RD,practice,1,1,4762,1179,397,right-top,B_amount
29RD,practice,1,1,4806,1180,397,right-top,B_amount
29RD,practice,1,1,5110,1181,397,right-top,B_amount
29RD,practice,1,1,5335,1182,397,right-top,B_amount
29RD,practice,1,1,5425,1184,397,right-top,B_amount
29RD,practice,1,1,5864,1183,397,right-top,B_amount
29RD,practice,1,1,5874,1179,396,right-top,B_amount
29RD,practice,1,1,5895,1171,398,right-top,B_amount
29RD,practice,1,1,5912,1134,415,right-top,B_amount
29RD,practice,1,1,5928,1115,428,right-top,B_amount
29RD,practice,1,1,5944,1064,449,none,none
29RD,practice,1,1,5959,1050,455,none,none
29RD,practice,1,1,5978,1026,467,none,none
29RD,practice,1,1,5994,1025,468,none,none
29RD,practice,1,1,6055,1025,466,none,none
29RD,practice,1,1,6079,1024,465,none,none
29RD,practice,1,1,6246,1024,463,none,none
29RD,practice,1,1,6382,1024,462,none,none
29RD,practice,1,1,6392,1030,459,none,none
29RD,practice,1,1,6407,1052,450,none,none
29RD,practice,1,1,6423,1077,441,none,none
29RD,practice,1,1,6446,1143,421,right-top,B_amount
29RD,practice,1,1,6460,1202,407,right-top,B_amount
29RD,practice,1,1,6476,1224,400,right-top,B_amount
29RD,practice,1,1,6493,1240,396,right-top,B_amount
29RD,practice,1,1,6509,1249,393,right-top,B_amount
29RD,practice,1,1,6525,1250,392,right-top,B_amount
29RD,practice,1,1,6577,1246,392,right-top,B_amount
29RD,practice,1,1,6594,1242,394,right-top,B_amount
29RD,practice,1,1,6610,1234,397,right-top,B_amount
29RD,practice,1,1,6628,1231,397,right-top,B_amount
29RD,practice,1,1,6644,1230,397,right-top,B_amount
29RD,practice,1,1,6719,1228,397,right-top,B_amount
29RD,practice,1,1,6922,1228,398,right-top,B_amount
29RD,practice,1,1,7202,1225,399,right-top,B_amount
29RD,practice,1,1,7213,1216,404,right-top,B_amount
29RD,practice,1,1,7229,1199,415,right-top,B_amount
29RD,practice,1,1,7245,1170,432,right-top,B_amount
29RD,practice,1,1,7262,1066,481,none,none
29RD,practice,1,1,7277,1004,505,none,none
29RD,practice,1,1,7293,898,547,choice-button-left,B_choice_button
29RD,practice,1,1,7310,842,566,none,none
29RD,practice,1,1,7326,771,599,none,none
29RD,practice,1,1,7342,734,619,none,none
29RD,practice,1,1,7362,677,646,none,none
29RD,practice,1,1,7378,662,657,none,none
29RD,practice,1,1,7394,650,669,none,none
29RD,practice,1,1,7411,649,672,none,none
29RD,practice,1,1,7429,648,672,none,none
29RD,practice,1,1,7450,650,672,none,none
29RD,practice,1,1,7461,653,672,none,none
29RD,practice,1,1,7483,653,674,none,none
29RD,practice,1,1,7496,653,676,none,none
29RD,practice,1,1,7512,654,680,none,none
29RD,practice,1,1,7528,660,693,none,none
29RD,practice,1,1,7545,669,701,none,none
29RD,practice,1,1,7561,684,714,none,none
29RD,practice,1,1,7577,716,730,left-bottom,A_prob
