subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
29TE,practice,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,40,20,yellow,blue,yellow,10,60,A,2244,8532,291,win,10
29TE,practice,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,50,40,blue,yellow,yellow,50,40,B,1053,10432,161,no_win,0
29TE,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,100,20,blue,yellow,blue,30,90,A,1923,6166,151,win,30
29TE,practice,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,50,70,30,blue,yellow,blue,20,50,A,971,6232,91,no_win,0
29TE,practice,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,90,60,40,blue,yellow,blue,50,90,A,1239,5449,137,win,50
29TE,practice,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,10,yellow,blue,blue,100,10,B,971,5734,17,no_win,0
29TE,exp,1,1,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,1531,4650,157,no_win,0
29TE,exp,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,90,90,50,yellow,blue,blue,90,50,B,955,3499,180,no_win,0
29TE,exp,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,70,50,yellow,blue,yellow,60,70,A,974,4066,160,win,60
29TE,exp,1,4,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,60,40,20,blue,yellow,blue,90,60,A,755,4581,125,no_win,0
29TE,exp,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,90,60,20,blue,yellow,blue,30,90,A,906,3616,283,win,30
29TE,exp,1,6,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,100,10,blue,yellow,yellow,100,10,B,1172,5666,233,no_win,0
29TE,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,40,blue,yellow,blue,30,90,A,988,3832,74,win,30
29TE,exp,1,8,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,80,60,30,yellow,blue,yellow,50,80,A,806,3716,347,win,50
29TE,exp,1,9,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,80,50,40,yellow,blue,yellow,20,80,A,788,3749,217,win,20
