subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
29TE,practice,1,1,307,716,455,none,none
29TE,practice,1,1,319,716,455,none,none
29TE,practice,1,1,335,716,456,none,none
29TE,practice,1,1,352,716,456,none,none
29TE,practice,1,1,369,716,457,none,none
29TE,practice,1,1,385,716,457,none,none
29TE,practice,1,1,402,716,458,none,none
29TE,practice,1,1,419,716,458,none,none
29TE,practice,1,1,435,717,459,none,none
29TE,practice,1,1,452,717,460,none,none
29TE,practice,1,1,468,717,461,none,none
29TE,practice,1,1,485,718,462,none,none
29TE,practice,1,1,501,718,463,none,none
29TE,practice,1,1,518,718,464,none,none
29TE,practice,1,1,535,718,464,none,none
29TE,practice,1,1,552,719,465,none,none
29TE,practice,1,1,568,719,465,none,none
29TE,practice,1,1,585,719,466,none,none
29TE,practice,1,1,602,720,466,none,none
29TE,practice,1,1,619,720,466,none,none
29TE,practice,1,1,635,720,467,none,none
29TE,practice,1,1,652,720,467,none,none
29TE,practice,1,1,669,720,467,none,none
29TE,practice,1,1,685,721,468,none,none
29TE,practice,1,1,702,721,468,none,none
29TE,practice,1,1,718,721,468,none,none
29TE,practice,1,1,735,721,468,none,none
29TE,practice,1,1,752,721,468,none,none
29TE,practice,1,1,768,722,468,none,none
29TE,practice,1,1,785,722,469,none,none
29TE,practice,1,1,802,722,469,none,none
29TE,practice,1,1,818,722,469,none,none
29TE,practice,1,1,835,723,469,none,none
29TE,practice,1,1,852,723,469,none,none
29TE,practice,1,1,869,724,469,none,none
29TE,practice,1,1,885,725,469,none,none
29TE,practice,1,1,902,726,468,none,none
29TE,practice,1,1,918,729,465,none,none
29TE,practice,1,1,935,732,463,none,none
29TE,practice,1,1,952,735,460,choice-button-right,A_choice_button
29TE,practice,1,1,969,738,457,choice-button-right,A_choice_button
29TE,practice,1,1,984,741,454,choice-button-right,A_choice_button
29TE,practice,1,1,1001,743,453,choice-button-right,A_choice_button
29TE,practice,1,1,1018,745,451,choice-button-right,A_choice_button
29TE,practice,1,1,1035,746,451,choice-button-right,A_choice_button
29TE,practice,1,1,1052,748,450,choice-button-right,A_choice_button
29TE,practice,1,1,1069,749,450,choice-button-right,A_choice_button
29TE,practice,1,1,1085,750,449,choice-button-right,A_choice_button
29TE,practice,1,1,1102,750,449,choice-button-right,A_choice_button
29TE,practice,1,1,1118,751,449,choice-button-right,A_choice_button
29TE,practice,1,1,1135,751,449,choice-button-right,A_choice_button
29TE,practice,1,1,1152,752,449,choice-button-right,A_choice_button
29TE,practice,1,1,1168,752,448,choice-button-right,A_choice_button
29TE,practice,1,1,1185,753,448,choice-button-right,A_choice_button
29TE,practice,1,1,1235,753,448,choice-button-right,A_choice_button
29TE,practice,1,1,1252,753,448,choice-button-right,A_choice_button
29TE,practice,1,1,1268,753,448,choice-button-right,A_choice_button
29TE,practice,1,1,1285,754,446,choice-button-right,A_choice_button
29TE,practice,1,1,1302,756,443,choice-button-right,A_choice_button
29TE,practice,1,1,1318,762,437,choice-button-right,A_choice_button
29TE,practice,1,1,1335,771,427,choice-button-right,A_choice_button
29TE,practice,1,1,1353,783,414,none,none
29TE,practice,1,1,1369,797,399,none,none
29TE,practice,1,1,1385,813,382,none,none
29TE,practice,1,1,1402,829,365,none,none
29TE,practice,1,1,1418,845,348,none,none
29TE,practice,1,1,1435,871,320,right-top,B_prob
29TE,practice,1,1,1452,887,303,right-top,B_prob
29TE,practice,1,1,1468,906,283,right-top,B_prob
29TE,practice,1,1,1485,922,266,right-top,B_prob
29TE,practice,1,1,1501,933,253,right-top,B_prob
29TE,practice,1,1,1518,939,247,right-top,B_prob
29TE,practice,1,1,1535,942,243,right-top,B_prob
29TE,practice,1,1,1551,944,240,right-top,B_prob
29TE,practice,1,1,1568,946,239,right-top,B_prob
29TE,practice,1,1,1585,946,239,right-top,B_prob
29TE,practice,1,1,1601,946,238,right-top,B_prob
29TE,practice,1,1,1618,947,238,right-top,B_prob
29TE,practice,1,1,1773,946,239,right-top,B_prob
29TE,practice,1,1,1785,946,239,right-top,B_prob
29TE,practice,1,1,1802,946,240,right-top,B_prob
29TE,practice,1,1,1818,945,240,right-top,B_prob
29TE,practice,1,1,1835,945,241,right-top,B_prob
29TE,practice,1,1,1852,944,241,right-top,B_prob
29TE,practice,1,1,1868,944,242,right-top,B_prob
29TE,practice,1,1,1885,944,242,right-top,B_prob
29TE,practice,1,1,1902,943,242,right-top,B_prob
29TE,practice,1,1,1918,943,242,right-top,B_prob
29TE,practice,1,1,1935,943,242,right-top,B_prob
29TE,practice,1,1,1952,943,242,right-top,B_prob
29TE,practice,1,1,1969,942,242,right-top,B_prob
29TE,practice,1,1,1984,941,242,right-top,B_prob
29TE,practice,1,1,2002,940,242,right-top,B_prob
29TE,practice,1,1,2018,935,242,right-top,B_prob
29TE,practice,1,1,2035,931,242,right-top,B_prob
29TE,practice,1,1,2052,925,242,right-top,B_prob
29TE,practice,1,1,2069,915,242,right-top,B_prob
29TE,practice,1,1,2086,898,242,right-top,B_prob
29TE,practice,1,1,2102,877,242,right-top,B_prob
29TE,practice,1,1,2118,852,242,right-top,B_prob
29TE,practice,1,1,2135,829,242,right-top,B_prob
29TE,practice,1,1,2152,806,242,none,none
29TE,practice,1,1,2168,787,242,none,none
29TE,practice,1,1,2185,769,242,none,none
29TE,practice,1,1,2202,754,242,none,none
29TE,practice,1,1,2218,739,242,none,none
29TE,practice,1,1,2236,722,242,none,none
29TE,practice,1,1,2252,707,243,none,none
29TE,practice,1,1,2269,696,245,none,none
29TE,practice,1,1,2285,685,246,none,none
29TE,practice,1,1,2302,677,248,none,none
29TE,practice,1,1,2318,671,249,none,none
29TE,practice,1,1,2335,667,250,none,none
29TE,practice,1,1,2352,663,251,none,none
29TE,practice,1,1,2368,659,252,none,none
29TE,practice,1,1,2385,654,254,none,none
29TE,practice,1,1,2402,649,256,none,none
29TE,practice,1,1,2418,645,258,none,none
29TE,practice,1,1,2435,642,259,none,none
29TE,practice,1,1,2451,638,261,none,none
29TE,practice,1,1,2469,635,261,none,none
29TE,practice,1,1,2485,632,262,none,none
29TE,practice,1,1,2502,629,263,none,none
29TE,practice,1,1,2519,625,264,none,none
29TE,practice,1,1,2535,623,265,none,none
29TE,practice,1,1,2552,622,266,none,none
29TE,practice,1,1,2921,622,266,none,none
29TE,practice,1,1,2935,620,266,left-top,B_amount
29TE,practice,1,1,2952,616,266,left-top,B_amount
29TE,practice,1,1,2967,610,266,left-top,B_amount
29TE,practice,1,1,2985,604,266,left-top,B_amount
29TE,practice,1,1,3002,594,266,left-top,B_amount
29TE,practice,1,1,3018,589,266,left-top,B_amount
29TE,practice,1,1,3035,584,266,left-top,B_amount
29TE,practice,1,1,3052,581,266,left-top,B_amount
29TE,practice,1,1,3069,578,266,left-top,B_amount
29TE,practice,1,1,3086,578,266,left-top,B_amount
29TE,practice,1,1,3102,577,266,left-top,B_amount
29TE,practice,1,1,3118,576,266,left-top,B_amount
29TE,practice,1,1,3135,576,266,left-top,B_amount
29TE,practice,1,1,3152,575,266,left-top,B_amount
29TE,practice,1,1,3346,576,266,left-top,B_amount
29TE,practice,1,1,3362,576,266,left-top,B_amount
29TE,practice,1,1,3370,576,266,left-top,B_amount
29TE,practice,1,1,3385,576,266,left-top,B_amount
29TE,practice,1,1,3401,577,266,left-top,B_amount
29TE,practice,1,1,3418,579,266,left-top,B_amount
29TE,practice,1,1,3435,583,266,left-top,B_amount
29TE,practice,1,1,3452,590,266,left-top,B_amount
29TE,practice,1,1,3469,604,267,left-top,B_amount
29TE,practice,1,1,3484,622,269,none,none
29TE,practice,1,1,3502,666,272,none,none
29TE,practice,1,1,3519,697,275,none,none
29TE,practice,1,1,3535,725,276,none,none
29TE,practice,1,1,3552,752,276,none,none
29TE,practice,1,1,3569,775,276,none,none
29TE,practice,1,1,3585,797,276,none,none
29TE,practice,1,1,3602,815,276,none,none
29TE,practice,1,1,3619,829,276,right-top,B_prob
29TE,practice,1,1,3635,842,275,right-top,B_prob
29TE,practice,1,1,3652,854,274,right-top,B_prob
29TE,practice,1,1,3668,866,274,right-top,B_prob
29TE,practice,1,1,3685,875,274,right-top,B_prob
29TE,practice,1,1,3702,884,274,right-top,B_prob
29TE,practice,1,1,3719,891,274,right-top,B_prob
29TE,practice,1,1,3735,897,274,right-top,B_prob
29TE,practice,1,1,3752,900,274,right-top,B_prob
29TE,practice,1,1,3769,902,274,right-top,B_prob
29TE,practice,1,1,3785,905,274,right-top,B_prob
29TE,practice,1,1,3802,907,274,right-top,B_prob
29TE,practice,1,1,3819,908,274,right-top,B_prob
29TE,practice,1,1,3835,910,274,right-top,B_prob
29TE,practice,1,1,3852,910,274,right-top,B_prob
29TE,practice,1,1,3868,911,274,right-top,B_prob
29TE,practice,1,1,3885,911,274,right-top,B_prob
29TE,practice,1,1,3978,911,274,right-top,B_prob
29TE,practice,1,1,3986,911,274,right-top,B_prob
29TE,practice,1,1,4002,910,274,right-top,B_prob
29TE,practice,1,1,4018,910,274,right-top,B_prob
29TE,practice,1,1,4035,909,274,right-top,B_prob
29TE,practice,1,1,4052,907,274,right-top,B_prob
29TE,practice,1,1,4069,906,274,right-top,B_prob
29TE,practice,1,1,4085,905,274,right-top,B_prob
29TE,practice,1,1,4102,904,274,right-top,B_prob
29TE,practice,1,1,4119,903,274,right-top,B_prob
29TE,practice,1,1,4135,902,274,right-top,B_prob
29TE,practice,1,1,4152,902,274,right-top,B_prob
29TE,practice,1,1,4168,901,274,right-top,B_prob
29TE,practice,1,1,4185,901,274,right-top,B_prob
29TE,practice,1,1,4215,901,274,right-top,B_prob
29TE,practice,1,1,4231,901,274,right-top,B_prob
29TE,practice,1,1,4247,901,275,right-top,B_prob
29TE,practice,1,1,4255,900,275,right-top,B_prob
29TE,practice,1,1,4268,900,275,right-top,B_prob
29TE,practice,1,1,4285,897,275,right-top,B_prob
29TE,practice,1,1,4302,890,276,right-top,B_prob
29TE,practice,1,1,4319,876,278,right-top,B_prob
29TE,practice,1,1,4335,857,281,right-top,B_prob
29TE,practice,1,1,4352,832,286,right-top,B_prob
29TE,practice,1,1,4369,805,291,none,none
29TE,practice,1,1,4385,780,295,none,none
29TE,practice,1,1,4402,751,299,none,none
29TE,practice,1,1,4419,726,301,none,none
29TE,practice,1,1,4435,703,303,none,none
29TE,practice,1,1,4452,685,304,none,none
29TE,practice,1,1,4469,675,304,none,none
