subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
31ud,practice,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,90,50,yellow,blue,blue,90,50,B,1488,10668,77,no_win,0
31ud,practice,1,2,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,100,20,yellow,blue,blue,100,20,B,1102,7309,18,no_win,0
31ud,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,985,5669,44,no_win,0
31ud,practice,1,4,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,80,60,10,blue,yellow,blue,80,80,A,737,6652,216,win,80
31ud,practice,1,5,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,40,30,yellow,blue,yellow,30,80,A,1036,6322,201,win,30
31ud,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,80,20,blue,yellow,blue,10,90,A,976,7285,60,win,10
31ud,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,1343,2939,235,win,90
31ud,exp,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,80,90,50,yellow,blue,blue,90,50,B,819,7579,166,no_win,0
31ud,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,80,20,yellow,blue,yellow,50,70,A,750,3141,290,win,50
31ud,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,50,50,yellow,blue,blue,50,50,B,1466,4776,92,no_win,0
31ud,exp,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,50,70,30,blue,yellow,yellow,70,30,B,712,3798,155,no_win,0
31ud,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,50,70,20,yellow,blue,yellow,60,50,A,730,4573,338,win,60
31ud,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,20,blue,yellow,blue,30,60,A,665,6737,93,no_win,0
31ud,exp,1,8,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,90,10,yellow,blue,yellow,30,60,A,783,3636,179,win,30
31ud,exp,1,9,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,60,80,yellow,blue,yellow,80,90,A,684,4422,271,win,80
31ud,exp,1,10,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,80,30,yellow,blue,yellow,60,80,A,685,3194,6,no_win,0
31ud,exp,1,11,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,70,40,blue,yellow,yellow,70,40,B,578,4251,274,win,70
31ud,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,90,50,yellow,blue,blue,90,50,B,645,2685,295,win,90
31ud,exp,1,13,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,50,40,blue,yellow,yellow,50,40,B,580,4921,11,no_win,0
31ud,exp,1,14,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,60,50,blue,yellow,blue,50,90,A,641,2655,59,win,50
31ud,exp,1,15,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,80,100,30,yellow,blue,blue,100,30,B,1164,4876,304,win,100
31ud,exp,1,16,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,90,20,yellow,blue,yellow,30,50,A,773,6130,66,no_win,0
31ud,exp,1,17,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,70,30,yellow,blue,yellow,50,50,A,1136,3879,45,no_win,0
31ud,exp,1,18,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,90,30,yellow,blue,yellow,60,70,A,627,3549,356,win,60
31ud,exp,1,19,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,40,30,yellow,blue,yellow,30,80,A,1762,3311,134,win,30
31ud,exp,1,20,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,60,20,yellow,blue,yellow,30,90,A,876,2674,114,win,30
31ud,exp,1,21,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,70,30,blue,yellow,yellow,70,30,B,1030,4330,207,no_win,0
31ud,exp,1,22,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,50,40,blue,yellow,blue,40,60,A,773,3962,208,win,40
31ud,exp,1,23,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,60,40,20,yellow,blue,yellow,10,60,A,598,2967,180,win,10
31ud,exp,1,24,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,80,40,yellow,blue,yellow,60,80,A,613,8130,357,win,60
31ud,exp,1,25,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,60,40,yellow,blue,blue,60,40,B,930,3380,121,no_win,0
31ud,exp,1,26,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,30,50,yellow,blue,yellow,50,70,A,784,2894,313,win,50
31ud,exp,1,27,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,90,60,40,20,yellow,blue,yellow,90,60,A,873,3435,111,no_win,0
31ud,exp,1,28,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,70,90,40,blue,yellow,blue,30,70,A,725,3200,91,no_win,0
31ud,exp,1,29,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,30,yellow,blue,yellow,30,60,A,722,6055,253,win,30
31ud,exp,1,30,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,80,90,20,yellow,blue,blue,90,20,B,1625,3142,1,no_win,0
31ud,exp,1,31,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,70,100,30,yellow,blue,yellow,50,70,A,671,5407,59,no_win,0
31ud,exp,1,32,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,40,50,blue,yellow,blue,20,90,A,377,3180,106,win,20
31ud,exp,1,33,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,80,40,yellow,blue,yellow,30,90,A,678,3323,24,no_win,0
31ud,exp,1,34,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,80,60,10,blue,yellow,blue,80,80,A,419,2887,295,win,80
31ud,exp,1,35,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,80,100,40,blue,yellow,yellow,100,40,B,635,3634,252,win,100
31ud,exp,1,36,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,80,30,yellow,blue,blue,80,30,B,671,3060,265,win,80
31ud,exp,1,37,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,70,40,blue,yellow,yellow,70,40,B,635,3281,339,win,70
31ud,exp,1,38,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,100,10,blue,yellow,blue,30,80,A,743,4317,268,win,30
31ud,exp,1,39,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,70,50,40,yellow,blue,yellow,40,70,A,566,4157,224,win,40
31ud,exp,1,40,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,50,20,yellow,blue,yellow,10,90,A,657,3405,124,win,10
31ud,exp,1,41,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,70,50,50,yellow,blue,blue,50,50,B,655,4953,267,win,50
31ud,exp,1,42,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,80,80,20,blue,yellow,blue,40,80,A,475,3012,204,win,40
31ud,exp,1,43,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,90,100,20,yellow,blue,yellow,30,90,A,743,4725,148,win,30
31ud,exp,1,44,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,677,3036,266,win,80
31ud,exp,1,45,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,80,30,blue,yellow,blue,40,90,A,661,2966,295,win,40
31ud,exp,1,46,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,80,80,20,blue,yellow,yellow,80,20,B,506,2643,197,no_win,0
31ud,exp,1,47,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,60,70,50,blue,yellow,blue,40,60,A,496,3326,347,win,40
31ud,exp,1,48,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,60,40,blue,yellow,blue,50,90,A,480,2966,115,win,50
31ud,exp,1,49,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,1087,2934,219,no_win,0
31ud,exp,1,50,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,90,90,30,blue,yellow,blue,40,90,A,569,2942,200,win,40
31ud,exp,1,51,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,20,50,yellow,blue,yellow,60,70,A,527,2763,133,win,60
31ud,exp,1,52,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,70,90,20,blue,yellow,blue,10,70,A,654,5412,6,no_win,0
31ud,exp,1,53,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,100,20,yellow,blue,yellow,30,60,A,600,2696,260,win,30
31ud,exp,1,54,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,60,40,40,yellow,blue,blue,40,40,B,627,5193,274,win,40
31ud,exp,1,55,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,60,10,blue,yellow,blue,10,70,A,463,3318,112,win,10
31ud,exp,1,56,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,70,20,blue,yellow,blue,80,90,A,479,2568,98,win,80
31ud,exp,1,57,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,100,10,yellow,blue,blue,100,10,B,477,3783,357,win,100
31ud,exp,1,58,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,80,10,yellow,blue,yellow,30,60,A,385,2887,216,win,30
31ud,exp,1,59,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,90,30,blue,yellow,yellow,90,30,B,595,4390,339,win,90
31ud,exp,1,60,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,80,30,blue,yellow,yellow,80,30,B,606,2918,118,no_win,0
31ud,exp,1,61,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,70,70,50,blue,yellow,blue,60,70,A,356,3056,86,no_win,0
31ud,exp,1,62,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,90,100,20,yellow,blue,yellow,40,90,A,445,3547,37,win,40
31ud,exp,1,63,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,70,10,yellow,blue,yellow,10,60,A,781,3218,261,win,10
31ud,exp,1,64,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,80,70,30,yellow,blue,blue,70,30,B,549,3258,320,win,70
31ud,exp,1,65,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,80,50,yellow,blue,blue,80,50,B,366,2631,48,no_win,0
31ud,exp,1,66,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,100,20,yellow,blue,yellow,60,70,A,627,2741,168,win,60
31ud,exp,1,67,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,50,40,20,yellow,blue,blue,40,20,B,557,2935,237,no_win,0
31ud,exp,1,68,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,567,3052,166,no_win,0
31ud,exp,1,69,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,50,yellow,blue,blue,90,50,B,482,2638,235,win,90
31ud,exp,1,70,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,60,90,20,blue,yellow,blue,50,60,A,570,4220,136,no_win,0
31ud,exp,1,71,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,70,40,yellow,blue,yellow,60,80,A,602,3303,56,no_win,0
31ud,exp,1,72,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,70,80,20,yellow,blue,yellow,40,70,A,540,2930,233,win,40
31ud,exp,1,73,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,100,20,yellow,blue,blue,100,20,B,568,4096,47,no_win,0
31ud,exp,1,74,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,90,80,70,50,yellow,blue,yellow,90,80,A,1914,3654,179,win,90
31ud,exp,1,75,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,70,40,blue,yellow,blue,40,90,A,520,5395,273,win,40
31ud,exp,1,76,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,80,40,yellow,blue,yellow,60,70,A,499,3335,222,win,60
31ud,exp,1,77,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,50,60,blue,yellow,blue,80,90,A,427,3273,283,win,80
31ud,exp,1,78,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,70,30,40,blue,yellow,blue,80,70,A,427,2946,36,no_win,0
31ud,exp,1,79,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,80,70,30,blue,yellow,blue,30,80,A,449,3746,316,win,30
31ud,exp,1,80,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,80,20,blue,yellow,yellow,80,20,B,473,3567,315,win,80
31ud,exp,1,81,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,70,20,blue,yellow,yellow,70,20,B,522,3613,120,no_win,0
31ud,exp,1,82,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,blue,60,50,B,670,3172,6,no_win,0
31ud,exp,1,83,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,40,blue,yellow,yellow,70,40,B,570,4646,161,no_win,0
31ud,exp,1,84,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,80,20,yellow,blue,yellow,30,60,A,770,3073,286,win,30
31ud,exp,1,85,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,100,20,blue,yellow,blue,50,90,A,789,3127,313,win,50
31ud,exp,1,86,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,80,50,40,yellow,blue,yellow,20,80,A,872,4465,118,win,20
31ud,exp,1,87,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,40,40,blue,yellow,blue,30,60,A,444,3610,46,no_win,0
31ud,exp,1,88,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,yellow,70,80,A,651,3004,315,win,70
31ud,exp,1,89,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,50,30,yellow,blue,yellow,40,90,A,1314,2871,67,win,40
31ud,exp,1,90,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,90,80,20,yellow,blue,yellow,30,90,A,13273,3554,49,win,30
