subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
31ud,practice,1,1,209,772,490,none,none
31ud,practice,1,1,225,772,491,none,none
31ud,practice,1,1,237,772,492,none,none
31ud,practice,1,1,431,771,494,none,none
31ud,practice,1,1,448,770,496,none,none
31ud,practice,1,1,524,769,496,none,none
31ud,practice,1,1,583,768,496,none,none
31ud,practice,1,1,632,768,498,none,none
31ud,practice,1,1,648,768,500,none,none
31ud,practice,1,1,665,767,501,none,none
31ud,practice,1,1,681,767,502,none,none
31ud,practice,1,1,698,767,503,none,none
31ud,practice,1,1,748,767,504,none,none
31ud,practice,1,1,886,766,504,none,none
31ud,practice,1,1,915,765,504,none,none
31ud,practice,1,1,947,764,504,none,none
31ud,practice,1,1,982,764,503,none,none
31ud,practice,1,1,1049,763,502,none,none
31ud,practice,1,1,1065,761,502,none,none
31ud,practice,1,1,1081,760,500,none,none
31ud,practice,1,1,1098,758,500,none,none
31ud,practice,1,1,1114,756,498,none,none
31ud,practice,1,1,1131,754,496,choice-button-left,B_choice_button
31ud,practice,1,1,1148,750,493,choice-button-left,B_choice_button
31ud,practice,1,1,1164,746,490,choice-button-left,B_choice_button
31ud,practice,1,1,1181,743,488,choice-button-left,B_choice_button
31ud,practice,1,1,1199,740,486,choice-button-left,B_choice_button
31ud,practice,1,1,1218,736,484,choice-button-left,B_choice_button
31ud,practice,1,1,1232,735,482,choice-button-left,B_choice_button
31ud,practice,1,1,1249,734,482,choice-button-left,B_choice_button
31ud,practice,1,1,1264,732,481,choice-button-left,B_choice_button
31ud,practice,1,1,1281,732,480,choice-button-left,B_choice_button
31ud,practice,1,1,1298,730,480,choice-button-left,B_choice_button
31ud,practice,1,1,1317,729,478,choice-button-left,B_choice_button
31ud,practice,1,1,1331,728,478,choice-button-left,B_choice_button
31ud,practice,1,1,1382,728,477,choice-button-left,B_choice_button
31ud,practice,1,1,1402,728,476,choice-button-left,B_choice_button
31ud,practice,1,1,1415,727,476,choice-button-left,B_choice_button
31ud,practice,1,1,1432,726,476,choice-button-left,B_choice_button
31ud,practice,1,1,1448,724,473,choice-button-left,B_choice_button
31ud,practice,1,1,1464,720,467,choice-button-left,B_choice_button
31ud,practice,1,1,1481,714,456,choice-button-left,B_choice_button
31ud,practice,1,1,1498,705,443,none,none
31ud,practice,1,1,1514,695,428,none,none
31ud,practice,1,1,1531,681,408,none,none
31ud,practice,1,1,1548,668,390,none,none
31ud,practice,1,1,1565,656,374,none,none
31ud,practice,1,1,1581,644,357,none,none
31ud,practice,1,1,1598,636,348,left-top,B_amount
31ud,practice,1,1,1615,630,340,left-top,B_amount
31ud,practice,1,1,1632,627,333,left-top,B_amount
31ud,practice,1,1,1648,624,328,left-top,B_amount
31ud,practice,1,1,1664,622,326,left-top,B_amount
31ud,practice,1,1,1681,621,323,left-top,B_amount
31ud,practice,1,1,1700,620,320,left-top,B_amount
31ud,practice,1,1,1722,619,319,left-top,B_amount
31ud,practice,1,1,1764,618,318,left-top,B_amount
31ud,practice,1,1,1794,618,317,left-top,B_amount
31ud,practice,1,1,2349,619,317,left-top,B_amount
31ud,practice,1,1,2364,623,318,left-top,B_amount
31ud,practice,1,1,2381,635,320,left-top,B_amount
31ud,practice,1,1,2398,660,322,none,none
31ud,practice,1,1,2414,700,325,none,none
31ud,practice,1,1,2431,755,326,none,none
31ud,practice,1,1,2448,822,323,none,none
31ud,practice,1,1,2464,892,322,right-top,A_amount
31ud,practice,1,1,2481,949,322,right-top,A_amount
31ud,practice,1,1,2498,989,324,right-top,A_amount
31ud,practice,1,1,2514,1014,325,right-top,A_amount
31ud,practice,1,1,2531,1024,325,right-top,A_amount
31ud,practice,1,1,2548,1028,324,right-top,A_amount
31ud,practice,1,1,2906,1027,324,right-top,A_amount
31ud,practice,1,1,2916,1026,324,right-top,A_amount
31ud,practice,1,1,2933,1019,324,right-top,A_amount
31ud,practice,1,1,2948,1007,325,right-top,A_amount
31ud,practice,1,1,2964,986,327,right-top,A_amount
31ud,practice,1,1,2981,959,327,right-top,A_amount
31ud,practice,1,1,2998,916,326,right-top,A_amount
31ud,practice,1,1,3014,864,324,none,none
31ud,practice,1,1,3031,801,320,none,none
31ud,practice,1,1,3048,726,318,none,none
31ud,practice,1,1,3064,661,316,left-top,B_amount
31ud,practice,1,1,3081,610,315,left-top,B_amount
31ud,practice,1,1,3098,557,314,left-top,B_amount
31ud,practice,1,1,3114,525,315,left-top,B_amount
31ud,practice,1,1,3131,507,316,left-top,B_amount
31ud,practice,1,1,3148,500,316,left-top,B_amount
31ud,practice,1,1,3164,499,316,left-top,B_amount
31ud,practice,1,1,3181,498,316,left-top,B_amount
31ud,practice,1,1,3466,499,316,left-top,B_amount
31ud,practice,1,1,3482,503,323,left-top,B_amount
31ud,practice,1,1,3498,512,336,left-top,B_amount
31ud,practice,1,1,3514,520,355,left-top,B_amount
31ud,practice,1,1,3531,529,384,none,none
31ud,practice,1,1,3548,541,426,none,none
31ud,practice,1,1,3564,556,490,none,none
31ud,practice,1,1,3581,563,556,none,none
31ud,practice,1,1,3598,564,628,left-bottom,B_prob
