subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
02LA,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,60,90,20,blue,yellow,yellow,90,20,B,1846,70884,10,no_loss,0
02LA,practice,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,blue,30,90,A,1220,8965,117,loss,30
02LA,practice,1,3,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,90,40,50,yellow,blue,blue,40,50,B,2125,14999,147,no_loss,0
02LA,practice,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,70,20,blue,yellow,yellow,70,20,B,940,5281,82,no_loss,0
02LA,practice,1,5,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,80,50,yellow,blue,blue,80,50,B,741,5247,234,loss,80
02LA,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,80,30,blue,yellow,yellow,80,30,B,3790,6203,185,no_loss,0
02LA,exp,1,1,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,80,90,50,60,yellow,blue,blue,50,60,B,36756,3499,294,loss,50
02LA,exp,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,60,70,40,yellow,blue,blue,70,40,B,923,4749,87,no_loss,0
02LA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,90,20,yellow,blue,blue,90,20,B,989,6099,134,no_loss,0
02LA,exp,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,100,20,blue,yellow,yellow,100,20,B,939,3250,95,no_loss,0
02LA,exp,1,5,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,90,80,70,50,yellow,blue,blue,70,50,B,1605,3100,126,no_loss,0
02LA,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,70,50,40,yellow,blue,blue,50,40,B,806,2981,148,no_loss,0
02LA,exp,1,7,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,889,3098,175,no_loss,0
02LA,exp,1,8,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,10,yellow,blue,blue,100,10,B,1157,2715,34,no_loss,0
02LA,exp,1,9,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,50,30,blue,yellow,yellow,50,30,B,1107,2849,200,no_loss,0
02LA,exp,1,10,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,80,20,blue,yellow,yellow,80,20,B,607,2950,240,no_loss,0
02LA,exp,1,11,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,90,100,20,blue,yellow,yellow,100,20,B,858,2099,58,no_loss,0
02LA,exp,1,12,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,20,50,blue,yellow,yellow,20,50,B,2189,3632,141,no_loss,0
02LA,exp,1,13,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,90,60,40,yellow,blue,blue,60,40,B,808,3833,27,no_loss,0
02LA,exp,1,14,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,70,20,blue,yellow,yellow,70,20,B,1224,3299,258,no_loss,0
02LA,exp,1,15,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,40,40,blue,yellow,yellow,40,40,B,210579,9546,18,no_loss,0
02LA,exp,1,16,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,100,20,yellow,blue,blue,100,20,B,1885,3982,311,loss,100
02LA,exp,1,17,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,155913,3082,86,no_loss,0
02LA,exp,1,18,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,80,10,yellow,blue,blue,80,10,B,781,2783,193,no_loss,0
02LA,exp,1,19,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,blue,70,30,B,738,3548,241,no_loss,0
02LA,exp,1,20,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,90,30,blue,yellow,yellow,90,30,B,408855,5632,353,loss,90
02LA,exp,1,21,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,80,20,blue,yellow,yellow,80,20,B,1805,3298,166,no_loss,0
02LA,exp,1,22,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,90,80,20,yellow,blue,blue,80,20,B,871,2567,156,no_loss,0
02LA,exp,1,23,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,60,80,blue,yellow,yellow,60,80,B,3671,4716,48,no_loss,0
02LA,exp,1,24,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,70,50,yellow,blue,blue,70,50,B,3026,3828,138,no_loss,0
02LA,exp,1,25,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,70,30,50,blue,yellow,yellow,30,50,B,2706,3281,43,no_loss,0
02LA,exp,1,26,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,70,10,blue,yellow,yellow,70,10,B,146104,7930,48,no_loss,0
02LA,exp,1,27,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,70,30,40,yellow,blue,blue,30,40,B,636,3198,127,no_loss,0
02LA,exp,1,28,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,70,60,50,blue,yellow,yellow,60,50,B,1255,3648,350,loss,60
02LA,exp,1,29,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,40,blue,yellow,yellow,80,40,B,638,3066,312,loss,80
02LA,exp,1,30,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,1123,3399,62,no_loss,0
02LA,exp,1,31,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,80,40,yellow,blue,blue,80,40,B,720,4483,71,no_loss,0
02LA,exp,1,32,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,90,20,yellow,blue,blue,90,20,B,1171,3215,36,no_loss,0
02LA,exp,1,33,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,80,40,yellow,blue,blue,80,40,B,3955,2951,218,loss,80
02LA,exp,1,34,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,60,40,20,yellow,blue,blue,40,20,B,2558,3745,212,no_loss,0
02LA,exp,1,35,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,2458,3650,89,no_loss,0
02LA,exp,1,36,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,686,3165,288,loss,70
02LA,exp,1,37,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,60,40,40,yellow,blue,blue,40,40,B,3123,3899,60,no_loss,0
02LA,exp,1,38,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,80,90,20,yellow,blue,blue,90,20,B,3325,3062,31,no_loss,0
02LA,exp,1,39,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,80,60,10,blue,yellow,yellow,60,10,B,30840,2832,263,no_loss,0
02LA,exp,1,40,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,40,yellow,blue,blue,100,40,B,67806,3200,58,no_loss,0
02LA,exp,1,41,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,1304,2582,210,no_loss,0
02LA,exp,1,42,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,70,40,blue,yellow,yellow,70,40,B,1523,3914,352,loss,70
02LA,exp,1,43,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,90,50,blue,yellow,yellow,90,50,B,7830,3465,69,no_loss,0
02LA,exp,1,44,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,100,20,yellow,blue,blue,100,20,B,1637,3249,242,no_loss,0
02LA,exp,1,45,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,100,20,yellow,blue,blue,100,20,B,2491,3845,221,no_loss,0
02LA,exp,1,46,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,70,50,50,yellow,blue,blue,50,50,B,755,5117,357,loss,50
02LA,exp,1,47,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,50,50,blue,yellow,yellow,50,50,B,1871,5032,136,no_loss,0
02LA,exp,1,48,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,100,30,yellow,blue,blue,100,30,B,7104,2948,102,no_loss,0
02LA,exp,1,49,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,70,30,blue,yellow,yellow,70,30,B,1454,4603,320,loss,70
02LA,exp,1,50,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,70,80,30,40,yellow,blue,blue,30,40,B,804,3314,163,no_loss,0
02LA,exp,1,51,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,50,40,yellow,blue,blue,50,40,B,988,4181,167,no_loss,0
02LA,exp,1,52,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,100,30,yellow,blue,blue,100,30,B,1355,3631,3,no_loss,0
02LA,exp,1,53,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,80,60,30,blue,yellow,yellow,60,30,B,2889,2950,352,loss,60
02LA,exp,1,54,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,50,40,yellow,blue,blue,50,40,B,2588,5482,147,no_loss,0
02LA,exp,1,55,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,60,90,50,yellow,blue,blue,90,50,B,3489,6115,86,no_loss,0
02LA,exp,1,56,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,70,40,yellow,blue,blue,70,40,B,61640,2814,225,loss,70
02LA,exp,1,57,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,70,40,yellow,blue,blue,70,40,B,1005,4231,180,no_loss,0
02LA,exp,1,58,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,60,90,20,blue,yellow,yellow,90,20,B,2571,2065,176,no_loss,0
02LA,exp,1,59,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,80,20,blue,yellow,yellow,80,20,B,1373,4282,314,loss,80
02LA,exp,1,60,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,50,yellow,blue,blue,90,50,B,1404,4031,271,loss,90
02LA,exp,1,61,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,90,60,50,yellow,blue,blue,60,50,B,3487,3197,280,loss,60
02LA,exp,1,62,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,70,20,yellow,blue,blue,70,20,B,572,3384,358,loss,70
02LA,exp,1,63,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,90,30,blue,yellow,yellow,90,30,B,1368,3048,261,loss,90
02LA,exp,1,64,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,771,2200,250,no_loss,0
02LA,exp,1,65,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,16504,3100,262,no_loss,0
02LA,exp,1,66,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,60,40,blue,yellow,yellow,60,40,B,1952,9767,97,no_loss,0
02LA,exp,1,67,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,80,30,yellow,blue,blue,80,30,B,686,2449,40,no_loss,0
02LA,exp,1,68,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,80,30,blue,yellow,yellow,80,30,B,1089,2331,188,no_loss,0
02LA,exp,1,69,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,30,yellow,blue,blue,70,30,B,2622,3448,147,no_loss,0
02LA,exp,1,70,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,80,50,yellow,blue,blue,80,50,B,73740,2948,107,no_loss,0
02LA,exp,1,71,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,50,40,20,yellow,blue,blue,40,20,B,1720,3182,81,no_loss,0
02LA,exp,1,72,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,50,70,30,blue,yellow,yellow,70,30,B,636,3916,140,no_loss,0
02LA,exp,1,73,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,100,20,blue,yellow,yellow,100,20,B,588,3131,48,no_loss,0
02LA,exp,1,74,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,80,20,blue,yellow,yellow,80,20,B,1937,2217,263,no_loss,0
02LA,exp,1,75,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,40,30,blue,yellow,yellow,40,30,B,1037,2733,75,no_loss,0
02LA,exp,1,76,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,70,60,10,blue,yellow,yellow,60,10,B,936,2783,316,no_loss,0
02LA,exp,1,77,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,90,50,blue,yellow,yellow,90,50,B,5304,2383,207,loss,90
02LA,exp,1,78,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,50,70,40,blue,yellow,yellow,70,40,B,17619,2632,211,no_loss,0
02LA,exp,1,79,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,80,20,yellow,blue,blue,80,20,B,1770,3283,200,no_loss,0
02LA,exp,1,80,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,50,70,20,blue,yellow,yellow,70,20,B,3489,3199,130,no_loss,0
02LA,exp,1,81,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,100,10,yellow,blue,blue,100,10,B,2936,2215,338,loss,100
02LA,exp,1,82,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,697,1964,107,no_loss,0
02LA,exp,1,83,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,70,50,yellow,blue,blue,70,50,B,670,2849,193,loss,70
02LA,exp,1,84,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,70,30,yellow,blue,blue,70,30,B,8105,3498,254,loss,70
