subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
02LA,practice,1,1,883,731,452,none,none
02LA,practice,1,1,890,729,450,none,none
02LA,practice,1,1,898,726,449,none,none
02LA,practice,1,1,911,722,446,none,none
02LA,practice,1,1,928,709,436,none,none
02LA,practice,1,1,945,688,419,none,none
02LA,practice,1,1,961,665,397,none,none
02LA,practice,1,1,978,644,375,none,none
02LA,practice,1,1,994,624,352,none,none
02LA,practice,1,1,1011,613,337,none,none
02LA,practice,1,1,1028,606,327,none,none
02LA,practice,1,1,1045,602,322,none,none
02LA,practice,1,1,1062,597,316,left-top,A_prob
02LA,practice,1,1,1078,591,311,left-top,A_prob
02LA,practice,1,1,1095,585,308,left-top,A_prob
02LA,practice,1,1,1111,577,306,left-top,A_prob
02LA,practice,1,1,1127,568,305,left-top,A_prob
02LA,practice,1,1,1145,563,304,left-top,A_prob
02LA,practice,1,1,1162,557,303,left-top,A_prob
02LA,practice,1,1,1178,553,302,left-top,A_prob
02LA,practice,1,1,1195,552,302,left-top,A_prob
02LA,practice,1,1,1212,549,301,left-top,A_prob
02LA,practice,1,1,1228,548,300,left-top,A_prob
02LA,practice,1,1,1245,547,300,left-top,A_prob
02LA,practice,1,1,1261,546,299,left-top,A_prob
02LA,practice,1,1,1278,546,299,left-top,A_prob
02LA,practice,1,1,61767,552,299,left-top,A_prob
02LA,practice,1,1,61775,563,299,left-top,A_prob
02LA,practice,1,1,61782,576,299,left-top,A_prob
02LA,practice,1,1,61815,629,304,none,none
02LA,practice,1,1,61848,695,325,none,none
02LA,practice,1,1,61881,744,342,none,none
02LA,practice,1,1,61898,754,345,none,none
02LA,practice,1,1,61915,761,347,none,none
02LA,practice,1,1,61931,765,349,none,none
02LA,practice,1,1,61948,766,349,none,none
02LA,practice,1,1,61965,767,349,none,none
02LA,practice,1,1,62652,766,349,none,none
02LA,practice,1,1,62660,760,348,none,none
02LA,practice,1,1,62668,753,346,none,none
02LA,practice,1,1,62682,745,344,none,none
02LA,practice,1,1,62698,727,338,none,none
02LA,practice,1,1,62715,710,332,none,none
02LA,practice,1,1,62732,659,317,none,none
02LA,practice,1,1,62747,631,310,none,none
02LA,practice,1,1,62765,575,298,left-top,A_prob
02LA,practice,1,1,62782,554,292,left-top,A_prob
02LA,practice,1,1,62798,532,287,left-top,A_prob
02LA,practice,1,1,62815,524,284,left-top,A_prob
02LA,practice,1,1,62831,518,281,left-top,A_prob
02LA,practice,1,1,62848,516,279,left-top,A_prob
02LA,practice,1,1,62865,516,279,left-top,A_prob
02LA,practice,1,1,62881,515,279,left-top,A_prob
02LA,practice,1,1,62943,515,279,left-top,A_prob
02LA,practice,1,1,62950,515,279,left-top,A_prob
02LA,practice,1,1,62965,516,280,left-top,A_prob
02LA,practice,1,1,62982,516,280,left-top,A_prob
02LA,practice,1,1,62997,516,280,left-top,A_prob
02LA,practice,1,1,63015,517,280,left-top,A_prob
02LA,practice,1,1,63032,518,280,left-top,A_prob
02LA,practice,1,1,63049,519,280,left-top,A_prob
02LA,practice,1,1,63065,519,280,left-top,A_prob
02LA,practice,1,1,63082,520,280,left-top,A_prob
02LA,practice,1,1,63098,520,280,left-top,A_prob
02LA,practice,1,1,63114,520,281,left-top,A_prob
02LA,practice,1,1,63131,520,281,left-top,A_prob
02LA,practice,1,1,63273,520,281,left-top,A_prob
02LA,practice,1,1,63280,519,280,left-top,A_prob
02LA,practice,1,1,63288,518,279,left-top,A_prob
02LA,practice,1,1,63297,516,278,left-top,A_prob
02LA,practice,1,1,63315,512,275,left-top,A_prob
02LA,practice,1,1,63331,509,271,left-top,A_prob
02LA,practice,1,1,63348,506,269,left-top,A_prob
02LA,practice,1,1,63364,505,267,left-top,A_prob
02LA,practice,1,1,63381,504,267,left-top,A_prob
02LA,practice,1,1,63398,503,267,left-top,A_prob
02LA,practice,1,1,63458,503,267,left-top,A_prob
02LA,practice,1,1,63465,503,266,left-top,A_prob
02LA,practice,1,1,63481,503,264,left-top,A_prob
02LA,practice,1,1,63497,504,260,left-top,A_prob
02LA,practice,1,1,63515,510,241,left-top,A_prob
02LA,practice,1,1,63531,514,229,left-top,A_prob
02LA,practice,1,1,63548,519,214,left-top,A_prob
02LA,practice,1,1,63564,522,204,left-top,A_prob
02LA,practice,1,1,63581,524,196,left-top,A_prob
02LA,practice,1,1,63598,526,192,left-top,A_prob
02LA,practice,1,1,63615,527,188,left-top,A_prob
02LA,practice,1,1,63632,528,186,left-top,A_prob
02LA,practice,1,1,63649,529,185,left-top,A_prob
02LA,practice,1,1,63664,529,185,left-top,A_prob
02LA,practice,1,1,63716,529,185,left-top,A_prob
02LA,practice,1,1,63724,529,187,left-top,A_prob
02LA,practice,1,1,63731,529,189,left-top,A_prob
02LA,practice,1,1,63748,529,196,left-top,A_prob
02LA,practice,1,1,63765,527,207,left-top,A_prob
02LA,practice,1,1,63781,525,220,left-top,A_prob
02LA,practice,1,1,63798,523,236,left-top,A_prob
02LA,practice,1,1,63813,520,249,left-top,A_prob
02LA,practice,1,1,63831,520,258,left-top,A_prob
02LA,practice,1,1,63848,517,270,left-top,A_prob
02LA,practice,1,1,63865,514,278,left-top,A_prob
02LA,practice,1,1,63882,512,283,left-top,A_prob
02LA,practice,1,1,63898,510,289,left-top,A_prob
02LA,practice,1,1,63915,507,296,left-top,A_prob
