subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
02NE,practice,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,blue,80,10,B,1958,15722,40,no_loss,0
02NE,practice,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,100,20,yellow,blue,blue,100,20,B,2691,9849,134,no_loss,0
02NE,practice,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,90,20,yellow,blue,blue,90,20,B,1146,6336,164,no_loss,0
02NE,practice,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,yellow,20,60,A,974,8661,134,no_loss,0
02NE,practice,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,60,20,blue,yellow,blue,30,90,A,1154,4568,200,loss,30
02NE,practice,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,yellow,30,70,A,1234,10110,112,loss,30
02NE,exp,1,1,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,blue,70,30,B,1676,23157,120,no_loss,0
02NE,exp,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,30,blue,yellow,blue,30,60,A,1342,9773,159,loss,30
02NE,exp,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,40,30,blue,yellow,yellow,40,30,B,1262,6489,286,loss,40
02NE,exp,1,4,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,50,70,40,yellow,blue,blue,70,40,B,1098,9933,20,no_loss,0
02NE,exp,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,80,40,blue,yellow,yellow,80,40,B,887,7429,184,no_loss,0
02NE,exp,1,6,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,60,40,yellow,blue,blue,60,40,B,1243,6376,211,no_loss,0
02NE,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,40,50,blue,yellow,yellow,40,50,B,984,5688,21,no_loss,0
02NE,exp,1,8,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,80,20,yellow,blue,blue,80,20,B,761,4943,269,no_loss,0
02NE,exp,1,9,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,90,20,yellow,blue,yellow,10,70,A,1044,3924,188,loss,10
02NE,exp,1,10,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,50,40,yellow,blue,blue,50,40,B,846,7473,108,no_loss,0
02NE,exp,1,11,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,80,90,50,yellow,blue,blue,90,50,B,855,5547,333,loss,90
02NE,exp,1,12,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,80,20,blue,yellow,yellow,80,20,B,920,8713,247,no_loss,0
02NE,exp,1,13,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,100,20,yellow,blue,yellow,10,90,A,1023,14432,148,loss,10
02NE,exp,1,14,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,100,10,yellow,blue,yellow,50,50,A,915,6240,73,no_loss,0
02NE,exp,1,15,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,90,10,yellow,blue,blue,90,10,B,1198,6673,300,no_loss,0
02NE,exp,1,16,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,80,80,60,10,yellow,blue,blue,60,10,B,952,4328,101,no_loss,0
02NE,exp,1,17,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,100,20,blue,yellow,blue,30,60,A,822,4191,153,loss,30
02NE,exp,1,18,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,80,20,yellow,blue,blue,80,20,B,904,4661,48,no_loss,0
02NE,exp,1,19,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,50,40,20,blue,yellow,yellow,40,20,B,811,4156,325,loss,40
02NE,exp,1,20,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,70,30,yellow,blue,blue,70,30,B,669,5345,88,no_loss,0
02NE,exp,1,21,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,90,30,yellow,blue,blue,90,30,B,1103,3260,258,loss,90
02NE,exp,1,22,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,70,50,yellow,blue,blue,70,50,B,822,5473,192,loss,70
02NE,exp,1,23,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,90,50,blue,yellow,yellow,90,50,B,726,5436,77,no_loss,0
02NE,exp,1,24,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,675,5653,141,no_loss,0
02NE,exp,1,25,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,70,40,yellow,blue,blue,70,40,B,663,5985,94,no_loss,0
02NE,exp,1,26,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,80,90,20,yellow,blue,blue,90,20,B,679,5760,131,no_loss,0
02NE,exp,1,27,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,10,blue,yellow,blue,30,80,A,643,5244,183,loss,30
02NE,exp,1,28,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,80,30,blue,yellow,yellow,80,30,B,782,5280,272,loss,80
02NE,exp,1,29,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,50,20,yellow,blue,blue,50,20,B,924,4088,56,no_loss,0
02NE,exp,1,30,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,80,70,40,yellow,blue,blue,70,40,B,1306,3436,301,loss,70
02NE,exp,1,31,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,blue,60,50,B,747,10766,322,loss,60
02NE,exp,1,32,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,100,40,blue,yellow,blue,30,80,A,1174,5812,356,loss,30
02NE,exp,1,33,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,717,4096,169,no_loss,0
