subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
02NE,practice,1,1,351,957,538,none,none
02NE,practice,1,1,373,956,538,none,none
02NE,practice,1,1,398,955,538,none,none
02NE,practice,1,1,904,956,538,none,none
02NE,practice,1,1,968,956,539,none,none
02NE,practice,1,1,1216,955,539,none,none
02NE,practice,1,1,1223,954,539,none,none
02NE,practice,1,1,1237,953,539,none,none
02NE,practice,1,1,1254,949,536,none,none
02NE,practice,1,1,1270,944,527,choice-button-left,B_choice_button
02NE,practice,1,1,1287,927,488,none,none
02NE,practice,1,1,1303,910,455,none,none
02NE,practice,1,1,1319,890,416,none,none
02NE,practice,1,1,1336,870,386,none,none
02NE,practice,1,1,1353,854,363,left-top,B_amount
02NE,practice,1,1,1370,843,349,left-top,B_amount
02NE,practice,1,1,1387,835,339,left-top,B_amount
02NE,practice,1,1,1403,832,335,left-top,B_amount
02NE,practice,1,1,1422,829,331,left-top,B_amount
02NE,practice,1,1,1436,827,328,left-top,B_amount
02NE,practice,1,1,1453,824,325,left-top,B_amount
02NE,practice,1,1,1470,818,321,left-top,B_amount
02NE,practice,1,1,1486,815,319,left-top,B_amount
02NE,practice,1,1,1502,814,319,left-top,B_amount
02NE,practice,1,1,2568,816,319,left-top,B_amount
02NE,practice,1,1,2575,819,319,left-top,B_amount
02NE,practice,1,1,2587,821,319,left-top,B_amount
02NE,practice,1,1,2603,833,319,left-top,B_amount
02NE,practice,1,1,2620,855,322,left-top,B_amount
02NE,practice,1,1,2637,886,324,none,none
02NE,practice,1,1,2654,925,327,none,none
02NE,practice,1,1,2671,962,328,none,none
02NE,practice,1,1,2687,996,329,none,none
02NE,practice,1,1,2703,1034,330,none,none
02NE,practice,1,1,2719,1054,331,none,none
02NE,practice,1,1,2736,1064,331,none,none
02NE,practice,1,1,2754,1065,331,right-top,A_amount
02NE,practice,1,1,2928,1067,331,right-top,A_amount
02NE,practice,1,1,2936,1070,331,right-top,A_amount
02NE,practice,1,1,2953,1071,331,right-top,A_amount
02NE,practice,1,1,2970,1073,331,right-top,A_amount
02NE,practice,1,1,4072,1072,331,right-top,A_amount
02NE,practice,1,1,4088,1071,332,right-top,A_amount
02NE,practice,1,1,4104,1068,332,right-top,A_amount
02NE,practice,1,1,4120,1063,333,none,none
02NE,practice,1,1,4137,1056,334,none,none
02NE,practice,1,1,4154,1047,334,none,none
02NE,practice,1,1,4170,1034,334,none,none
02NE,practice,1,1,4187,1011,335,none,none
02NE,practice,1,1,4204,984,335,none,none
02NE,practice,1,1,4220,951,335,none,none
02NE,practice,1,1,4239,912,335,none,none
02NE,practice,1,1,4253,903,335,none,none
02NE,practice,1,1,4270,894,335,none,none
02NE,practice,1,1,4400,892,335,none,none
02NE,practice,1,1,4408,889,335,none,none
02NE,practice,1,1,4420,888,335,none,none
02NE,practice,1,1,4437,880,336,none,none
02NE,practice,1,1,4455,869,336,none,none
02NE,practice,1,1,4471,862,337,none,none
02NE,practice,1,1,4488,844,338,left-top,B_amount
02NE,practice,1,1,4505,834,338,left-top,B_amount
02NE,practice,1,1,4526,833,338,left-top,B_amount
02NE,practice,1,1,6484,835,338,left-top,B_amount
02NE,practice,1,1,6492,838,338,left-top,B_amount
02NE,practice,1,1,6504,841,338,left-top,B_amount
02NE,practice,1,1,6520,873,338,none,none
02NE,practice,1,1,6537,917,339,none,none
02NE,practice,1,1,6554,976,342,none,none
02NE,practice,1,1,6571,1039,344,none,none
02NE,practice,1,1,6587,1091,345,right-top,A_amount
02NE,practice,1,1,6604,1121,346,right-top,A_amount
02NE,practice,1,1,6621,1143,346,right-top,A_amount
02NE,practice,1,1,6637,1145,346,right-top,A_amount
02NE,practice,1,1,7369,1145,347,right-top,A_amount
02NE,practice,1,1,7392,1145,349,right-top,A_amount
02NE,practice,1,1,7408,1145,356,right-top,A_amount
02NE,practice,1,1,7421,1145,358,right-top,A_amount
02NE,practice,1,1,7437,1145,364,right-top,A_amount
02NE,practice,1,1,7455,1146,382,right-top,A_amount
02NE,practice,1,1,7471,1148,398,right-top,A_amount
02NE,practice,1,1,7488,1155,466,none,none
02NE,practice,1,1,7504,1162,560,none,none
02NE,practice,1,1,7521,1168,661,right-bottom,A_prob
02NE,practice,1,1,7537,1168,691,right-bottom,A_prob
02NE,practice,1,1,7578,1171,729,right-bottom,A_prob
02NE,practice,1,1,7587,1172,736,right-bottom,A_prob
02NE,practice,1,1,7603,1175,750,right-bottom,A_prob
02NE,practice,1,1,7620,1176,760,right-bottom,A_prob
02NE,practice,1,1,7637,1177,763,right-bottom,A_prob
02NE,practice,1,1,7656,1178,763,right-bottom,A_prob
02NE,practice,1,1,7680,1178,764,right-bottom,A_prob
02NE,practice,1,1,7721,1179,765,right-bottom,A_prob
02NE,practice,1,1,8489,1179,763,right-bottom,A_prob
02NE,practice,1,1,8505,1177,759,right-bottom,A_prob
02NE,practice,1,1,8520,1175,746,right-bottom,A_prob
02NE,practice,1,1,8537,1170,712,right-bottom,A_prob
02NE,practice,1,1,8554,1162,657,right-bottom,A_prob
02NE,practice,1,1,8571,1153,576,none,none
02NE,practice,1,1,8587,1146,498,none,none
02NE,practice,1,1,8604,1145,446,none,none
02NE,practice,1,1,8621,1145,409,right-top,A_amount
02NE,practice,1,1,8637,1145,392,right-top,A_amount
02NE,practice,1,1,8654,1145,385,right-top,A_amount
02NE,practice,1,1,8671,1145,381,right-top,A_amount
02NE,practice,1,1,8688,1145,380,right-top,A_amount
02NE,practice,1,1,8704,1145,377,right-top,A_amount
02NE,practice,1,1,8721,1145,371,right-top,A_amount
02NE,practice,1,1,8745,1145,355,right-top,A_amount
02NE,practice,1,1,8754,1144,350,right-top,A_amount
02NE,practice,1,1,8770,1144,349,right-top,A_amount
02NE,practice,1,1,8787,1144,348,right-top,A_amount
02NE,practice,1,1,9171,1144,351,right-top,A_amount
02NE,practice,1,1,9187,1144,353,right-top,A_amount
02NE,practice,1,1,9204,1144,355,right-top,A_amount
02NE,practice,1,1,9221,1143,360,right-top,A_amount
02NE,practice,1,1,9237,1139,368,right-top,A_amount
02NE,practice,1,1,9255,1130,385,right-top,A_amount
02NE,practice,1,1,9271,1114,409,right-top,A_amount
02NE,practice,1,1,9288,1100,424,none,none
02NE,practice,1,1,9305,1092,432,none,none
02NE,practice,1,1,9320,1089,436,none,none
02NE,practice,1,1,9337,1086,439,none,none
02NE,practice,1,1,9353,1084,443,none,none
02NE,practice,1,1,9371,1081,446,none,none
02NE,practice,1,1,9387,1076,449,none,none
02NE,practice,1,1,9404,1068,449,none,none
02NE,practice,1,1,9421,1061,448,none,none
02NE,practice,1,1,9437,1041,437,none,none
02NE,practice,1,1,9454,992,408,none,none
02NE,practice,1,1,9472,916,371,none,none
02NE,practice,1,1,9488,838,336,left-top,B_amount
02NE,practice,1,1,9505,746,300,left-top,B_amount
02NE,practice,1,1,9520,718,289,left-top,B_amount
02NE,practice,1,1,9537,715,287,left-top,B_amount
02NE,practice,1,1,9554,715,284,left-top,B_amount
02NE,practice,1,1,9570,715,282,left-top,B_amount
02NE,practice,1,1,9587,715,281,left-top,B_amount
02NE,practice,1,1,9842,718,287,left-top,B_amount
02NE,practice,1,1,9854,719,290,left-top,B_amount
02NE,practice,1,1,9872,724,300,left-top,B_amount
02NE,practice,1,1,9888,727,308,left-top,B_amount
02NE,practice,1,1,9904,729,314,left-top,B_amount
02NE,practice,1,1,9921,753,381,left-top,B_amount
02NE,practice,1,1,9937,791,488,none,none
02NE,practice,1,1,9954,838,626,none,none
02NE,practice,1,1,9971,872,745,none,none
02NE,practice,1,1,9987,888,817,none,none
02NE,practice,1,1,10004,894,845,none,none
02NE,practice,1,1,10021,895,847,none,none
02NE,practice,1,1,10105,894,846,none,none
02NE,practice,1,1,10121,894,845,none,none
02NE,practice,1,1,10171,893,843,none,none
02NE,practice,1,1,10188,892,840,none,none
02NE,practice,1,1,10204,888,833,none,none
02NE,practice,1,1,10221,877,818,none,none
02NE,practice,1,1,10238,867,802,none,none
02NE,practice,1,1,10254,859,792,none,none
02NE,practice,1,1,10271,856,788,none,none
02NE,practice,1,1,10288,854,783,none,none
02NE,practice,1,1,10304,854,777,left-bottom,B_prob
02NE,practice,1,1,10321,860,746,left-bottom,B_prob
02NE,practice,1,1,10337,907,642,none,none
02NE,practice,1,1,10354,946,565,choice-button-left,B_choice_button
02NE,practice,1,1,10371,977,502,none,none
02NE,practice,1,1,10387,995,462,none,none
02NE,practice,1,1,10404,1005,430,none,none
02NE,practice,1,1,10420,1009,412,none,none
02NE,practice,1,1,10437,1010,404,none,none
02NE,practice,1,1,10454,1011,400,none,none
02NE,practice,1,1,10470,1013,396,none,none
02NE,practice,1,1,10488,1016,392,none,none
02NE,practice,1,1,10504,1023,388,none,none
02NE,practice,1,1,10521,1031,384,none,none
02NE,practice,1,1,10537,1051,382,none,none
02NE,practice,1,1,10554,1081,381,right-top,A_amount
02NE,practice,1,1,10571,1124,377,right-top,A_amount
02NE,practice,1,1,10588,1152,374,right-top,A_amount
02NE,practice,1,1,10604,1175,369,right-top,A_amount
02NE,practice,1,1,10621,1182,367,right-top,A_amount
02NE,practice,1,1,10890,1181,367,right-top,A_amount
02NE,practice,1,1,10905,1179,368,right-top,A_amount
02NE,practice,1,1,10921,1178,369,right-top,A_amount
02NE,practice,1,1,10938,1164,381,right-top,A_amount
02NE,practice,1,1,10954,1143,399,right-top,A_amount
02NE,practice,1,1,10971,1090,454,none,none
02NE,practice,1,1,10988,1014,543,choice-button-right,A_choice_button
02NE,practice,1,1,11005,922,663,none,none
02NE,practice,1,1,11021,839,774,left-bottom,B_prob
02NE,practice,1,1,11038,784,851,none,none
02NE,practice,1,1,11054,756,883,none,none
02NE,practice,1,1,11071,753,885,none,none
02NE,practice,1,1,11120,753,884,none,none
02NE,practice,1,1,11137,753,881,none,none
02NE,practice,1,1,11154,753,879,none,none
02NE,practice,1,1,11171,753,878,none,none
02NE,practice,1,1,11266,753,876,none,none
02NE,practice,1,1,11273,753,871,none,none
02NE,practice,1,1,11288,753,867,none,none
02NE,practice,1,1,11304,755,856,none,none
02NE,practice,1,1,11321,760,835,left-bottom,B_prob
02NE,practice,1,1,11338,773,795,left-bottom,B_prob
02NE,practice,1,1,11354,779,776,left-bottom,B_prob
02NE,practice,1,1,11371,782,763,left-bottom,B_prob
02NE,practice,1,1,11388,783,757,left-bottom,B_prob
02NE,practice,1,1,11404,783,756,left-bottom,B_prob
02NE,practice,1,1,11610,784,756,left-bottom,B_prob
02NE,practice,1,1,11621,789,756,left-bottom,B_prob
02NE,practice,1,1,11638,798,758,left-bottom,B_prob
02NE,practice,1,1,11655,822,763,left-bottom,B_prob
02NE,practice,1,1,11671,846,767,left-bottom,B_prob
02NE,practice,1,1,11689,864,767,none,none
02NE,practice,1,1,11705,877,767,none,none
02NE,practice,1,1,11722,888,768,none,none
02NE,practice,1,1,11738,897,773,none,none
02NE,practice,1,1,11754,922,783,none,none
02NE,practice,1,1,11771,948,790,none,none
02NE,practice,1,1,11788,979,796,none,none
02NE,practice,1,1,11804,1004,797,none,none
02NE,practice,1,1,11821,1022,797,none,none
02NE,practice,1,1,11837,1031,797,none,none
02NE,practice,1,1,11854,1036,797,none,none
02NE,practice,1,1,11870,1038,797,none,none
02NE,practice,1,1,11894,1041,797,none,none
02NE,practice,1,1,11912,1043,797,none,none
02NE,practice,1,1,11921,1045,797,none,none
02NE,practice,1,1,11937,1054,797,none,none
02NE,practice,1,1,11954,1063,797,none,none
02NE,practice,1,1,11970,1070,797,none,none
02NE,practice,1,1,11988,1079,797,none,none
