subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
03IZ,practice,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,60,40,40,yellow,blue,blue,40,40,B,1832,7082,236,loss,40
03IZ,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,50,30,blue,yellow,blue,40,90,A,1901,11157,212,loss,40
03IZ,practice,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,50,50,blue,yellow,blue,20,60,A,1945,17993,1,no_loss,0
03IZ,practice,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,70,30,blue,yellow,yellow,70,30,B,1257,10062,328,loss,70
03IZ,practice,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,50,70,40,yellow,blue,blue,70,40,B,1042,8147,106,no_loss,0
03IZ,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,90,50,blue,yellow,yellow,90,50,B,1123,5958,2,no_loss,0
03IZ,exp,1,1,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,90,80,70,50,yellow,blue,blue,70,50,B,2809,6647,110,no_loss,0
03IZ,exp,1,2,catch,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,80,90,60,80,blue,yellow,yellow,60,80,B,443,5302,215,loss,60
03IZ,exp,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,80,100,10,blue,yellow,yellow,100,10,B,951,5901,325,loss,100
03IZ,exp,1,4,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,1089,3577,13,no_loss,0
03IZ,exp,1,5,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,90,100,20,yellow,blue,blue,100,20,B,570,4441,70,no_loss,0
03IZ,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,50,70,30,blue,yellow,yellow,70,30,B,984,3937,38,no_loss,0
03IZ,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,60,50,blue,yellow,yellow,60,50,B,675,5127,179,no_loss,0
03IZ,exp,1,8,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,80,80,40,blue,yellow,yellow,80,40,B,577,4144,93,no_loss,0
03IZ,exp,1,9,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,60,80,50,blue,yellow,yellow,80,50,B,737,4273,57,no_loss,0
03IZ,exp,1,10,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,100,10,yellow,blue,blue,100,10,B,617,3880,195,no_loss,0
03IZ,exp,1,11,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,blue,70,40,B,641,5215,281,loss,70
03IZ,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,80,30,yellow,blue,blue,80,30,B,585,4001,148,no_loss,0
03IZ,exp,1,13,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,50,50,yellow,blue,blue,50,50,B,585,3706,2,no_loss,0
03IZ,exp,1,14,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,80,20,yellow,blue,blue,80,20,B,498,3857,220,no_loss,0
03IZ,exp,1,15,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,90,80,20,yellow,blue,blue,80,20,B,568,3944,263,no_loss,0
03IZ,exp,1,16,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,60,70,70,50,blue,yellow,blue,60,70,A,609,4296,85,no_loss,0
03IZ,exp,1,17,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,573,4153,40,no_loss,0
03IZ,exp,1,18,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,90,30,yellow,blue,blue,90,30,B,746,3481,2,no_loss,0
03IZ,exp,1,19,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,80,90,20,blue,yellow,yellow,90,20,B,446,3707,40,no_loss,0
03IZ,exp,1,20,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,70,80,20,blue,yellow,yellow,80,20,B,1236,4639,320,loss,80
03IZ,exp,1,21,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,40,40,blue,yellow,yellow,40,40,B,849,3066,251,loss,40
03IZ,exp,1,22,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,70,20,blue,yellow,yellow,70,20,B,474,2251,186,no_loss,0
03IZ,exp,1,23,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,80,100,30,yellow,blue,blue,100,30,B,385,3017,341,loss,100
03IZ,exp,1,24,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,50,40,20,blue,yellow,yellow,40,20,B,578,2826,111,no_loss,0
03IZ,exp,1,25,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,60,70,50,yellow,blue,blue,70,50,B,425,3522,52,no_loss,0
03IZ,exp,1,26,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,50,40,yellow,blue,blue,50,40,B,556,3640,276,loss,50
03IZ,exp,1,27,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,10,80,80,20,yellow,blue,blue,80,20,B,502,4893,76,no_loss,0
03IZ,exp,1,28,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,blue,80,10,B,719,7258,95,no_loss,0
03IZ,exp,1,29,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,90,70,20,yellow,blue,blue,70,20,B,654,4343,346,loss,70
