subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
03IZ,practice,1,1,832,728,460,none,none
03IZ,practice,1,1,856,728,460,none,none
03IZ,practice,1,1,873,727,460,none,none
03IZ,practice,1,1,890,725,459,none,none
03IZ,practice,1,1,906,721,456,choice-button-left,B_choice_button
03IZ,practice,1,1,923,715,453,choice-button-left,B_choice_button
03IZ,practice,1,1,940,706,447,choice-button-left,B_choice_button
03IZ,practice,1,1,956,688,434,choice-button-left,B_choice_button
03IZ,practice,1,1,973,668,416,none,none
03IZ,practice,1,1,990,653,400,none,none
03IZ,practice,1,1,1006,628,374,none,none
03IZ,practice,1,1,1024,614,359,none,none
03IZ,practice,1,1,1040,607,351,none,none
03IZ,practice,1,1,1056,600,344,none,none
03IZ,practice,1,1,1073,594,338,left-top,B_amount
03IZ,practice,1,1,1089,590,332,left-top,B_amount
03IZ,practice,1,1,1106,586,329,left-top,B_amount
03IZ,practice,1,1,1123,583,324,left-top,B_amount
03IZ,practice,1,1,1140,579,320,left-top,B_amount
03IZ,practice,1,1,1156,576,316,left-top,B_amount
03IZ,practice,1,1,1173,572,312,left-top,B_amount
03IZ,practice,1,1,1190,570,309,left-top,B_amount
03IZ,practice,1,1,1206,567,306,left-top,B_amount
03IZ,practice,1,1,1223,567,306,left-top,B_amount
03IZ,practice,1,1,1240,566,305,left-top,B_amount
03IZ,practice,1,1,1256,566,305,left-top,B_amount
03IZ,practice,1,1,1273,566,305,left-top,B_amount
03IZ,practice,1,1,1302,566,305,left-top,B_amount
03IZ,practice,1,1,1622,566,305,left-top,B_amount
03IZ,practice,1,1,1640,567,305,left-top,B_amount
03IZ,practice,1,1,1656,571,306,left-top,B_amount
03IZ,practice,1,1,1673,578,308,left-top,B_amount
03IZ,practice,1,1,1690,589,311,left-top,B_amount
03IZ,practice,1,1,1706,614,316,left-top,B_amount
03IZ,practice,1,1,1723,632,317,none,none
03IZ,practice,1,1,1740,667,320,none,none
03IZ,practice,1,1,1756,690,320,none,none
03IZ,practice,1,1,1773,717,320,none,none
03IZ,practice,1,1,1790,750,320,none,none
03IZ,practice,1,1,1806,767,320,none,none
03IZ,practice,1,1,1823,775,320,none,none
03IZ,practice,1,1,1840,784,321,none,none
03IZ,practice,1,1,1856,791,322,none,none
03IZ,practice,1,1,1873,797,324,none,none
03IZ,practice,1,1,1890,798,324,none,none
03IZ,practice,1,1,1906,804,325,none,none
03IZ,practice,1,1,1923,807,326,none,none
03IZ,practice,1,1,1940,810,326,none,none
03IZ,practice,1,1,1956,813,326,none,none
03IZ,practice,1,1,1973,819,327,none,none
03IZ,practice,1,1,1990,823,327,none,none
03IZ,practice,1,1,2007,828,327,none,none
03IZ,practice,1,1,2023,831,327,none,none
03IZ,practice,1,1,2040,833,327,none,none
03IZ,practice,1,1,2056,835,327,none,none
03IZ,practice,1,1,2073,837,327,none,none
03IZ,practice,1,1,2090,838,327,none,none
03IZ,practice,1,1,2106,840,327,none,none
03IZ,practice,1,1,2123,841,327,none,none
03IZ,practice,1,1,2140,842,327,none,none
03IZ,practice,1,1,2156,843,327,none,none
03IZ,practice,1,1,2173,844,327,none,none
03IZ,practice,1,1,2190,844,327,none,none
03IZ,practice,1,1,2206,845,327,none,none
03IZ,practice,1,1,2223,845,326,none,none
03IZ,practice,1,1,2240,846,326,none,none
03IZ,practice,1,1,2256,846,326,none,none
03IZ,practice,1,1,2285,846,326,none,none
03IZ,practice,1,1,2301,846,326,none,none
03IZ,practice,1,1,2309,846,326,none,none
03IZ,practice,1,1,2323,847,326,none,none
03IZ,practice,1,1,2340,848,325,none,none
03IZ,practice,1,1,2356,850,321,none,none
03IZ,practice,1,1,2373,857,312,right-top,B_prob
03IZ,practice,1,1,2389,864,302,right-top,B_prob
03IZ,practice,1,1,2406,871,290,right-top,B_prob
03IZ,practice,1,1,2423,875,283,right-top,B_prob
03IZ,practice,1,1,2439,879,276,right-top,B_prob
03IZ,practice,1,1,2456,882,273,right-top,B_prob
03IZ,practice,1,1,2473,883,271,right-top,B_prob
03IZ,practice,1,1,2490,883,270,right-top,B_prob
03IZ,practice,1,1,2506,884,270,right-top,B_prob
03IZ,practice,1,1,2523,884,270,right-top,B_prob
03IZ,practice,1,1,2555,884,270,right-top,B_prob
03IZ,practice,1,1,2563,884,269,right-top,B_prob
03IZ,practice,1,1,2587,885,269,right-top,B_prob
03IZ,practice,1,1,2667,885,269,right-top,B_prob
03IZ,practice,1,1,2732,885,269,right-top,B_prob
03IZ,practice,1,1,2747,885,269,right-top,B_prob
03IZ,practice,1,1,2756,885,268,right-top,B_prob
