subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
04HI,practice,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,70,50,40,yellow,blue,blue,50,40,B,19814,10766,293,loss,50
04HI,practice,1,2,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,1752,17782,276,loss,60
04HI,practice,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,2593,18699,113,no_loss,0
04HI,practice,1,4,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,100,10,blue,yellow,yellow,100,10,B,1908,14865,239,no_loss,0
04HI,practice,1,5,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,100,30,blue,yellow,blue,40,80,A,2122,7197,191,loss,40
04HI,practice,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,90,40,yellow,blue,yellow,30,70,A,1541,9499,19,no_loss,0
04HI,exp,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,70,40,blue,yellow,blue,20,60,A,11349,12465,266,loss,20
04HI,exp,1,2,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,90,60,40,yellow,blue,blue,60,40,B,2158,5332,336,loss,60
04HI,exp,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,50,70,20,blue,yellow,yellow,70,20,B,1124,8582,218,no_loss,0
04HI,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,90,80,40,yellow,blue,blue,80,40,B,1538,11097,163,no_loss,0
04HI,exp,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,80,20,blue,yellow,blue,30,60,A,1270,14518,138,no_loss,0
04HI,exp,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,80,70,40,yellow,blue,blue,70,40,B,2140,9700,97,no_loss,0
04HI,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,80,70,30,blue,yellow,blue,10,80,A,1058,14249,61,no_loss,0
04HI,exp,1,8,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,50,50,blue,yellow,blue,20,70,A,1636,14765,279,loss,20
04HI,exp,1,9,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,90,30,yellow,blue,blue,90,30,B,1221,11783,114,no_loss,0
04HI,exp,1,10,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,40,yellow,blue,yellow,30,80,A,821,5583,357,loss,30
04HI,exp,1,11,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,50,40,blue,yellow,blue,20,60,A,1539,10049,95,no_loss,0
04HI,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,80,80,40,yellow,blue,yellow,60,80,A,1372,20799,144,loss,60
04HI,exp,1,13,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,90,50,blue,yellow,blue,20,90,A,1190,8832,192,loss,20
04HI,exp,1,14,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,1504,12165,46,no_loss,0
04HI,exp,1,15,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,10,60,70,10,yellow,blue,blue,70,10,B,940,6849,200,no_loss,0
04HI,exp,1,16,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,30,yellow,blue,blue,70,30,B,955,6365,47,no_loss,0
04HI,exp,1,17,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,70,100,30,blue,yellow,blue,50,70,A,903,4816,77,no_loss,0
04HI,exp,1,18,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,70,20,yellow,blue,yellow,10,90,A,1265,3763,222,loss,10
04HI,exp,1,19,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,20,50,yellow,blue,blue,20,50,B,704,3600,262,loss,20
04HI,exp,1,20,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,90,100,20,blue,yellow,yellow,100,20,B,870,17047,354,loss,100
04HI,exp,1,21,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,90,30,blue,yellow,blue,20,60,A,3831,8433,220,loss,20
04HI,exp,1,22,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,50,60,yellow,blue,blue,50,60,B,902,4915,120,no_loss,0
04HI,exp,1,23,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,90,10,blue,yellow,yellow,90,10,B,833,6766,1,no_loss,0
04HI,exp,1,24,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,yellow,30,60,A,854,6384,122,no_loss,0
04HI,exp,1,25,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,70,80,30,yellow,blue,yellow,20,70,A,789,3982,16,no_loss,0
04HI,exp,1,26,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,50,30,yellow,blue,blue,50,30,B,2089,3799,228,no_loss,0
04HI,exp,1,27,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,50,40,20,blue,yellow,yellow,40,20,B,619,8630,304,loss,40
04HI,exp,1,28,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,80,90,60,80,yellow,blue,blue,60,80,B,1053,4049,176,loss,60
04HI,exp,1,29,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,60,70,50,blue,yellow,blue,40,60,A,1370,7248,120,no_loss,0
04HI,exp,1,30,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,1185,6299,177,no_loss,0
04HI,exp,1,31,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,60,60,90,50,blue,yellow,yellow,90,50,B,818,9765,19,no_loss,0
04HI,exp,1,32,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,80,20,blue,yellow,blue,10,80,A,705,5565,310,loss,10
04HI,exp,1,33,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,80,30,blue,yellow,blue,40,90,A,1887,6931,307,loss,40
04HI,exp,1,34,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,1049,3949,315,loss,60
04HI,exp,1,35,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,70,60,50,blue,yellow,blue,30,70,A,1234,10850,24,no_loss,0
04HI,exp,1,36,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,80,40,30,yellow,blue,blue,40,30,B,1232,6448,26,no_loss,0
04HI,exp,1,37,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,20,yellow,blue,blue,40,20,B,772,7849,156,no_loss,0
04HI,exp,1,38,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,70,80,30,40,blue,yellow,yellow,30,40,B,952,4513,200,no_loss,0
04HI,exp,1,39,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,80,100,30,blue,yellow,blue,40,80,A,943,6181,192,loss,40
04HI,exp,1,40,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,100,20,yellow,blue,blue,100,20,B,764,5682,186,no_loss,0
04HI,exp,1,41,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,60,60,40,blue,yellow,blue,20,60,A,766,8250,51,no_loss,0
04HI,exp,1,42,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,60,70,20,yellow,blue,yellow,30,60,A,866,3413,193,loss,30
04HI,exp,1,43,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,80,100,10,blue,yellow,blue,30,80,A,738,5768,65,no_loss,0
04HI,exp,1,44,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,1268,7380,212,loss,70
04HI,exp,1,45,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,70,90,20,yellow,blue,yellow,10,70,A,1749,8315,235,loss,10
04HI,exp,1,46,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,70,60,10,yellow,blue,yellow,10,70,A,951,9732,87,no_loss,0
