subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
04HI,practice,1,1,1082,588,432,none,none
04HI,practice,1,1,1183,588,416,none,none
04HI,practice,1,1,1198,588,402,none,none
04HI,practice,1,1,1212,588,374,none,none
04HI,practice,1,1,1230,588,369,none,none
04HI,practice,1,1,1245,588,364,none,none
04HI,practice,1,1,1263,588,362,none,none
04HI,practice,1,1,1281,588,360,none,none
04HI,practice,1,1,1295,588,358,none,none
04HI,practice,1,1,1313,588,357,none,none
04HI,practice,1,1,1379,588,357,none,none
04HI,practice,1,1,1396,588,356,none,none
04HI,practice,1,1,1430,588,356,none,none
04HI,practice,1,1,1496,588,355,none,none
04HI,practice,1,1,1530,588,354,none,none
04HI,practice,1,1,1547,588,353,none,none
04HI,practice,1,1,1562,588,352,none,none
04HI,practice,1,1,1646,588,352,none,none
04HI,practice,1,1,1798,588,364,none,none
04HI,practice,1,1,1830,588,373,none,none
04HI,practice,1,1,2182,588,430,none,none
04HI,practice,1,1,2194,588,431,none,none
04HI,practice,1,1,2232,580,420,choice-button-left,B_choice_button
04HI,practice,1,1,2247,569,403,none,none
04HI,practice,1,1,2261,556,382,none,none
04HI,practice,1,1,2281,515,323,none,none
04HI,practice,1,1,2295,504,309,none,none
04HI,practice,1,1,2315,486,285,left-top,B_amount
04HI,practice,1,1,2328,479,275,left-top,B_amount
04HI,practice,1,1,2363,465,251,left-top,B_amount
04HI,practice,1,1,2381,462,245,left-top,B_amount
04HI,practice,1,1,2395,459,240,left-top,B_amount
04HI,practice,1,1,2416,452,231,left-top,B_amount
04HI,practice,1,1,2428,450,228,left-top,B_amount
04HI,practice,1,1,2444,446,223,left-top,B_amount
04HI,practice,1,1,2461,445,221,left-top,B_amount
04HI,practice,1,1,2481,444,220,left-top,B_amount
04HI,practice,1,1,2496,443,219,left-top,B_amount
04HI,practice,1,1,2513,442,219,left-top,B_amount
04HI,practice,1,1,2530,442,218,left-top,B_amount
04HI,practice,1,1,2546,441,218,left-top,B_amount
04HI,practice,1,1,2564,440,217,left-top,B_amount
04HI,practice,1,1,2578,439,217,left-top,B_amount
04HI,practice,1,1,2597,439,217,left-top,B_amount
04HI,practice,1,1,2611,439,216,left-top,B_amount
04HI,practice,1,1,2646,439,216,left-top,B_amount
04HI,practice,1,1,2697,439,216,left-top,B_amount
04HI,practice,1,1,2880,439,216,left-top,B_amount
04HI,practice,1,1,2946,439,217,left-top,B_amount
04HI,practice,1,1,2980,439,217,left-top,B_amount
04HI,practice,1,1,2997,439,217,left-top,B_amount
04HI,practice,1,1,3030,439,217,left-top,B_amount
04HI,practice,1,1,3063,439,217,left-top,B_amount
04HI,practice,1,1,3112,439,217,left-top,B_amount
04HI,practice,1,1,3264,439,217,left-top,B_amount
04HI,practice,1,1,3514,439,218,left-top,B_amount
04HI,practice,1,1,3764,439,218,left-top,B_amount
04HI,practice,1,1,3880,439,218,left-top,B_amount
04HI,practice,1,1,3896,439,218,left-top,B_amount
04HI,practice,1,1,4480,440,218,left-top,B_amount
04HI,practice,1,1,4512,442,218,left-top,B_amount
04HI,practice,1,1,4530,453,217,left-top,B_amount
04HI,practice,1,1,4546,458,217,left-top,B_amount
04HI,practice,1,1,4563,473,216,left-top,B_amount
04HI,practice,1,1,4579,479,215,left-top,B_amount
04HI,practice,1,1,4613,502,213,none,none
04HI,practice,1,1,4630,509,213,none,none
04HI,practice,1,1,4647,517,213,none,none
04HI,practice,1,1,4665,541,213,none,none
04HI,practice,1,1,4679,549,213,none,none
04HI,practice,1,1,4697,558,213,none,none
04HI,practice,1,1,4713,573,213,none,none
04HI,practice,1,1,4731,581,214,none,none
04HI,practice,1,1,4746,589,214,none,none
04HI,practice,1,1,4764,607,216,none,none
04HI,practice,1,1,4781,614,217,none,none
04HI,practice,1,1,4797,622,218,none,none
04HI,practice,1,1,4811,636,218,none,none
04HI,practice,1,1,4830,649,220,none,none
04HI,practice,1,1,4846,663,223,none,none
04HI,practice,1,1,4864,671,224,none,none
04HI,practice,1,1,4878,679,226,none,none
04HI,practice,1,1,4896,695,230,none,none
04HI,practice,1,1,4914,700,231,none,none
04HI,practice,1,1,4928,705,232,right-top,B_prob
04HI,practice,1,1,4945,717,235,right-top,B_prob
04HI,practice,1,1,4961,724,238,right-top,B_prob
04HI,practice,1,1,4978,739,245,right-top,B_prob
04HI,practice,1,1,4995,747,249,right-top,B_prob
04HI,practice,1,1,5011,748,250,right-top,B_prob
04HI,practice,1,1,5029,749,250,right-top,B_prob
04HI,practice,1,1,5046,750,251,right-top,B_prob
04HI,practice,1,1,5063,750,251,right-top,B_prob
04HI,practice,1,1,5081,751,252,right-top,B_prob
04HI,practice,1,1,5098,752,253,right-top,B_prob
04HI,practice,1,1,5111,753,253,right-top,B_prob
04HI,practice,1,1,5128,754,253,right-top,B_prob
04HI,practice,1,1,5164,754,254,right-top,B_prob
04HI,practice,1,1,5180,754,254,right-top,B_prob
04HI,practice,1,1,5197,754,254,right-top,B_prob
04HI,practice,1,1,5215,756,255,right-top,B_prob
04HI,practice,1,1,5228,757,257,right-top,B_prob
04HI,practice,1,1,5248,758,257,right-top,B_prob
