subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
04PE,practice,1,1,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,yellow,80,40,B,2411,14413,83,no_loss,0
04PE,practice,1,2,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,70,20,yellow,blue,yellow,10,90,A,2404,7197,21,no_loss,0
04PE,practice,1,3,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,90,40,50,blue,yellow,blue,20,90,A,1153,4815,288,loss,20
04PE,practice,1,4,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,90,60,40,20,yellow,blue,yellow,90,60,A,2437,7599,25,no_loss,0
04PE,practice,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,70,50,40,blue,yellow,yellow,50,40,B,2285,20982,168,no_loss,0
04PE,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,60,40,blue,yellow,yellow,60,40,B,1151,6216,216,no_loss,0
04PE,exp,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,90,70,40,blue,yellow,yellow,70,40,B,3830,125801,264,loss,70
04PE,exp,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,80,80,20,blue,yellow,yellow,80,20,B,1630,5832,88,no_loss,0
04PE,exp,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,70,90,40,blue,yellow,yellow,90,40,B,1804,5915,262,loss,90
04PE,exp,1,4,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,70,80,40,yellow,blue,blue,80,40,B,2070,10114,318,loss,80
04PE,exp,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,80,20,blue,yellow,yellow,80,20,B,1100,7230,251,no_loss,0
04PE,exp,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,100,30,blue,yellow,yellow,100,30,B,1253,4231,306,loss,100
04PE,exp,1,7,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,70,50,40,blue,yellow,yellow,50,40,B,2336,6881,233,loss,50
04PE,exp,1,8,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,1202,17048,274,loss,30
04PE,exp,1,9,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,80,50,40,blue,yellow,yellow,50,40,B,1301,4431,15,no_loss,0
04PE,exp,1,10,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,60,70,40,blue,yellow,yellow,70,40,B,1530,4465,120,no_loss,0
04PE,exp,1,11,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,70,30,blue,yellow,yellow,70,30,B,1018,4615,265,loss,70
04PE,exp,1,12,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,26467,6713,359,loss,70
04PE,exp,1,13,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,60,80,10,yellow,blue,blue,80,10,B,7748,3013,148,no_loss,0
04PE,exp,1,14,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,40,70,80,20,yellow,blue,blue,80,20,B,782,3983,152,no_loss,0
04PE,exp,1,15,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,80,70,30,blue,yellow,yellow,70,30,B,1184,3263,251,no_loss,0
