subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
04PE,practice,1,1,710,730,443,none,none
04PE,practice,1,1,717,722,434,none,none
04PE,practice,1,1,725,708,419,none,none
04PE,practice,1,1,733,693,403,none,none
04PE,practice,1,1,741,685,395,none,none
04PE,practice,1,1,749,669,381,none,none
04PE,practice,1,1,757,652,365,none,none
04PE,practice,1,1,764,637,353,none,none
04PE,practice,1,1,773,622,342,none,none
04PE,practice,1,1,781,609,332,none,none
04PE,practice,1,1,789,603,328,none,none
04PE,practice,1,1,797,592,321,left-top,A_prob
04PE,practice,1,1,805,583,314,left-top,A_prob
04PE,practice,1,1,832,576,309,left-top,A_prob
04PE,practice,1,1,833,568,304,left-top,A_prob
04PE,practice,1,1,837,565,301,left-top,A_prob
04PE,practice,1,1,845,561,298,left-top,A_prob
04PE,practice,1,1,853,559,296,left-top,A_prob
04PE,practice,1,1,861,558,294,left-top,A_prob
04PE,practice,1,1,870,556,293,left-top,A_prob
04PE,practice,1,1,877,555,291,left-top,A_prob
04PE,practice,1,1,885,554,290,left-top,A_prob
04PE,practice,1,1,894,553,289,left-top,A_prob
04PE,practice,1,1,902,552,288,left-top,A_prob
04PE,practice,1,1,910,552,287,left-top,A_prob
04PE,practice,1,1,918,551,287,left-top,A_prob
04PE,practice,1,1,926,551,286,left-top,A_prob
04PE,practice,1,1,934,551,286,left-top,A_prob
04PE,practice,1,1,942,550,286,left-top,A_prob
04PE,practice,1,1,950,550,285,left-top,A_prob
04PE,practice,1,1,958,550,285,left-top,A_prob
04PE,practice,1,1,967,550,285,left-top,A_prob
04PE,practice,1,1,974,549,285,left-top,A_prob
04PE,practice,1,1,983,549,284,left-top,A_prob
04PE,practice,1,1,990,548,284,left-top,A_prob
04PE,practice,1,1,998,548,284,left-top,A_prob
04PE,practice,1,1,1006,548,284,left-top,A_prob
04PE,practice,1,1,1022,548,284,left-top,A_prob
04PE,practice,1,1,1063,548,283,left-top,A_prob
04PE,practice,1,1,1563,548,283,left-top,A_prob
04PE,practice,1,1,1570,549,283,left-top,A_prob
04PE,practice,1,1,1578,550,283,left-top,A_prob
04PE,practice,1,1,1586,552,283,left-top,A_prob
04PE,practice,1,1,1595,555,283,left-top,A_prob
04PE,practice,1,1,1603,561,282,left-top,A_prob
04PE,practice,1,1,1610,565,281,left-top,A_prob
04PE,practice,1,1,1619,574,280,left-top,A_prob
04PE,practice,1,1,1626,582,279,left-top,A_prob
04PE,practice,1,1,1634,593,278,left-top,A_prob
04PE,practice,1,1,1642,606,277,left-top,A_prob
04PE,practice,1,1,1650,619,276,none,none
04PE,practice,1,1,1659,648,275,none,none
04PE,practice,1,1,1667,668,275,none,none
04PE,practice,1,1,1676,689,275,none,none
04PE,practice,1,1,1682,713,275,none,none
04PE,practice,1,1,1691,738,275,none,none
04PE,practice,1,1,1699,763,274,none,none
04PE,practice,1,1,1707,786,274,none,none
04PE,practice,1,1,1715,811,274,none,none
04PE,practice,1,1,1723,823,274,none,none
04PE,practice,1,1,1731,861,274,right-top,B_prob
04PE,practice,1,1,1739,871,274,right-top,B_prob
04PE,practice,1,1,1748,891,274,right-top,B_prob
04PE,practice,1,1,1755,908,274,right-top,B_prob
04PE,practice,1,1,1763,924,273,right-top,B_prob
04PE,practice,1,1,1771,930,273,right-top,B_prob
04PE,practice,1,1,1779,942,272,right-top,B_prob
04PE,practice,1,1,1787,950,272,right-top,B_prob
04PE,practice,1,1,1795,954,272,right-top,B_prob
04PE,practice,1,1,1804,960,272,right-top,B_prob
04PE,practice,1,1,1812,964,272,right-top,B_prob
04PE,practice,1,1,1820,967,272,right-top,B_prob
04PE,practice,1,1,1828,969,272,right-top,B_prob
04PE,practice,1,1,1836,971,272,right-top,B_prob
04PE,practice,1,1,1844,972,272,right-top,B_prob
04PE,practice,1,1,1852,973,272,right-top,B_prob
04PE,practice,1,1,1860,974,272,right-top,B_prob
04PE,practice,1,1,1868,974,272,right-top,B_prob
04PE,practice,1,1,1876,974,272,right-top,B_prob
04PE,practice,1,1,1884,974,272,right-top,B_prob
04PE,practice,1,1,1892,974,272,right-top,B_prob
04PE,practice,1,1,1900,974,272,right-top,B_prob
04PE,practice,1,1,1908,974,273,right-top,B_prob
04PE,practice,1,1,1924,974,273,right-top,B_prob
04PE,practice,1,1,1933,974,273,right-top,B_prob
04PE,practice,1,1,1941,974,273,right-top,B_prob
04PE,practice,1,1,1949,974,273,right-top,B_prob
04PE,practice,1,1,1957,974,274,right-top,B_prob
04PE,practice,1,1,1964,973,274,right-top,B_prob
04PE,practice,1,1,1972,972,274,right-top,B_prob
