subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
05TH,practice,1,1,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,40,20,blue,yellow,blue,10,60,A,2951,2978,313,loss,10
05TH,practice,1,2,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,90,80,30,blue,yellow,yellow,80,30,B,1720,3385,267,loss,80
05TH,practice,1,3,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,80,20,blue,yellow,yellow,80,20,B,798,11162,186,no_loss,0
05TH,practice,1,4,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,blue,30,40,B,1068,5308,80,no_loss,0
05TH,practice,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,100,20,blue,yellow,yellow,100,20,B,1240,4053,340,loss,100
05TH,practice,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,70,50,50,yellow,blue,yellow,20,70,A,1563,4805,207,loss,20
05TH,exp,1,1,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,80,70,30,40,blue,yellow,yellow,30,40,B,1587,6700,356,loss,30
05TH,exp,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,50,70,30,blue,yellow,blue,20,50,A,797,8051,59,no_loss,0
05TH,exp,1,3,catch,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,70,80,30,40,yellow,blue,blue,30,40,B,1002,3599,321,loss,30
05TH,exp,1,4,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,90,40,50,yellow,blue,blue,40,50,B,958,9376,324,loss,40
05TH,exp,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,70,80,30,blue,yellow,yellow,80,30,B,1545,4178,313,loss,80
05TH,exp,1,6,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,40,90,80,30,yellow,blue,blue,80,30,B,918,4975,172,no_loss,0
05TH,exp,1,7,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,50,60,90,20,yellow,blue,blue,90,20,B,975,4856,93,no_loss,0
05TH,exp,1,8,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,90,60,80,blue,yellow,yellow,60,80,B,3533,4949,32,no_loss,0
05TH,exp,1,9,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,70,20,blue,yellow,yellow,70,20,B,1632,3650,73,no_loss,0
05TH,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,60,70,80,40,yellow,blue,blue,80,40,B,772,2678,68,no_loss,0
05TH,exp,1,11,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,716,3241,87,no_loss,0
05TH,exp,1,12,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,80,70,30,yellow,blue,blue,70,30,B,888,4762,285,loss,70
05TH,exp,1,13,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,1347,5089,329,loss,90
05TH,exp,1,14,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,80,20,blue,yellow,yellow,80,20,B,764,4896,127,no_loss,0
05TH,exp,1,15,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,70,50,40,blue,yellow,yellow,50,40,B,851,3298,255,loss,50
05TH,exp,1,16,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,30,70,60,50,yellow,blue,blue,60,50,B,993,4779,37,no_loss,0
05TH,exp,1,17,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,10,90,80,20,blue,yellow,yellow,80,20,B,854,2877,205,no_loss,0
05TH,exp,1,18,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,50,80,60,30,blue,yellow,yellow,60,30,B,885,4149,26,no_loss,0
05TH,exp,1,19,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,90,60,50,yellow,blue,blue,60,50,B,985,4311,144,no_loss,0
05TH,exp,1,20,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,60,50,40,yellow,blue,blue,50,40,B,1107,5354,242,loss,50
05TH,exp,1,21,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,90,20,yellow,blue,blue,90,20,B,1157,6257,240,no_loss,0
05TH,exp,1,22,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,80,20,blue,yellow,yellow,80,20,B,1101,3603,275,no_loss,0
05TH,exp,1,23,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,40,20,blue,yellow,yellow,40,20,B,1566,3328,321,loss,40
05TH,exp,1,24,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,60,80,80,40,yellow,blue,blue,80,40,B,1179,4575,263,loss,80
05TH,exp,1,25,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,90,30,yellow,blue,blue,90,30,B,1193,7190,207,no_loss,0
05TH,exp,1,26,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,90,100,20,blue,yellow,yellow,100,20,B,3104,3947,46,no_loss,0
05TH,exp,1,27,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,60,70,20,50,blue,yellow,yellow,20,50,B,4093,4064,237,loss,20
05TH,exp,1,28,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,90,40,yellow,blue,blue,90,40,B,1553,3246,321,loss,90
05TH,exp,1,29,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,100,20,blue,yellow,yellow,100,20,B,2598,2694,213,no_loss,0
05TH,exp,1,30,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,70,70,40,blue,yellow,yellow,70,40,B,25729,3303,233,loss,70
05TH,exp,1,31,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,90,60,40,20,yellow,blue,blue,40,20,B,978,2570,28,no_loss,0
05TH,exp,1,32,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,50,60,yellow,blue,blue,50,60,B,1235,5330,136,no_loss,0
05TH,exp,1,33,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,60,70,50,blue,yellow,yellow,70,50,B,1115,3353,141,no_loss,0
05TH,exp,1,34,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,80,40,blue,yellow,yellow,80,40,B,1061,3023,116,no_loss,0
05TH,exp,1,35,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,90,70,20,blue,yellow,yellow,70,20,B,1060,3074,154,no_loss,0
05TH,exp,1,36,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,80,50,40,yellow,blue,blue,50,40,B,1506,2710,121,no_loss,0
05TH,exp,1,37,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,80,40,yellow,blue,blue,80,40,B,2626,2876,176,no_loss,0
05TH,exp,1,38,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,100,20,yellow,blue,blue,100,20,B,1519,3681,257,no_loss,0
05TH,exp,1,39,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,60,70,30,blue,yellow,yellow,70,30,B,1247,2833,25,no_loss,0
05TH,exp,1,40,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,70,20,blue,yellow,yellow,70,20,B,1319,3403,151,no_loss,0
05TH,exp,1,41,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,1522,2892,11,no_loss,0
