subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
05TH,practice,1,1,1804,841,525,none,none
05TH,practice,1,1,1823,840,525,none,none
05TH,practice,1,1,1840,839,525,none,none
05TH,practice,1,1,1857,839,525,none,none
05TH,practice,1,1,1873,838,525,none,none
05TH,practice,1,1,1891,838,525,none,none
05TH,practice,1,1,1907,837,525,none,none
05TH,practice,1,1,1923,836,525,none,none
05TH,practice,1,1,1941,835,525,none,none
05TH,practice,1,1,1957,834,525,none,none
05TH,practice,1,1,1974,833,525,none,none
05TH,practice,1,1,1990,831,525,none,none
05TH,practice,1,1,2007,828,525,none,none
05TH,practice,1,1,2023,825,525,choice-button-left,A_choice_button
05TH,practice,1,1,2040,822,525,choice-button-left,A_choice_button
05TH,practice,1,1,2057,820,526,choice-button-left,A_choice_button
05TH,practice,1,1,2074,818,526,choice-button-left,A_choice_button
05TH,practice,1,1,2089,817,526,choice-button-left,A_choice_button
05TH,practice,1,1,2106,817,526,choice-button-left,A_choice_button
05TH,practice,1,1,2122,817,526,choice-button-left,A_choice_button
05TH,practice,1,1,2139,816,526,choice-button-left,A_choice_button
05TH,practice,1,1,2155,816,526,choice-button-left,A_choice_button
05TH,practice,1,1,2172,815,526,choice-button-left,A_choice_button
05TH,practice,1,1,2189,814,526,choice-button-left,A_choice_button
05TH,practice,1,1,2206,813,525,choice-button-left,A_choice_button
05TH,practice,1,1,2223,812,525,choice-button-left,A_choice_button
05TH,practice,1,1,2239,811,525,choice-button-left,A_choice_button
05TH,practice,1,1,2256,811,524,choice-button-left,A_choice_button
05TH,practice,1,1,2272,810,524,choice-button-left,A_choice_button
05TH,practice,1,1,2290,809,524,choice-button-left,A_choice_button
05TH,practice,1,1,2307,809,524,choice-button-left,A_choice_button
05TH,practice,1,1,2323,807,524,choice-button-left,A_choice_button
05TH,practice,1,1,2340,804,524,choice-button-left,A_choice_button
05TH,practice,1,1,2357,802,524,choice-button-left,A_choice_button
05TH,practice,1,1,2373,800,524,choice-button-left,A_choice_button
05TH,practice,1,1,2390,799,524,choice-button-left,A_choice_button
05TH,practice,1,1,2407,798,524,choice-button-left,A_choice_button
05TH,practice,1,1,2423,797,524,choice-button-left,A_choice_button
05TH,practice,1,1,2440,797,524,choice-button-left,A_choice_button
05TH,practice,1,1,2457,797,524,choice-button-left,A_choice_button
05TH,practice,1,1,2474,796,524,choice-button-left,A_choice_button
05TH,practice,1,1,2490,796,524,choice-button-left,A_choice_button
05TH,practice,1,1,2510,796,524,choice-button-left,A_choice_button
05TH,practice,1,1,2592,796,524,choice-button-left,A_choice_button
05TH,practice,1,1,2608,796,524,choice-button-left,A_choice_button
05TH,practice,1,1,2656,796,525,choice-button-left,A_choice_button
05TH,practice,1,2,862,841,525,none,none
05TH,practice,1,2,869,841,525,none,none
05TH,practice,1,2,884,842,525,none,none
05TH,practice,1,2,901,842,525,none,none
05TH,practice,1,2,917,843,525,none,none
05TH,practice,1,2,934,843,525,none,none
05TH,practice,1,2,950,844,525,none,none
05TH,practice,1,2,967,844,525,none,none
05TH,practice,1,2,983,845,525,none,none
05TH,practice,1,2,1000,845,525,none,none
05TH,practice,1,2,1017,846,525,none,none
05TH,practice,1,2,1033,846,525,none,none
05TH,practice,1,2,1050,847,525,none,none
05TH,practice,1,2,1067,847,525,none,none
05TH,practice,1,2,1083,848,525,none,none
05TH,practice,1,2,1100,848,525,none,none
05TH,practice,1,2,1117,848,525,none,none
05TH,practice,1,2,1134,849,525,none,none
05TH,practice,1,2,1151,849,525,none,none
05TH,practice,1,2,1167,850,525,none,none
05TH,practice,1,2,1183,850,525,none,none
05TH,practice,1,2,1200,851,525,none,none
05TH,practice,1,2,1217,851,525,none,none
05TH,practice,1,2,1234,851,525,none,none
05TH,practice,1,2,1251,851,525,none,none
05TH,practice,1,2,1267,852,525,none,none
05TH,practice,1,2,1283,852,525,none,none
05TH,practice,1,2,1301,852,525,none,none
05TH,practice,1,2,1317,852,525,none,none
05TH,practice,1,2,1334,853,525,choice-button-right,B_choice_button
05TH,practice,1,2,1350,853,525,choice-button-right,B_choice_button
05TH,practice,1,2,1367,853,525,choice-button-right,B_choice_button
05TH,practice,1,2,1384,854,525,choice-button-right,B_choice_button
05TH,practice,1,2,1411,854,525,choice-button-right,B_choice_button
05TH,practice,1,2,1450,854,525,choice-button-right,B_choice_button
05TH,practice,1,2,1467,854,525,choice-button-right,B_choice_button
05TH,practice,1,2,1494,855,525,choice-button-right,B_choice_button
05TH,practice,1,2,1535,855,525,choice-button-right,B_choice_button
05TH,practice,1,2,1583,855,525,choice-button-right,B_choice_button
05TH,practice,1,2,1634,855,525,choice-button-right,B_choice_button
05TH,practice,1,2,1691,855,525,choice-button-right,B_choice_button
05TH,practice,1,2,1782,856,525,choice-button-right,B_choice_button
05TH,practice,1,2,1855,856,525,choice-button-right,B_choice_button
05TH,practice,1,2,1954,856,525,choice-button-right,B_choice_button
05TH,practice,1,2,2323,856,525,choice-button-right,B_choice_button
05TH,practice,1,2,2367,857,525,choice-button-right,B_choice_button
05TH,practice,1,2,2388,857,525,choice-button-right,B_choice_button
05TH,practice,1,2,2405,857,525,choice-button-right,B_choice_button
05TH,practice,1,2,2430,857,525,choice-button-right,B_choice_button
05TH,practice,1,2,2467,858,525,choice-button-right,B_choice_button
05TH,practice,1,2,2495,858,525,choice-button-right,B_choice_button
05TH,practice,1,2,2545,858,525,choice-button-right,B_choice_button
05TH,practice,1,2,2627,858,525,choice-button-right,B_choice_button
05TH,practice,1,2,2857,858,525,choice-button-right,B_choice_button
05TH,practice,1,2,2881,859,525,choice-button-right,B_choice_button
05TH,practice,1,2,2897,859,525,choice-button-right,B_choice_button
05TH,practice,1,2,2934,859,525,choice-button-right,B_choice_button
05TH,practice,1,2,2951,860,525,choice-button-right,B_choice_button
05TH,practice,1,2,2967,860,525,choice-button-right,B_choice_button
05TH,practice,1,2,2984,861,525,choice-button-right,B_choice_button
05TH,practice,1,2,3000,861,525,choice-button-right,B_choice_button
05TH,practice,1,2,3017,862,525,choice-button-right,B_choice_button
05TH,practice,1,2,3034,862,525,choice-button-right,B_choice_button
05TH,practice,1,2,3051,863,525,choice-button-right,B_choice_button
05TH,practice,1,2,3067,863,524,choice-button-right,B_choice_button
05TH,practice,1,2,3084,864,524,choice-button-right,B_choice_button
05TH,practice,1,2,3101,864,524,choice-button-right,B_choice_button
05TH,practice,1,2,3117,864,524,choice-button-right,B_choice_button
05TH,practice,1,2,3134,865,524,choice-button-right,B_choice_button
05TH,practice,1,2,3150,865,524,choice-button-right,B_choice_button
05TH,practice,1,2,3177,865,524,choice-button-right,B_choice_button
05TH,practice,1,3,281,847,520,none,none
05TH,practice,1,3,293,847,520,none,none
05TH,practice,1,3,310,846,520,none,none
05TH,practice,1,3,326,845,520,none,none
05TH,practice,1,3,343,844,520,none,none
05TH,practice,1,3,360,842,520,none,none
05TH,practice,1,3,376,841,520,none,none
05TH,practice,1,3,393,837,521,none,none
05TH,practice,1,3,410,831,524,none,none
05TH,practice,1,3,426,825,528,choice-button-left,A_choice_button
05TH,practice,1,3,443,817,533,choice-button-left,A_choice_button
05TH,practice,1,3,459,809,540,choice-button-left,A_choice_button
05TH,practice,1,3,476,801,548,choice-button-left,A_choice_button
05TH,practice,1,3,493,778,571,none,none
05TH,practice,1,3,509,769,581,none,none
05TH,practice,1,3,525,755,597,none,none
05TH,practice,1,3,542,741,617,none,none
05TH,practice,1,3,559,728,636,none,none
05TH,practice,1,3,576,717,656,none,none
05TH,practice,1,3,592,711,669,left-bottom,B_prob
05TH,practice,1,3,609,703,685,left-bottom,B_prob
05TH,practice,1,3,626,697,699,left-bottom,B_prob
05TH,practice,1,3,643,693,709,left-bottom,B_prob
05TH,practice,1,3,660,690,717,left-bottom,B_prob
05TH,practice,1,3,675,688,723,left-bottom,B_prob
05TH,practice,1,3,693,688,727,left-bottom,B_prob
05TH,practice,1,3,709,688,728,left-bottom,B_prob
05TH,practice,1,3,726,688,729,left-bottom,B_prob
05TH,practice,1,3,743,688,730,left-bottom,B_prob
05TH,practice,1,3,761,687,730,left-bottom,B_prob
05TH,practice,1,3,781,687,730,left-bottom,B_prob
05TH,practice,1,3,793,687,730,left-bottom,B_prob
05TH,practice,1,3,810,686,730,left-bottom,B_prob
05TH,practice,1,3,827,686,730,left-bottom,B_prob
05TH,practice,1,3,843,686,730,left-bottom,B_prob
05TH,practice,1,3,860,685,730,left-bottom,B_prob
05TH,practice,1,3,876,685,729,left-bottom,B_prob
05TH,practice,1,3,895,685,729,left-bottom,B_prob
05TH,practice,1,3,920,685,729,left-bottom,B_prob
05TH,practice,1,3,960,685,728,left-bottom,B_prob
05TH,practice,1,3,986,685,728,left-bottom,B_prob
05TH,practice,1,3,994,686,728,left-bottom,B_prob
05TH,practice,1,3,1009,686,727,left-bottom,B_prob
05TH,practice,1,3,1026,686,727,left-bottom,B_prob
05TH,practice,1,3,1043,686,727,left-bottom,B_prob
05TH,practice,1,3,1093,686,727,left-bottom,B_prob
05TH,practice,1,3,1167,687,727,left-bottom,B_prob
05TH,practice,1,3,1191,687,727,left-bottom,B_prob
05TH,practice,1,3,1207,687,727,left-bottom,B_prob
05TH,practice,1,3,1224,687,727,left-bottom,B_prob
05TH,practice,1,3,1240,688,727,left-bottom,B_prob
05TH,practice,1,3,1257,688,727,left-bottom,B_prob
05TH,practice,1,3,1293,688,727,left-bottom,B_prob
