subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
08CE,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,70,60,50,blue,yellow,blue,30,70,A,2451,13049,81,no_loss,0
08CE,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,10,60,40,40,blue,yellow,blue,10,60,A,1498,23762,127,no_loss,0
08CE,practice,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,20,70,50,50,yellow,blue,yellow,20,70,A,3741,8303,175,loss,20
08CE,practice,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,100,30,yellow,blue,blue,100,30,B,1785,6432,103,no_loss,0
08CE,practice,1,5,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,70,40,blue,yellow,yellow,70,40,B,1367,6332,163,no_loss,0
08CE,practice,1,6,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,60,40,blue,yellow,blue,20,60,A,1317,7618,354,loss,20
08CE,exp,1,1,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,50,70,40,yellow,blue,yellow,60,50,A,1434,7302,102,no_loss,0
08CE,exp,1,2,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,60,50,yellow,blue,blue,60,50,B,1331,5163,337,loss,60
08CE,exp,1,3,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,60,40,blue,yellow,blue,20,60,A,1483,5079,231,loss,20
08CE,exp,1,4,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,50,80,40,yellow,blue,yellow,50,50,A,1774,5714,159,no_loss,0
08CE,exp,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,70,30,blue,yellow,yellow,70,30,B,1417,7603,32,no_loss,0
08CE,exp,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,80,20,yellow,blue,blue,80,20,B,911,5481,134,no_loss,0
08CE,exp,1,7,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,70,70,40,yellow,blue,yellow,20,70,A,1131,27038,259,loss,20
08CE,exp,1,8,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,90,100,20,blue,yellow,yellow,100,20,B,1329,2822,329,loss,100
08CE,exp,1,9,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,70,30,50,yellow,blue,blue,30,50,B,2166,5396,63,no_loss,0
08CE,exp,1,10,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,90,20,blue,yellow,yellow,90,20,B,1079,5881,355,loss,90
08CE,exp,1,11,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,70,20,blue,yellow,yellow,70,20,B,778,3559,359,loss,70
08CE,exp,1,12,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,50,60,blue,yellow,yellow,50,60,B,1961,6566,162,loss,50
08CE,exp,1,13,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,70,80,40,blue,yellow,yellow,80,40,B,1130,27421,315,loss,80
08CE,exp,1,14,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,726,4344,228,no_loss,0
08CE,exp,1,15,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,70,100,30,yellow,blue,yellow,50,70,A,943,6366,40,no_loss,0
08CE,exp,1,16,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,50,100,30,blue,yellow,blue,30,50,A,1028,4644,260,loss,30
08CE,exp,1,17,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,60,40,yellow,blue,blue,60,40,B,945,6851,17,no_loss,0
08CE,exp,1,18,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,70,80,20,yellow,blue,blue,80,20,B,774,7919,149,no_loss,0
08CE,exp,1,19,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,60,80,20,blue,yellow,yellow,80,20,B,793,6316,355,loss,80
