subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
08CE,practice,1,1,370,719,450,none,none
08CE,practice,1,1,376,721,451,none,none
08CE,practice,1,1,385,724,453,none,none
08CE,practice,1,1,392,727,456,none,none
08CE,practice,1,1,400,732,459,choice-button-right,B_choice_button
08CE,practice,1,1,408,736,463,choice-button-right,B_choice_button
08CE,practice,1,1,416,741,468,choice-button-right,B_choice_button
08CE,practice,1,1,423,747,473,choice-button-right,B_choice_button
08CE,practice,1,1,432,752,478,none,none
08CE,practice,1,1,440,754,481,none,none
08CE,practice,1,1,449,758,485,none,none
08CE,practice,1,1,455,762,489,none,none
08CE,practice,1,1,464,765,493,none,none
08CE,practice,1,1,473,766,494,none,none
08CE,practice,1,1,480,768,497,none,none
08CE,practice,1,1,488,769,498,none,none
08CE,practice,1,1,496,771,500,none,none
08CE,practice,1,1,504,772,502,none,none
08CE,practice,1,1,512,772,503,none,none
08CE,practice,1,1,520,773,504,none,none
08CE,practice,1,1,528,773,504,none,none
08CE,practice,1,1,536,774,505,none,none
08CE,practice,1,1,544,774,505,none,none
08CE,practice,1,1,553,774,506,none,none
08CE,practice,1,1,560,774,506,none,none
08CE,practice,1,1,568,774,506,none,none
08CE,practice,1,1,576,774,507,none,none
08CE,practice,1,1,585,774,507,none,none
08CE,practice,1,1,592,774,508,none,none
08CE,practice,1,1,599,774,508,none,none
08CE,practice,1,1,608,774,509,none,none
08CE,practice,1,1,617,774,510,none,none
08CE,practice,1,1,624,775,511,none,none
08CE,practice,1,1,632,775,513,none,none
08CE,practice,1,1,640,775,515,none,none
08CE,practice,1,1,648,775,517,none,none
08CE,practice,1,1,657,776,520,none,none
08CE,practice,1,1,664,776,522,none,none
08CE,practice,1,1,672,776,524,none,none
08CE,practice,1,1,681,776,527,none,none
08CE,practice,1,1,688,776,529,none,none
08CE,practice,1,1,696,776,531,none,none
08CE,practice,1,1,704,776,533,none,none
08CE,practice,1,1,712,776,534,none,none
08CE,practice,1,1,720,776,536,none,none
08CE,practice,1,1,729,776,537,none,none
08CE,practice,1,1,736,776,537,none,none
08CE,practice,1,1,744,775,538,none,none
08CE,practice,1,1,752,775,538,none,none
08CE,practice,1,1,760,774,539,none,none
08CE,practice,1,1,768,772,539,none,none
