subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
09IA,practice,1,1,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,40,70,80,20,blue,yellow,blue,40,70,A,2789,39725,108,no_loss,0
09IA,practice,1,2,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,90,90,50,blue,yellow,yellow,90,50,B,4273,46470,250,loss,90
09IA,practice,1,3,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,50,30,blue,yellow,yellow,50,30,B,2088,16814,139,no_loss,0
09IA,practice,1,4,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,70,100,30,blue,yellow,blue,50,70,A,1338,22446,89,no_loss,0
09IA,practice,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,50,90,100,20,blue,yellow,yellow,100,20,B,2031,18255,133,no_loss,0
09IA,practice,1,6,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,80,20,yellow,blue,blue,80,20,B,1483,32847,159,no_loss,0
09IA,exp,1,1,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,60,50,40,yellow,blue,blue,50,40,B,2094,20599,137,no_loss,0
09IA,exp,1,2,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,50,60,yellow,blue,blue,50,60,B,1094,9255,152,loss,50
09IA,exp,1,3,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,90,50,20,yellow,blue,yellow,10,90,A,1215,10990,53,loss,10
09IA,exp,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,30,80,40,30,blue,yellow,yellow,40,30,B,1535,13119,107,no_loss,0
09IA,exp,1,5,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,60,70,40,blue,yellow,blue,20,60,A,732,10758,257,loss,20
09IA,exp,1,6,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,90,60,40,20,blue,yellow,yellow,40,20,B,949,8384,8,no_loss,0
09IA,exp,1,7,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,20,60,60,40,yellow,blue,yellow,20,60,A,941,22103,12,no_loss,0
09IA,exp,1,8,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,100,20,yellow,blue,blue,100,20,B,967,9727,128,no_loss,0
09IA,exp,1,9,catch,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,80,90,60,80,yellow,blue,blue,60,80,B,957,6040,181,loss,60
09IA,exp,1,10,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,70,80,30,yellow,blue,blue,80,30,B,1247,27965,86,no_loss,0
09IA,exp,1,11,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,70,60,50,yellow,blue,yellow,30,70,A,1091,10263,306,loss,30
09IA,exp,1,12,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,30,90,80,40,blue,yellow,blue,30,90,A,2967,20848,319,loss,30
09IA,exp,1,13,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,60,40,40,blue,yellow,yellow,40,40,B,1225,11303,35,no_loss,0
