subjectID, block_type, block_number, trial_number, trial_type, arrangement, prob_loc, high_loc, A_amount_loc, A_prob_loc, B_amount_loc, B_prob_loc, A_amount, A_prob, B_amount, B_prob, A_color, B_color,chosen_color, chosen_amount, chosen_prob, choice,startRT, choiceRT, spin_degrees, outcome, outcome_amount
10MA,practice,1,1,catch,vertical,left,top,right-top,left-top,right-bottom,left-bottom,90,80,70,50,blue,yellow,yellow,70,50,B,1862,4234,60,no_loss,0
10MA,practice,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,80,70,30,blue,yellow,blue,30,80,A,1344,4069,24,no_loss,0
10MA,practice,1,3,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,50,50,70,30,yellow,blue,yellow,50,50,A,1309,7176,317,loss,50
10MA,practice,1,4,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,70,40,blue,yellow,blue,40,90,A,1048,3143,99,loss,40
10MA,practice,1,5,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,100,30,yellow,blue,blue,100,30,B,622,6719,145,no_loss,0
10MA,practice,1,6,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,80,100,10,yellow,blue,blue,100,10,B,1022,6938,232,no_loss,0
10MA,exp,1,1,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,40,60,80,50,yellow,blue,blue,80,50,B,1373,4751,338,loss,80
10MA,exp,1,2,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,100,20,blue,yellow,yellow,100,20,B,921,3644,240,no_loss,0
10MA,exp,1,3,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,40,90,100,20,yellow,blue,blue,100,20,B,687,2746,327,loss,100
10MA,exp,1,4,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,30,50,100,30,yellow,blue,yellow,30,50,A,835,4540,163,no_loss,0
10MA,exp,1,5,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,70,70,40,blue,yellow,blue,20,70,A,936,5898,68,no_loss,0
10MA,exp,1,6,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,20,90,40,50,blue,yellow,yellow,40,50,B,1301,2772,324,loss,40
10MA,exp,1,7,catch,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,90,60,40,20,yellow,blue,blue,40,20,B,590,4704,326,loss,40
10MA,exp,1,8,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,80,70,30,yellow,blue,yellow,10,80,A,935,4138,320,loss,10
10MA,exp,1,9,catch,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,60,70,20,50,yellow,blue,blue,20,50,B,613,4524,199,loss,20
10MA,exp,1,10,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,80,90,50,blue,yellow,blue,40,80,A,1547,6394,22,no_loss,0
10MA,exp,1,11,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,20,70,80,30,blue,yellow,blue,20,70,A,814,3554,131,loss,20
10MA,exp,1,12,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,90,50,yellow,blue,yellow,60,70,A,543,420,41,no_loss,0
10MA,exp,1,13,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,90,30,blue,yellow,yellow,90,30,B,551,271,113,no_loss,0
10MA,exp,1,14,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,80,70,30,blue,yellow,blue,30,80,A,560,648,273,loss,30
10MA,exp,1,15,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,80,80,20,blue,yellow,yellow,80,20,B,803,523,169,no_loss,0
10MA,exp,1,16,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,70,60,50,yellow,blue,yellow,30,70,A,431,366,359,loss,30
10MA,exp,1,17,catch,vertical,right,top,left-top,right-top,left-bottom,right-bottom,80,90,60,80,blue,yellow,blue,80,90,A,513,596,79,loss,80
10MA,exp,1,18,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,70,90,40,yellow,blue,yellow,30,70,A,542,376,175,loss,30
10MA,exp,1,19,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,50,30,blue,yellow,blue,40,90,A,726,3280,232,loss,40
10MA,exp,1,20,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,30,60,70,30,yellow,blue,yellow,30,60,A,831,2029,118,no_loss,0
10MA,exp,1,21,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,20,60,60,40,blue,yellow,yellow,60,40,B,1216,4088,329,loss,60
10MA,exp,1,22,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,60,80,80,40,blue,yellow,blue,60,80,A,568,2836,106,loss,60
10MA,exp,1,23,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,70,90,20,yellow,blue,yellow,10,70,A,935,254,107,no_loss,0
10MA,exp,1,24,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,70,30,yellow,blue,yellow,10,90,A,231,665,55,loss,10
10MA,exp,1,25,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,60,70,100,20,yellow,blue,blue,100,20,B,615,3037,301,loss,100
10MA,exp,1,26,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,50,50,80,40,blue,yellow,yellow,80,40,B,750,348,259,loss,80
10MA,exp,1,27,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,10,60,40,20,yellow,blue,blue,40,20,B,988,585,84,no_loss,0
10MA,exp,1,28,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,50,90,60,50,yellow,blue,blue,60,50,B,761,262,357,loss,60
10MA,exp,1,29,experimental,horizontal,top,right,right-bottom,right-top,left-bottom,left-top,50,50,100,10,yellow,blue,yellow,50,50,A,509,173,217,loss,50
10MA,exp,1,30,experimental,vertical,left,bottom,right-bottom,left-bottom,right-top,left-top,10,90,80,20,yellow,blue,yellow,10,90,A,828,295,321,loss,10
10MA,exp,1,31,experimental,vertical,right,bottom,left-bottom,right-bottom,left-top,right-top,20,90,90,50,yellow,blue,yellow,20,90,A,618,1303,4,no_loss,0
10MA,exp,1,32,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,30,90,80,40,yellow,blue,blue,80,40,B,542,4933,97,no_loss,0
10MA,exp,1,33,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,30,60,90,10,blue,yellow,yellow,90,10,B,499,3238,17,no_loss,0
10MA,exp,1,34,experimental,horizontal,top,left,left-bottom,left-top,right-bottom,right-top,40,90,90,30,blue,yellow,yellow,90,30,B,383,2730,257,loss,90
10MA,exp,1,35,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,40,90,80,30,blue,yellow,blue,40,90,A,552,413,258,loss,40
10MA,exp,1,36,catch,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,80,90,50,60,blue,yellow,blue,80,90,A,375,165,42,loss,80
10MA,exp,1,37,experimental,horizontal,bottom,right,right-top,right-bottom,left-top,left-bottom,20,60,70,40,yellow,blue,blue,70,40,B,307,831,220,loss,70
10MA,exp,1,38,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,40,80,100,30,blue,yellow,blue,40,80,A,243,646,205,loss,40
10MA,exp,1,39,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,10,60,70,10,blue,yellow,blue,10,60,A,1320,1156,281,loss,10
10MA,exp,1,40,experimental,horizontal,bottom,left,left-top,left-bottom,right-top,right-bottom,30,50,90,20,blue,yellow,yellow,90,20,B,262,379,69,no_loss,0
10MA,exp,1,41,experimental,vertical,left,top,right-top,left-top,right-bottom,left-bottom,10,90,50,20,blue,yellow,yellow,50,20,B,27,473,27,no_loss,0
10MA,exp,1,42,experimental,vertical,right,top,left-top,right-top,left-bottom,right-bottom,20,50,70,30,blue,yellow,blue,20,50,A,497,296,230,loss,20
