subjectID, block_type, block_number, trial_number, mouse_rt, x, y, element, info_type
10MA,practice,1,1,386,769,428,none,none
10MA,practice,1,1,394,769,427,none,none
10MA,practice,1,1,403,768,427,none,none
10MA,practice,1,1,409,767,426,none,none
10MA,practice,1,1,427,767,424,none,none
10MA,practice,1,1,433,765,424,none,none
10MA,practice,1,1,440,763,422,none,none
10MA,practice,1,1,447,760,420,none,none
10MA,practice,1,1,454,755,416,none,none
10MA,practice,1,1,464,748,411,choice-button-left,A_choice_button
10MA,practice,1,1,470,740,405,choice-button-left,A_choice_button
10MA,practice,1,1,480,732,400,none,none
10MA,practice,1,1,496,724,396,none,none
10MA,practice,1,1,503,717,392,none,none
10MA,practice,1,1,509,709,388,none,none
10MA,practice,1,1,516,704,385,none,none
10MA,practice,1,1,526,700,382,none,none
10MA,practice,1,1,532,694,380,none,none
10MA,practice,1,1,541,689,377,none,none
10MA,practice,1,1,549,685,374,none,none
10MA,practice,1,1,564,680,372,none,none
10MA,practice,1,1,571,678,371,none,none
10MA,practice,1,1,578,676,370,none,none
10MA,practice,1,1,585,674,369,none,none
10MA,practice,1,1,593,673,368,none,none
10MA,practice,1,1,602,672,367,none,none
10MA,practice,1,1,612,671,365,none,none
10MA,practice,1,1,627,669,364,none,none
10MA,practice,1,1,634,668,361,none,none
10MA,practice,1,1,641,667,359,none,none
10MA,practice,1,1,648,665,354,none,none
10MA,practice,1,1,654,662,346,none,none
10MA,practice,1,1,663,659,337,none,none
10MA,practice,1,1,671,654,328,none,none
10MA,practice,1,1,682,649,317,none,none
10MA,practice,1,1,691,643,308,none,none
10MA,practice,1,1,700,639,298,left-top,A_prob
10MA,practice,1,1,734,616,268,left-top,A_prob
10MA,practice,1,1,741,612,262,left-top,A_prob
10MA,practice,1,1,750,607,256,left-top,A_prob
10MA,practice,1,1,765,603,252,left-top,A_prob
10MA,practice,1,1,772,601,250,left-top,A_prob
10MA,practice,1,1,779,600,248,left-top,A_prob
10MA,practice,1,1,786,598,246,left-top,A_prob
10MA,practice,1,1,797,596,244,left-top,A_prob
10MA,practice,1,1,804,595,243,left-top,A_prob
10MA,practice,1,1,812,594,241,left-top,A_prob
10MA,practice,1,1,828,592,240,left-top,A_prob
10MA,practice,1,1,840,592,239,left-top,A_prob
10MA,practice,1,1,848,590,238,left-top,A_prob
10MA,practice,1,1,863,589,237,left-top,A_prob
10MA,practice,1,1,875,589,236,left-top,A_prob
10MA,practice,1,1,891,588,236,left-top,A_prob
10MA,practice,1,1,1093,588,237,left-top,A_prob
10MA,practice,1,1,1112,588,238,left-top,A_prob
10MA,practice,1,1,1119,588,239,left-top,A_prob
10MA,practice,1,1,1128,589,239,left-top,A_prob
10MA,practice,1,1,1137,589,240,left-top,A_prob
10MA,practice,1,1,1146,590,240,left-top,A_prob
10MA,practice,1,1,1162,591,242,left-top,A_prob
10MA,practice,1,1,1168,592,244,left-top,A_prob
10MA,practice,1,1,1175,595,247,left-top,A_prob
10MA,practice,1,1,1182,599,250,left-top,A_prob
10MA,practice,1,1,1190,603,254,left-top,A_prob
10MA,practice,1,1,1200,608,258,left-top,A_prob
10MA,practice,1,1,1206,615,261,left-top,A_prob
10MA,practice,1,1,1216,621,264,left-top,A_prob
10MA,practice,1,1,1224,628,267,left-top,A_prob
10MA,practice,1,1,1234,636,268,left-top,A_prob
10MA,practice,1,1,1241,645,270,left-top,A_prob
10MA,practice,1,1,1251,652,271,left-top,A_prob
10MA,practice,1,1,1261,662,272,none,none
10MA,practice,1,1,1272,675,272,none,none
10MA,practice,1,1,1279,688,273,none,none
10MA,practice,1,1,1286,706,273,none,none
10MA,practice,1,1,1296,724,273,none,none
10MA,practice,1,1,1302,746,272,none,none
10MA,practice,1,1,1313,771,271,none,none
10MA,practice,1,1,1328,791,268,none,none
10MA,practice,1,1,1335,819,265,none,none
10MA,practice,1,1,1341,840,264,none,none
10MA,practice,1,1,1348,856,261,none,none
10MA,practice,1,1,1357,870,260,none,none
10MA,practice,1,1,1364,884,259,right-top,A_amount
10MA,practice,1,1,1375,898,257,right-top,A_amount
10MA,practice,1,1,1396,920,255,right-top,A_amount
10MA,practice,1,1,1404,929,255,right-top,A_amount
10MA,practice,1,1,1412,935,255,right-top,A_amount
10MA,practice,1,1,1418,941,254,right-top,A_amount
10MA,practice,1,1,1424,944,254,right-top,A_amount
10MA,practice,1,1,1437,946,254,right-top,A_amount
10MA,practice,1,1,1442,947,253,right-top,A_amount
10MA,practice,1,1,1548,948,253,right-top,A_amount
10MA,practice,1,1,1570,949,253,right-top,A_amount
10MA,practice,1,1,1803,950,253,right-top,A_amount
10MA,practice,1,1,1846,951,254,right-top,A_amount
10MA,practice,1,1,1854,951,255,right-top,A_amount
10MA,practice,1,1,1869,952,257,right-top,A_amount
10MA,practice,1,1,1876,952,264,right-top,A_amount
10MA,practice,1,1,1883,955,274,right-top,A_amount
10MA,practice,1,1,1889,957,286,right-top,A_amount
10MA,practice,1,1,1898,960,298,right-top,A_amount
10MA,practice,1,1,1908,962,312,right-top,A_amount
10MA,practice,1,1,1914,967,336,none,none
10MA,practice,1,1,1924,974,371,none,none
10MA,practice,1,1,1945,981,409,none,none
10MA,practice,1,1,1952,992,459,none,none
10MA,practice,1,1,1959,1012,559,right-bottom,B_amount
10MA,practice,1,1,1967,1017,596,right-bottom,B_amount
10MA,practice,1,1,1974,1024,629,right-bottom,B_amount
10MA,practice,1,1,1984,1027,646,right-bottom,B_amount
10MA,practice,1,1,1993,1031,664,right-bottom,B_amount
10MA,practice,1,1,2003,1035,674,right-bottom,B_amount
10MA,practice,1,1,2011,1038,688,right-bottom,B_amount
10MA,practice,1,1,2028,1041,704,none,none
10MA,practice,1,1,2036,1043,710,none,none
10MA,practice,1,1,2046,1044,716,none,none
10MA,practice,1,1,2054,1045,720,none,none
10MA,practice,1,1,2071,1046,724,none,none
10MA,practice,1,1,2077,1046,729,none,none
10MA,practice,1,1,2085,1048,736,none,none
10MA,practice,1,1,2090,1048,740,none,none
